question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa o tipo de rocha/sedimento inferido a partir da sísmica, guiando a distribuição espacial das proporções de litotipos no reservatório. No contexto dado:

- amarelo: arenitos muito porosos;
- verde: sedimentos clásticos finos;
- azul: margas e calcilutitos.",1.0,1.0,"A fácies sísmica interpretada representa, conforme a região, **arenitos muito porosos**, **sedimentos clásticos finos** ou **margas e calcilutitos**.",1.0,1.0,52,92,21
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções é guiada pela **fácies sísmica correspondente**.  
Na unidade genética superior de Namorado:

- **amarelo** → fácies sísmica interpretada como **arenitos muito porosos**;
- **verde** → **sedimentos clásticos finos**;
- **azul** → **margas e calcilutitos**.",1.0,1.0,A curva vertical de proporções é guiada pela respectiva fácies sísmica.,1.0,1.0,59,99,26
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica **verde** é interpretada como **sedimentos clásticos finos**.,1.0,1.0,A **fácies sísmica de sedimentos clásticos finos**.,1.0,1.0,52,95,19
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se **o conceito de fácies sísmicas**, que **guia a repartição espacial das CPVs** por meio da **construção da matriz de proporções** no volume do reservatório.",1.0,1.0,"Utiliza-se o **conceito de fácies sísmicas**, por meio da **matriz de proporções**, para guiar a distribuição das **CPVs** no volume do reservatório.",1.0,1.0,53,92,21
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta usada para distribuir espacialmente, no volume do reservatório, as curvas/proporções verticais de litotipos conhecidas apenas nos poços. Ela usa as fácies sísmicas como guia para repartir essas proporções no espaço, capturando o comportamento espacial dos litotipos.  

No exemplo dado:
- amarelo → arenitos muito porosos  
- verde → sedimentos clásticos finos  
- azul → margas e calcilutitos  

Assim, a matriz de proporções representa, em cada região do reservatório, a proporção esperada de cada litotipo, servindo também como complemento aos variogramas na modelagem geoestatística.",0.625,1.0,"A matriz de proporções, na construção de uma matriz de proporções de litotipos, é uma ferramenta que distribui no volume do reservatório as curvas de proporção vertical conhecidas nos poços, usando as fácies sísmicas como guia espacial, para capturar o comportamento espacial dos litotipos e apoiar a modelagem geoestatística.",1.0,1.0,44,74,18
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A Bacia do Espírito Santo possui área explorável de aproximadamente **41.500 km²**.,1.0,1.0,A Bacia do Espírito Santo possui área explorável de aproximadamente **41.500 km²**.,1.0,1.0,62,97,33
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo coincide com o **limite entre a crosta continental e a oceânica**.,1.0,1.0,O limite leste da Bacia do Espírito Santo é o **limite crosta continental/oceânica**.,1.0,1.0,48,75,26
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A plataforma continental varia de uma média de **40 km** de largura ao sul até cerca de **240 km** na porção centro-norte.,1.0,1.0,A plataforma continental tem em média 40 km de largura ao sul e chega a cerca de 240 km na porção centro-norte.,1.0,1.0,50,78,25
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao **limite entre a crosta continental e a crosta oceânica**.,1.0,1.0,A fronteira leste da Bacia do Espírito Santo refere-se ao **limite crosta continental/oceânica**.,1.0,1.0,64,100,29
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,3.000 km².,1.0,1.0,A bacia terrestre corresponde a **3.000 km²** da Bacia do Espírito Santo.,1.0,1.0,52,83,25
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,Por um alargamento da plataforma continental.,1.0,1.0,"A fisiografia do Banco de Abrolhos é evidenciada pelo alargamento da plataforma continental, que passa de cerca de 40 km ao sul para até 240 km na porção centro-norte.",1.0,1.0,48,73,24
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, a leste.",1.0,1.0,"A existência do Banco de Abrolhos, a leste, é o que atribui à bacia uma fisiografia particular.",1.0,1.0,46,78,24
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Este trabalho enfatiza **a cronoestratigrafia da Bacia do Espírito Santo**.,1.0,1.0,Este trabalho enfatiza **a cronoestratigrafia da Bacia do Espírito Santo**.,1.0,1.0,66,109,31
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,1.0,1.0,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,1.0,1.0,56,94,27
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","A Bacia do Espírito Santo é delimitada:

- **ao sul** pela **Bacia de Campos**, através do **Alto de Vitória**;
- **ao norte** pela **Bacia de Mucuri**;
- **a leste** pelo limite entre a **crosta continental e oceânica**.",1.0,1.0,"A Bacia do Espírito Santo é limitada:

- **ao sul**, pela **Bacia de Campos**, através do **Alto de Vitória**;
- **ao norte**, pela **Bacia de Mucuri**;
- **a leste**, pelo **limite crosta continental/oceânica**.",1.0,1.0,46,76,20
