Modelo,Configuração,Versão do Matching,Pasta de resultados,Arquivo CSV,Perguntas,Nodes totais,Edges totais,Matches válidos totais,Nodes médios por pergunta,Edges médios por pergunta,Matches válidos médios por pergunta,Taxa de Matching (%),Modelo batch_metadata,Processing type,Ontology ID,Batch task ID
GPT-4o,Sem ontologia,Nao classificado,petrobras-4-0-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-4-0-sem-ontologia/batch_3c43a79b-46f4-493b-9d1c-0877b59f8e91-completo.csv,312,6759,10484,976,21.6635,33.6026,3.1282,14.44,,,,
GPT-4o,Com ontologia,Nao classificado,petrobras-4-0-com-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-4-0-com-ontologia/batch_2da16bdc-1fdd-4def-9e74-55aa32fe8d3f-completo.csv,312,9421,13862,4940,30.1955,44.4295,15.8333,52.436,,,,
GPT-4.1,Sem ontologia,Nao classificado,petrobras-4-1-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-4-1-sem-ontologia/batch_6216f63d-7efa-49ad-b85e-42ddd91d94ca-completo.csv,312,9294,15868,871,29.7885,50.859,2.7917,9.3716,gpt-4-1-petrobras,1,,6216f63d-7efa-49ad-b85e-42ddd91d94ca
GPT-4.1,Com ontologia,Nao classificado,petrobras-4-1-com-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-4-1-com-ontologia/batch_d0f7eb82-b364-4481-acfb-0c34fa1e8410-completo.csv,312,12503,19792,5959,40.0737,63.4359,19.0994,47.6606,gpt-4-1-petrobras,3,6,d0f7eb82-b364-4481-acfb-0c34fa1e8410
GPT-5-mini,Sem ontologia,Nao classificado,petrobras-5-mini-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-5-mini-sem-ontologia/batch_51ee2c57-4aab-4371-98c1-4998ae120218-completo.csv,312,13386,23302,1425,42.9038,74.6859,4.5673,10.6455,,,,
GPT-5-mini,Com ontologia,Nao classificado,petrobras-5-mini-com-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-5-mini-com-ontologia/batch_b90cb524-548f-476d-889b-1a51975717b1-completo.csv,312,17161,29029,7177,55.0032,93.0417,23.0032,41.8216,,,,
GPT-5.2,Sem ontologia,Nao classificado,petrobras-5-2-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-5-2-sem-ontologia/batch_88394d97-d425-424d-b673-45bce1fea654-completo.csv,312,9374,16038,881,30.0449,51.4038,2.8237,9.3983,gpt-5-2-petrobras,1,,88394d97-d425-424d-b673-45bce1fea654
GPT-5.2,Com ontologia,Matching original,petrobras-5-2-com-ontologia-antes-adaptacao,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-5-2-com-ontologia-antes-adaptacao/batch_e14437f4-a6e7-4019-a1b8-07eb3253dcdb-completo.csv,312,7960,14001,830,25.5128,44.875,2.6603,10.4271,gpt-5-2-petrobras,3,6,e14437f4-a6e7-4019-a1b8-07eb3253dcdb
GPT-5.2,Com ontologia,Matching adaptado,petrobras-5-2-com-ontologia-adaptatado,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-5-2-com-ontologia-adaptatado/batch_bf41e0dd-3e3d-49b8-b066-6a1bb34353b0-completo.csv,312,12969,20720,6181,41.5673,66.4103,19.8109,47.6598,gpt-5-petrobras,3,6,bf41e0dd-3e3d-49b8-b066-6a1bb34353b0
GPT-5.4,Sem ontologia,Nao classificado,petrobras-5-4-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-5-4-sem-ontologia/batch_03e32f0c-2f76-4270-acdd-300680761ce7-completo.csv,312,14843,26267,211,47.5737,84.1891,0.6763,1.4215,gpt-5-4-petrobras,1,,03e32f0c-2f76-4270-acdd-300680761ce7
GPT-5.4,Com ontologia,Nao classificado,petrobras-5-4-com-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-5-4-com-ontologia/batch_c74bf462-a766-47cf-9119-7b3381ad30d8-completo.csv,312,18764,32932,7229,60.141,105.5513,23.1699,38.5259,gpt-5-4-petrobras,3,6,c74bf462-a766-47cf-9119-7b3381ad30d8
GPT-o3,Sem ontologia,Nao classificado,petrobras-0-3-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-0-3-sem-ontologia/batch_3cf910d9-6eda-4a3b-8277-ffe9f09efad8-completo.csv,312,9577,16457,337,30.6955,52.7468,1.0801,3.5188,,,,
GPT-o3,Com ontologia,Nao classificado,petrobras-0-3-com-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados/petrobras-0-3-com-ontologia/batch_ae3b085b-4e55-401f-8eda-0118cda89f27-completo.csv,312,12824,20797,5486,41.1026,66.6571,17.5833,42.7792,,,,
