question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa a distribuição espacial de tipos de sedimentos ou rochas, como sedimentos clásticos finos, arenitos muito porosos, margas e calcilutitos, guiando a repartição das características petrofísicas no reservatório.",0.5,0.5,"A fácies sísmica interpretada representa diferentes tipos de litotipos no reservatório: arenitos muito porosos na região amarela, sedimentos clásticos finos na região verde, e margas e calcilutitos na região azul. Ela guia a distribuição espacial das permeabilidades conhecidas (CPVs) no volume do reservatório.",0.4,0.6666666666666666,22,36,4
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções na matriz para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos.",0.5,1.0,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica respectiva.,1.0,1.0,23,34,3
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a região onde o verde aparece mais.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é representada pela cor verde.,0.5,1.0,20,28,3
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,O conceito de fácies sísmicas é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços.,1.0,1.0,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se o conceito de fácies sísmicas, que guia a repartição espacial das CPVs através da construção de uma matriz de proporções.",1.0,0.5,21,33,3
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta usada para capturar e representar o comportamento espacial dos litotipos em um reservatório. Ela distribui as proporções de litotipos conhecidos nos poços ao longo do volume do reservatório, guiada pelas fácies sísmicas. Isso é crucial para a modelagem geoestatística e complementa a análise com variogramas.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta geológica utilizada para representar as proporções de distribuição de diferentes litotipos em uma formação geológica, capturando o comportamento espacial dos litotipos através da guiagem por fácies sísmicas. Ela complementa a análise estrutural das variáveis regionais na modelagem geoestatística e ajuda na repartição espacial das proporções conhecidas apenas nos poços.",1.0,1.0,21,32,3
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,"A área da Bacia do Espírito Santo é de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,22,36,4
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é a fronteira coincidente com o limite crosta continental/oceânica.,1.0,0.0,"O limite leste da Bacia do Espírito Santo é coincidente com o limite entre a crosta continental e oceânica, influenciado pela presença do Banco de Abrolhos.",1.0,1.0,18,30,3
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental varia de uma média de 40 km a sul até cerca de 240 km na porção centro-norte.,1.0,1.0,A largura da plataforma continental na Bacia do Espírito Santo varia de uma média de 40 km a sul até cerca de 240 km na porção centro-norte.,1.0,1.0,25,45,4
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e a crosta oceânica.,1.0,1.0,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e oceânica.,1.0,1.0,26,43,3
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,A Bacia do Espírito Santo possui 3.000 km² de área terrestre.,1.0,1.0,"A Bacia do Espírito Santo possui uma área total de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",1.0,0.5,18,28,3
