question_id,question,expected_answer,answer,source_file,error
1292,O que representa a fácies sísmica interpretada?,sedimentos clásticos finos,"Fácies sísmica interpretada é a classificação de um corpo refletivo vista na sísmica baseada em atributos sísmicos (geometria e orientação dos refletors, continuidade, amplitude, frequência, textura e terminação interna). Essa classificação é usada como proxy para características geológicas reais, tais como: - Tipo de depósito e ambiente sedimentar (ex.: camadas paralelas contínuas → sedimentação acomodativa / pelitos; clinoformas progradantes → talude/oplina deltaica). - Estrutura estratigráfica (onlap, toplap, truncation → limites seqüenciais, hiatos ou falhas). - Heterogeneidade de litologia e estratificação (variações de impedância que afetam amplitude e frequência). - Presença de feições físicas como deslizamentos (fácies caótica/transparent), canais (reflectores curvos descontínuos), ou event beds (camadas de alta frequência). - Possíveis anomalias de fluidos (bright spots, flat spots, AVO indicativos de gás/óleo/água). Limitações: a interpretação é não‑unívoca — mesma fácies sísmica pode corresponder a diferentes litologias/fluidos — por isso exige calibração com poços, testemunhos, amostras, dados de velocidade, análises de atributos, AVO e inversão sísmica para reduzir incerteza. Em suma: a fácies sísmica interpretada representa uma inferência das características sedimentares, estratigráficas, litológicas ou de fluido com base em padrões observados nos dados sísmicos, e deve ser confirmada por dados de poço e análise petrofísica/geoquímica.",input\georegis\dataset.json,
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,respectiva fácies sísmica,"A curva vertical de proporções para a unidade genética superior do reservatório de Namorado é guiada, principalmente, por fatores ambientais, comportamentais, hidrodinâmicos e amostragens que determinam onde os indivíduos dessa unidade se concentram na coluna d’água. Em linhas gerais: - Gradientes ambientais: temperatura, oxigênio dissolvido e luz controlam tolerância e preferência vertical (a unidade superior tende a ocupar a camada mais quente/oxigenada). - Estratificação e termoclina: camadas estáveis limitam mistura vertical e isolam populações; a termoclina pode concentrar ou separar proporções. - Disponibilidade de alimento e habitat: presença de fitoplâncton/zooplâncton, vegetação e substrato na zona superior atrai indivíduos e define densidades relativas. - Comportamento da espécie: migrações verticais diárias, preferência de reprodução/forrageio e ontogenia (estágios de vida ocupando diferentes profundidades). - Hidrodinâmica local: correntes, entradas de afluentes e operações do reservatório (vazões e captação) redistribuem indivíduos verticalmente. - Interações biológicas: competição, predação e pressão de pesca podem deslocar a unidade para camadas específicas. - Processos populacionais/genéticos: recrutamento, seleção e fluxo gênico influenciam a proporção de genótipos em cada profundidade ao longo do tempo. - Artefatos de amostragem e análise: malha de amostragem por profundidade, detecção e erros de atribuição genética afetam a forma observada da curva. Esses fatores combinados definem a forma e a posição da curva vertical de proporções para a unidade genética superior; identificar quais predominam requer dados de perfil físico-químico, comportamento, hidrodinâmica e amostragem genética.",input\georegis\dataset.json,
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,verde,"A fácies geralmente interpretada como sedimentos clásticos finos é a fácies ""transparente"" — sinais de baixa amplitude e pouca reflexão interna/continuidade. Justificativa curta: baixa variação de impedância acústica e homogeneidade interna (lâminas muito finas, folhelhos, siltes) produzem esse aspecto. Observação: transparência também pode ser causada por gás, resolução sísmica ou efeitos de diagenese, portanto confirme com poços/atributos.",input\georegis\dataset.json,
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,conceito de fácies sísmicas,"No simulador de reservatórios usa‑se o índice de poço (well index) / productivity index e os termos fonte/sumidouro (source/sink) para distribuir no volume do modelo as CPVs (vazões/pressões) conhecidas nos poços. Esses termos alocam a vazão entre as células perfuradas proporcionalmente à transmissibilidade, às perfurações e ao skin. (Se a intenção for distribuir uma propriedade estática medida só em poços pelo domínio inteiro, usa‑se interpolação geostática — por exemplo krigagem.)",input\georegis\dataset.json,
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções (para litotipos) é uma tabela numérica que descreve, para cada unidade espacial (pixel, célula, parcela ou polígono), a fração de área ocupada por cada litotipo. Em termos práticos: - Estrutura: linhas = unidades espaciais; colunas = classes de litotipo; cada elemento p(i,j) é a proporção da unidade i ocupada pelo litotipo j. - Propriedades obrigatórias: 0 ≤ p(i,j) ≤ 1 e, normalmente, a soma das proporções por linha = 1 (ou 100%). Para construir uma matriz de proporções de litotipos, siga passos simples: 1. Definir o conjunto de litotipos (classes) e a unidade espacial de análise. 2. Obter dados de referência de maior resolução ou inventário de campo (imagens de alta resolução, fotografias aéreas, amostras de campo). 3. Estimar, para cada unidade, a fração de área de cada litotipo — por contagem de pixels de alta resolução, segmentação/objetos, mistura espectral (unmixing), ou estimativa de especialista. 4. Preencher a matriz com essas proporções e normalizar as linhas para somarem 1, se necessário. 5. Validar/avaliar incerteza com dados independentes ou amostras de campo. Exemplo intuitivo (3 unidades × 3 litotipos): Unidade1: [0.6, 0.3, 0.1] Unidade2: [0.0, 1.0, 0.0] Unidade3: [0.2, 0.2, 0.6] Usos comuns: sub-pixel classification, modelagem de uso do solo, cálculo de áreas por classe, análise de mistura e estudos ambientais. Principais cuidados: fontes de erro nas estimativas, necessidade de normalização e documentação das fontes/metodologias usadas.",input\georegis\dataset.json,
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"Significa que na área marcada em amarelo foram interpretadas camadas arenosas com porosidade muito elevada — ou seja, potenciais reservatórios de água e/ou hidrocarbonetos. Geologicamente trata‑se tipicamente de arenitos de grão médio a grosso, bem selecionados e pouco cimentados (boa conectividade dos vazios), frequentemente depositados em ambientes fluviais, costeiros ou eólicos. Em termos práticos implicam alta capacidade de armazenamento e permeabilidade relativamente elevada.",input\georegis\dataset.json,
1320,Qual é a área da Bacia do Espírito Santo?,41.500 km2,"Você quer a área da bacia hidrográfica do estado do Espírito Santo (rios e drenagem) ou da bacia sedimentar/ petrolífera chamada ""Bacia do Espírito Santo"" (offshore)?",input\georegis\dataset.json,
1325,Qual é o limite leste da Bacia do Espírito Santo?,crosta continental/oceânica,"O limite leste da Bacia do Espírito Santo é o Oceano Atlântico, ou mais especificamente a margem continental atlântica.",input\georegis\dataset.json,
1327,Qual é a largura da plataforma continental?,240 km na porção centro-norte,"A largura da plataforma continental varia muito conforme a região. Em média fica em torno de 50–100 km (comumente citam cerca de 80 km), mas pode ser de apenas alguns quilómetros em costas abruptas até mais de 1 000–1 500 km em bacias muito rasas (ex.: Plataforma Siberiana). O limite físico costuma corresponder ao talude continental, tipicamente a uma profundidade de ordem de 100–200 m.",input\georegis\dataset.json,
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,crosta continental/oceânica,"Refere‑se ao limite oriental da bacia com a porção oceânica: ou seja, à transição entre a crosta continental (plataforma continental/ talude) e a crosta oceânica do Atlântico Sul — o chamado limite continente‑oceano formado durante o rifte que abriu o Atlântico Sul. Em termos práticos é a borda marítima da bacia, onde a sedimentação de plataforma dá lugar ao fundo oceânico.",input\georegis\dataset.json,
