question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Ela indica o tipo de litologia presente:  
• amarelo → arenitos muito porosos;  
• verde → sedimentos clásticos finos;  
• azul → margas e calcilutitos.",,,"Ela indica o tipo de litologia presente: 
– nas áreas amarelas, arenitos muito porosos;  
– nas verdes, sedimentos clásticos finos;  
– nas azuis, margas e calcilutitos.",,,48,73,23
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,Ela é guiada pela fácies sísmica correspondente.,,,A curva vertical de proporções é guiada pela respectiva fácies sísmica.,,,46,64,23
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica representada pela cor verde (fácies verde).,,,A fácies sísmica representada pela cor verde.,,,42,68,21
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Usa-se o conceito de fácies sísmicas, que guia a construção da matriz de proporções para distribuir no volume do reservatório as CPVs conhecidas apenas nos poços.",,,"Utiliza-se o conceito de fácies sísmicas, que guia a distribuição espacial das CPVs no reservatório.",,,47,74,27
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É uma grade (matriz) na qual, para cada posição do modelo (ou para cada fácies sísmica), se atribuem as proporções esperadas de cada litotipo, calculadas a partir das curvas de proporções verticais dos poços e espalhadas espacialmente segundo as fácies sísmicas. Essa matriz registra, portanto, a probabilidade ou fração de ocorrência de cada litotipo em todo o volume do reservatório, servindo como base para a modelagem geoestatística.",,,"É a ferramenta geoestatística que, guiada pelas fácies sísmicas e pelas curvas verticais de proporções dos poços, representa e distribui no espaço do reservatório as proporções dos diferentes litotipos, capturando seu comportamento espacial e complementando os variogramas na modelagem.",,,37,60,18
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A Bacia do Espírito Santo tem uma área explorável de aproximadamente 41 500 km².,,,A Bacia do Espírito Santo possui aproximadamente 41 500 km² de área.,,,32,49,13
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste coincide com o limite entre a crosta continental e a crosta oceânica.,,,O limite leste coincide com o limite entre a crosta continental e a crosta oceânica.,,,34,53,15
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,Ela varia de cerca de 40 km no setor sul até aproximadamente 240 km na porção centro-norte.,,,"A plataforma continental mede, em média, cerca de 40 km de largura na parte sul, chegando a aproximadamente 240 km na porção centro-norte.",,,33,53,15
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,À coincidência com o limite entre a crosta continental e a crosta oceânica.,,,À coincidência com o limite entre a crosta continental e a crosta oceânica.,,,38,60,18
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,Cerca de 3.000 km².,,,Cerca de 3 000 km² correspondem à porção terrestre da Bacia do Espírito Santo.,,,29,43,14
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"Ela se evidencia pelo expressivo alargamento da plataforma continental, que de cerca de 40 km ao sul se amplia para aproximadamente 240 km na porção centro-norte.",,,"Pelo alargamento da plataforma continental, que de cerca de 40 km ao sul atinge aproximadamente 240 km na porção centro-norte.",,,33,51,14
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,",A existência do Banco de Abrolhos ao leste.,,,"A existência do Banco de Abrolhos, a leste.",,,30,44,11
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Ele dá ênfase à cronoestratigrafia da Bacia do Espírito Santo.,,,Ele enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,34,56,15
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,"Ela fica no Estado do Espírito Santo, Brasil.",,,"No Estado do Espírito Santo, Brasil.",,,49,72,27
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","Ela é limitada:
• Ao sul, pela Bacia de Campos, separada pelo Alto de Vitória;  
• Ao norte, pela Bacia de Mucuri;  
• A leste, pelo limite crosta continental/oceânica (região do Banco de Abrolhos).",,,"A Bacia do Espírito Santo é limitada:
• ao sul, pela Bacia de Campos, separada pelo Alto de Vitória;  
• ao norte, pela Bacia de Mucuri;  
• a leste, pelo limite entre a crosta continental e a crosta oceânica.",,,39,61,22
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,A hipótese c – que supõe uma obliquidade constante em toda a área – é a que se mostra compatível com a cinemática indicada pelos demais elementos estruturais.,,,"A hipótese c, que supõe obliquidade constante em toda a área.",,,37,58,16
1391,O que sugere que a evolução direcional posterior à nucleação frontal da zona de falha desenvolva uma evolução direcional posterior à nucleação frontal?,SUCCESS,secciona-mento da zona de falha de Perimbó,"O seccionamento da zona de falha de Perimbó por falhas transcorrentes, principalmente pelas falhas dextrais.",,,"O fato de a zona de falha de Perimbó ter sido seccionada por falhas transcorrentes, sobretudo pelas falhas dextrais, é que indica uma evolução direcional posterior à sua nucleação frontal.",,,48,74,14
1398,Quais regimes produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,"Regimes de convergência oblíqua, isto é, regimes transpressivos.",,,Regimes de deformação oblíqua ou transpressiva.,,,27,37,10
1401,Qual é a base para quantificar o encurtamento?,SUCCESS,"um marcador linear, paralelo à direção de compressão máxima",Ele pode ser quantificado utilizando-se como base um marcador linear paralelo à direção de compressão máxima.,,,Um marcador linear paralelo à direção de compressão máxima.,,,26,44,12
1402,Quais são os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,"Os regimes seriam:
1. regime oblíquo;  
2. regime transpressivo.",,,Os regimes seriam o oblíquo e o transpressivo.,,,26,39,10
1406,Qual é a direção do vetor tectônico na primeira fase de deformação?,SUCCESS,de SE para NW,O vetor tectônico na primeira fase de deformação está orientado de sudeste para noroeste (SE → NW).,,,O vetor tectônico na primeira fase de deformação está orientado de sudeste para noroeste (SE → NW).,,,80,117,47
1407,O que sugere o seccionamento da zona de falha de Perimbó pelas falhas transcorrentes?,SUCCESS,uma evolução direcional posterior à nucleação frontal da referida zona de falha,"Que houve uma evolução direcional posterior à nucleação frontal da zona de falha de Perimbó, incompatível com um regime transpressivo.",,,"Que, depois da nucleação frontal da zona de falha de Perimbó, ocorreu uma evolução direcional (predominantemente dextral) posterior, incompatível com um regime transpressivo.",,,36,60,16
1412,O que a hipótese b sugere que deveria ocorrer também?,SUCCESS,uma dispersão dos valores de acamamento,Que houvesse também uma dispersão dos valores de acamamento (indicando uma deformação tardia).,,,Ela sugere que deveria ocorrer também uma dispersão dos valores de acamamento que indicasse uma suposta deformação tardia.,,,36,55,18
1413,Qual é a condição que a hipótese c considera constante em toda a área?,SUCCESS,a condição de obliqüidade,A hipótese c considera a obliquidade como constante em toda a área.,,,A hipótese c supõe que a obliquidade permanece constante em toda a área.,,,36,53,15
1414,Qual é o nome da descontinuidade crustal?,SUCCESS,"Arco de São Mateus,",A descontinuidade crustal chama-se Arco de São Mateus.,,,Chama-se Arco de São Mateus.,,,66,110,39
1415,Qual é a idade do fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma, geocro-nologicamente compatível","69,4 ± 1,3 milhões de anos.",,,"69,4 ± 1,3 milhões de anos.",,,67,111,37
1416,Qual é a sequência vulcanoclástica da Fm. Rio Doce?,SUCCESS,Abrolhos,Ela corresponde à sequência vulcanoclástica da Formação Abrolhos.,,,A sequência vulcanoclástica relacionada à Fm. Rio Doce é a da Formação Abrolhos.,,,62,109,36
1426,Qual foi a data de um fragmento mafico de uma rocha?,SUCCESS,"69,4 ± 1,3 Ma","69,4 ± 1,3 milhões de anos (Ma).",,,"A datação Ar-Ar indicou 69,4 ± 1,3 milhões de anos (Ma).",,,60,103,36
1429,Como é chamada a descontinuidade crustal?,SUCCESS,Arco de São Mateus,Chama-se Arco de São Mateus.,,,Ela é chamada de Arco de São Mateus.,,,66,108,35
1430,Qual é a área das rochas piroclásticas ácidas encontradas na região nordeste de Minas Gerais?,SUCCESS,75km de comprimento por 25km de largura,Elas cobrem cerca de 75 km de comprimento por 25 km de largura (aprox. 1 900 km²).,,,"Elas afloram numa faixa de cerca de 75 km de comprimento por 25 km de largura, totalizando aproximadamente 1 875 km².",,,64,106,38
1436,Qual a idade geocronológica indicada pela datação Ar-Ar de um fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma","A datação Ar-Ar indicou 69,4 ± 1,3 milhões de anos (Ma).",,,"A datação Ar-Ar indicou idade de 69,4 ± 1,3 milhões de anos (Ma).",,,65,114,40
1439,"O que controlaria os fenômenos neotectônicos, o padrão de drenagem e a circulação de fluidos na região?",SUCCESS,"a uma descontinuidade crustal denominada Arco de São Mateus,",As reativações da descontinuidade crustal conhecida como Arco de São Mateus.,,,Pelas reativações da descontinuidade crustal conhecida como Arco de São Mateus.,,,65,109,34
1440,Qual é a idade do fragmento máfico mencionado no texto?,SUCCESS,"69,4 ± 1,3 Ma","O fragmento máfico tem idade de 69,4 ± 1,3 milhões de anos.",,,"A datação Ar–Ar indica 69,4 ± 1,3 milhões de anos.",,,62,105,34
1441,O que é a Fm. Rio Doce?,SUCCESS,"arenitos médios a muito grossos, quartzozos, feldspáticos, com cores cinza-esverdeadas, maciços ou com estratificações cruzadas","É uma unidade geológica formada por arenitos médios a muito grossos, quartzo-feldspáticos, de cor cinza-esverdeada, maciços ou com estratificação cruzada, mal selecionados, pouco lamosos e fortemente litificados, com os grãos cimentados por sílica criptocristalina.",,,"É uma formação geológica constituída por arenitos quartzosos-feldspáticos de granulação média a muito grossa (idade Terciária), geralmente cinza-esverdeados, maciços ou com estratificação cruzada, mal selecionados e fortemente silicificados, sobretudo junto ao contato com rochas vulcânicas.",,,57,98,33
1442,Como são os sedimentos da Fm. Rio Doce?,SUCCESS,"mal selecionados, pouco lamosos e extremamente litificados, com os grãos cimentados por sílica criptocristalina","São arenitos médios a muito grossos, quartzosos e feldspáticos, cinza-esverdeados, maciços ou com estratificação cruzada; sedimentos mal selecionados, pouco lamosos e extremamente litificados, com grãos cimentados por sílica criptocristalina.",,,"São arenitos médios a muito grossos, quartzosos e feldspáticos, de cor cinza-esverdeada, maciços ou com estratificação cruzada; os sedimentos são mal selecionados, pouco lamosos e extremamente litificados, com os grãos cimentados por sílica criptocristalina.",,,74,125,38
