question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Ela indica o litotipo predominante em cada zona:  
• amarelo → arenitos muito porosos;  
• verde → sedimentos clásticos finos;  
• azul → margas e calcilutitos.",,,"Ela indica o tipo de litologia: 
– onde é amarela, corresponde a arenitos muito porosos;  
– onde é verde, a sedimentos clásticos finos;  
– onde é azul, a margas e calcilutitos.",,,37,57,17
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada corresponde aos litotipos (ou fácies litológicas) presentes no reservatório – por exemplo, arenitos muito porosos, sedimentos clásticos finos, margas e calcilutitos.",,,Ela corresponde a sedimentos clásticos finos.,,,38,63,14
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"É saber como distribuir, por todo o volume do reservatório, as CPVs que só são conhecidas nos poços.",,,Saber como distribuir no volume do reservatório as CPVs (curvas de proporção vertical) que são conhecidas somente nos poços.,,,41,63,19
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,"É o conjunto de litotipos inferidos a partir do sinal sísmico: 
• na área amarela, arenitos muito porosos;  
• na área verde, sedimentos clásticos finos;  
• na área azul, margas e calcilutitos.",,,"No exemplo citado, a fácies sísmica é interpretada como diferentes litotipos: 
• onde predomina o amarelo – arenitos muito porosos;  
• onde predomina o verde – sedimentos clásticos finos;  
• onde predomina o azul – margas e calcilutitos.",,,43,61,18
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão é: como distribuir, dentro do volume do reservatório, as CPVs conhecidas apenas nos locais dos poços.",,,"É saber como distribuir, no volume do reservatório, as CPVs conhecidas apenas nos poços.",,,33,51,13
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções é guiada pela fácies sísmica correspondente.,,,Ela é guiada pelas respectivas fácies sísmicas.,,,33,50,12
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica representada pela cor verde.,,,A fácies sísmica representada pela cor verde.,,,45,68,23
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"O conceito de fácies sísmicas, que guia a construção da matriz de proporções.",,,Utiliza-se o conceito de fácies sísmicas para guiar a distribuição espacial das CPVs no volume do reservatório.,,,41,59,18
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É o quadro (ou grade) onde se registra, para cada posição/nível do modelo, a fração esperada de cada litotipo. Ele é construído a partir das curvas de proporções verticais observadas nos poços e espalhado pelo volume do reservatório com auxílio das fácies sísmicas; serve para representar o padrão espacial dos litotipos e apoiar a modelagem geoestatística.",,,"A matriz de proporções é uma ferramenta geoestatística usada para distribuir, no volume do reservatório, as curvas verticais de proporções (CPVs) conhecidas nos poços; ela captura o comportamento espacial dos litotipos e complementa a análise feita com variogramas.",,,34,49,15
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,A fácies sísmica correspondente (representada em amarelo).,,,A fácies sísmica presente na região amarela.,,,43,64,20
1313,Qual é a área da Bacia do Espírito Santo?,SUCCESS,"41.500 km2,",A Bacia do Espírito Santo cobre cerca de 41.500 km² (dos quais aproximadamente 3.000 km² são em terra).,,,"A Bacia do Espírito Santo abrange cerca de 41 500 km² de área explorável, dos quais aproximadamente 3 000 km² estão em terra.",,,32,45,17
1316,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,"Asmus et al.,",Foi apresentada por Asmus et al.,,,Foi apresentada por Asmus et al.,,,36,57,14
1317,Quantos km2 da Bacia do Espírito Santo são de exploração?,SUCCESS,"41.500 km2,",Cerca de 41 500 km².,,,Cerca de 41 500 km².,,,36,57,14
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área explorável da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,Aproximadamente 41 500 km².,,,29,43,12
