question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
Medical-0002d2de,How are bone cancers staged and what factors are considered in determining the stage?,SUCCESS,"Bone cancers are staged using the TNM system, which considers tumor size/location (T), lymph node involvement (N), metastasis (M), and tumor grade (G), with the final stage determined by combining these scores.","Bone cancers are staged using the TNM system, which considers tumor size and location (T), lymph node involvement (N), metastasis (M), and tumor grade (G). The final stage is determined by combining these factors.",,,"Bone cancers are staged using the TNM system, which considers tumor size and location (T), lymph node involvement (N), metastasis (M), and tumor grade (G). The final stage is determined by combining the TNM and grade scores.",,,17,30,2
Medical-0030eab4,What combination of cell types is used to determine the grade of follicular lymphoma and how does this affect management?,SUCCESS,"The proportion of centrocytes and centroblasts determines the grade, which guides treatment decisions.","The grade of follicular lymphoma is determined by the proportion of centrocytes and centroblasts; specifically, the proportion of centroblasts is used to assign the grade. The grade then guides treatment decisions.",,,"The grade of follicular lymphoma is determined by the ratio and proportion of two cell types: centroblasts and centrocytes. This grade guides treatment decisions—higher grades (more centroblasts) typically require more aggressive therapy, while lower grades may be managed less intensively.",,,13,17,2
Medical-0047c320,Does having red or blond hair increase the risk of BCC?,SUCCESS,Red hair and blond hair increase the risk of BCC.,"Yes, both red and blond hair increase the risk of BCC.",,,"Yes, having red or blond hair increases the risk of basal cell carcinoma (BCC).",,,10,12,1
Medical-0093e2ec,What combination of symptoms and imaging findings would indicate metastatic prostate cancer?,SUCCESS,Bone pain and unexplained weight loss with positive findings on bone scan or PET scan indicate metastatic prostate cancer.,"A combination of bone pain and unexplained weight loss, along with positive findings on a bone scan or PET scan, would indicate metastatic prostate cancer.",,,"A combination of bone pain or bone discomfort, unexplained weight loss, and positive findings on a bone scan or PET scan indicates metastatic prostate cancer.",,,14,20,2
Medical-00bf955d,What is the role of clinical trials in the treatment of specific ALL subtypes?,SUCCESS,"Clinical trials are preferred for certain ALL subtypes such as BCR::ABL1-negative or BCR::ABL1-like B-ALL and are also an option for T-ALL, providing access to novel therapies.","Clinical trials play a key role in the treatment of specific ALL subtypes—such as BCR::ABL1-negative B-ALL, BCR::ABL1-like B-ALL, and T-ALL—by providing access to novel therapies and preferred treatment options.",,,"Clinical trials play a key role in the treatment of certain ALL subtypes—specifically BCR::ABL1-negative B-ALL, BCR::ABL1-like B-ALL, and T-ALL—by providing preferred or recommended access to novel and experimental therapies.",,,14,20,2
Medical-00ef7b5d,How are dMMR/MSI-H and pMMR/MSS statuses determined and how do they influence therapy choices?,SUCCESS,"All colon cancers should be tested for dMMR/MSI-H or pMMR/MSS, with dMMR/MSI-H guiding immunotherapy and pMMR/MSS leading to chemotherapy.","dMMR/MSI-H and pMMR/MSS statuses are determined by testing colon cancer tissue for mismatch repair deficiency (dMMR) or high microsatellite instability (MSI-H), versus proficient mismatch repair (pMMR) or microsatellite stable (MSS). If dMMR/MSI-H is found, immunotherapy is recommended. If pMMR/MSS is found, chemotherapy is used.",,,"dMMR/MSI-H and pMMR/MSS statuses are determined by testing all colon cancers for mismatch repair (MMR) or microsatellite instability (MSI).  
- dMMR/MSI-H (deficient MMR or microsatellite instability-high) tumors are candidates for immunotherapy.
- pMMR/MSS (proficient MMR or microsatellite stable) tumors are treated with chemotherapy.

Thus, determining MMR/MSI status directs the choice between immunotherapy (for dMMR/MSI-H) and chemotherapy (for pMMR/MSS).",,,14,20,2
Medical-0103d518,How are hereditary breast-ovarian cancer syndrome and HBOC related to pancreatic ductal adenocarcinoma risk?,SUCCESS,Both hereditary breast-ovarian cancer syndrome and HBOC are genetic syndromes that increase the risk of pancreatic ductal adenocarcinoma.,Hereditary breast-ovarian cancer syndrome (HBOC) increases the risk of pancreatic ductal adenocarcinoma.,,,"Hereditary breast-ovarian cancer syndrome (HBOC) is a genetic syndrome that increases the risk of pancreatic ductal adenocarcinoma. HBOC and hereditary breast-ovarian cancer syndrome are the same condition, both raising the risk for this type of pancreatic cancer.",,,11,15,2
Medical-0125ebb1,How do Gleason score and Grade Group contribute to the management of prostate cancer?,SUCCESS,They estimate cancer aggressiveness and help assign risk groups that guide prognosis and treatment decisions.,"Gleason score and Grade Group estimate prostate cancer aggressiveness, help assign risk groups, and thereby guide prognosis and treatment decisions.",,,"Gleason score and Grade Group both estimate prostate cancer aggressiveness. They are used to assign risk groups, which guide prognosis and inform treatment decisions in prostate cancer management.",,,17,24,2
Medical-0155c059,Which factors are considered prognostic in NPC?,SUCCESS,EBV DNA level and performance status are prognostic factors.,Prognostic factors in nasopharyngeal carcinoma (NPC) include EBV DNA level and performance status.,,,"The prognostic factors in nasopharyngeal carcinoma (NPC) are:
- EBV (Epstein-Barr Virus) DNA level
- Performance status",,,14,18,2
Medical-015910ee,How can cancer and its treatment impact fertility in mouth cancer patients?,SUCCESS,Cancer and its treatment can affect fertility.,"Cancer and its treatment can impact fertility in mouth cancer patients by directly affecting reproductive organs or through side effects of treatments such as chemotherapy and radiation, which may harm fertility.",,,Cancer and its treatment can impact fertility in mouth cancer patients by directly affecting their ability to reproduce. Both the disease (mouth cancer) and its treatments can negatively influence fertility.,,,12,15,1
