question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa um tipo específico de litotipo predominante em determinada região do reservatório, identificado a partir dos dados sísmicos. Por exemplo, pode indicar zonas de arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, guiando assim a distribuição espacial dos diferentes litotipos na modelagem do reservatório.",1.0,1.0,"A fácies sísmica interpretada representa o tipo de litotipo predominante em determinada região do reservatório, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, guiando a distribuição espacial das proporções desses litotipos (CPVs) na modelagem geoestatística.",1.0,1.0,32,47,16
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica.,1.0,1.0,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica interpretada.,1.0,1.0,28,41,13
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a representada pela cor **verde**.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a correspondente à cor verde.,1.0,1.0,32,43,16
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se o conceito de **fácies sísmicas** para guiar a distribuição espacial das CPVs conhecidas somente nos poços, construindo assim a **matriz de proporções de litotipos** no volume do reservatório.",1.0,1.0,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se a matriz de proporções de litotipos, guiada pelas fácies sísmicas.",1.0,1.0,28,42,10
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta que representa a distribuição espacial das proporções dos diferentes litotipos (tipos de rochas) dentro de um reservatório, guiada por fácies sísmicas e pelas CPVs conhecidas nos poços. Ela auxilia na modelagem geoestatística, capturando o comportamento espacial dos litotipos e complementando a análise estrutural das variáveis regionais.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta geoestatística usada para representar e distribuir espacialmente, dentro do reservatório, as proporções de diferentes litotipos (CPVs) conhecidas apenas nos poços, guiadas pelas fácies sísmicas. Ela permite capturar o comportamento espacial dos litotipos e complementar a análise estrutural das variáveis regionais na modelagem geoestatística.",1.0,1.0,35,51,16
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é aproximadamente 41.500 km².,1.0,1.0,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,29,43,16
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é a fronteira crosta continental/oceânica.,1.0,1.0,O limite leste da Bacia do Espírito Santo é a linha coincidente com o limite crosta continental/oceânica.,1.0,1.0,36,54,20
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,1.0,1.0,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,1.0,1.0,41,64,23
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e a crosta oceânica.,1.0,1.0,A fronteira leste da Bacia do Espírito Santo refere-se ao limite crosta continental/oceânica.,1.0,1.0,37,53,24
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,"A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,"A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km², dos quais 3.000 km² correspondem à bacia terrestre.",1.0,1.0,37,56,20
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"A fisiografia do Banco de Abrolhos evidencia-se pelo alargamento da plataforma continental, que passa de uma média de 40 km de largura ao sul para cerca de 240 km na porção centro-norte da bacia.",1.0,1.0,"A fisiografia do Banco de Abrolhos é evidenciada por um alargamento da plataforma continental, que de uma média de 40 km de largura ao sul alcança cerca de 240 km na porção centro-norte da Bacia do Espírito Santo.",1.0,1.0,41,62,24
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, que causa um alargamento da plataforma continental, atribui à bacia uma fisiografia particular.",0.6666666666666666,1.0,"A existência do Banco de Abrolhos, a leste, atribui à bacia uma fisiografia particular.",0.5,1.0,47,72,25
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,"Este trabalho enfatiza a cronoestratigrafia da Bacia do Espírito Santo, resumindo o conhecimento adquirido desde a última publicação e mantendo os mesmos princípios litoestratigráficos da edição anterior da carta estratigráfica.",1.0,1.0,"Este trabalho enfatiza o conhecimento adquirido sobre a Bacia do Espírito Santo desde a última publicação, com destaque para a cronoestratigrafia, sintetizado na atualização da carta estratigráfica da bacia.",1.0,1.0,34,59,18
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,1.0,1.0,"A Bacia do Espírito Santo está situada no Estado do Espírito Santo, delimitada ao sul pela Bacia de Campos e ao norte pela Bacia de Mucuri.",1.0,1.0,39,58,23
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","Os limites da Bacia do Espírito Santo são: ao sul, a Bacia de Campos, delimitada pelo Alto de Vitória; ao norte, a Bacia de Mucuri; e a leste, o limite coincide com a crosta continental/oceânica, próximo ao Banco de Abrolhos.",1.0,1.0,"Os limites da Bacia do Espírito Santo são:
- Ao sul: Bacia de Campos, separada pelo Alto de Vitória.
- Ao norte: Bacia de Mucuri.
- A leste: Limite com a crosta continental/oceânica, próximo ao Banco de Abrolhos.
- Está situada no Estado do Espírito Santo.",1.0,1.0,35,53,16
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,"Compatível com a cinemática definida pelos outros elementos estruturais seria a hipótese c, que considera uma condição de obliquidade constante em toda a área.",1.0,1.0,"Compatível com a cinemática definida pelos outros elementos estruturais seria a hipótese c: uma condição de obliquidade constante em toda a área, indicando uma evolução inicial com regime compressivo frontal (dobras e falhas reversas), formação de falhas conjugadas, achatamento progressivo do par conjugado devido à continuidade do campo compressivo, e posterior ativação de falhas transcorrentes dextrais.",1.0,1.0,31,43,13
