question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
question_100,Que entidade impede que hidrocarbonetos continuem migrando até a superfície?,SUCCESS,,A entidade que impede que hidrocarbonetos continuem migrando até a superfície é a trapa (ou rocha selo/impermeável).,,,"A entidade que impede que hidrocarbonetos continuem migrando até a superfície é a trapa, que pode ser uma rocha impermeável, como uma camada de sal.",,,61,87,41
question_101,Qual arranjo explica a acumulação de petróleo quando uma falha justapõe reservatório e selo?,SUCCESS,,O arranjo que explica a acumulação de petróleo quando uma falha justapõe reservatório e selo é uma armadilha estrutural ou trapa de falha.,,,"O arranjo que explica a acumulação de petróleo quando uma falha justapõe reservatório e selo é uma armadilha estrutural, especificamente uma armadilha associada à falha, onde o deslocamento alinha o reservatório de um lado da falha com uma rocha selo do outro lado, impedindo a fuga do petróleo.",,,46,67,27
question_102,Que propriedade permite diferenciar reservatórios de selos em uma descrição de bacia?,SUCCESS,,"A propriedade que permite diferenciar reservatórios de selos é a permeabilidade: reservatórios têm alta permeabilidade e porosidade, enquanto selos têm baixa permeabilidade.",,,"A propriedade que permite diferenciar reservatórios de selos em uma descrição de bacia é a permeabilidade. Reservatórios possuem alta porosidade e permeabilidade, enquanto selos (ou rochas selantes) possuem baixa permeabilidade.",,,49,73,30
question_103,Qual sequência vertical de fluidos é esperada em uma rocha reservatório segundo o SGB?,SUCCESS,,"Segundo o SGB, a sequência vertical de fluidos em uma rocha reservatório é: água salgada na base, acima dela petróleo, e acima do petróleo gás natural.",,,"Segundo o SGB, a sequência vertical de fluidos esperada em uma rocha reservatório é: na base, água salgada; acima da água, petróleo; e acima do petróleo, gás natural.",,,41,58,25
question_104,Que método geofísico é central para pesquisar estruturas acumuladoras de hidrocarbonetos?,SUCCESS,,O método geofísico central é a sísmica.,,,O método geofísico central para pesquisar estruturas acumuladoras de hidrocarbonetos é a sísmica.,,,38,52,20
question_105,Que estudos ajudam a reconhecer a extensão de uma rocha reservatório?,SUCCESS,,"Os estudos que ajudam a reconhecer a extensão de uma rocha reservatório são: análises regionais de outros poços, estratigrafia, sedimentologia e interpretação sísmica.",,,"Os estudos que ajudam a reconhecer a extensão de uma rocha reservatório são: estudos regionais, estratigrafia, sedimentologia e interpretação sísmica.",,,65,101,42
question_106,"Que classe de rocha sedimentar está associada a arenitos, siltitos e argilitos?",SUCCESS,,"A classe de rocha sedimentar associada a arenitos, siltitos e argilitos é a das rochas sedimentares detríticas (ou clásticas).",,,"A classe de rocha sedimentar associada a arenitos, siltitos e argilitos é a das rochas sedimentares detríticas (ou clásticas).",,,66,106,41
question_107,Como areia e arenito se conectam em descrições sedimentares?,SUCCESS,,"Areia é o sedimento composto por grãos de tamanho específico, e arenito é a rocha formada pela compactação e cimentação da areia. Ou seja, arenitos são rochas sedimentares originadas da litificação da areia.",,,"Areia é um sedimento com diâmetro de grão intermediário e, quando consolidada, forma o arenito, que é uma rocha feita de areia. Portanto, areia e arenito se conectam como sedimento e rocha correspondente em descrições sedimentares.",,,59,91,37
question_108,Que litologia tende a ser compatível com reservatórios comuns formados por grãos de areia a seixo?,SUCCESS,,"A litologia compatível é arenito, calcarenito ou conglomerado.",,,A litologia que tende a ser compatível com reservatórios comuns formados por grãos de areia a seixo é o arenito.,,,69,104,43
question_109,Que entidade deve ser inferida quando o contexto menciona baixa permeabilidade acima do reservatório?,SUCCESS,,"A entidade a ser inferida é ""rocha selante"" ou ""selo"".",,,"A entidade a ser inferida é ""rocha selante"" (ou ""rochas selantes"").",,,39,62,20
