question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa o tipo de litologia inferida a partir do padrão sísmico: nas áreas amarelas, arenitos muito porosos; onde predomina o verde, sedimentos clásticos finos; e onde predomina o azul, margas e calcilutitos.",,,"A fácies sísmica interpretada representa o **litotipo dominante** em cada região do reservatório, usado para guiar a distribuição espacial das CPVs na matriz de proporções: **amarelo = arenitos muito porosos**, **verde = sedimentos clásticos finos**, **azul = margas e calcilutitos**.",,,60,103,36
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções é guiada pela **respectiva fácies sísmica interpretada** (por exemplo, amarelo = arenitos muito porosos; verde = clásticos finos; azul = margas/calcilutitos).",,,"A curva vertical de proporções é guiada pela **respectiva fácies sísmica** (por exemplo, amarelo = arenitos muito porosos; verde = sedimentos clásticos finos; azul = margas e calcilutitos) na matriz de proporções da unidade genética superior do reservatório de Namorado.",,,66,111,34
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,"A fácies sísmica associada à cor **verde** na matriz de proporções, interpretada como **sedimentos clásticos finos**.",,,A fácies sísmica associada à **região verde** da matriz de proporções (interpretada como **sedimentos clásticos finos**).,,,69,114,38
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se o **conceito de fácies sísmicas** para **guiar a repartição espacial das CPVs** no volume do reservatório, por meio da **construção da matriz de proporções**.",,,"Utiliza-se o **conceito de fácies sísmicas**, que **guia a repartição espacial das CPVs** no volume do reservatório por meio da **construção da matriz de proporções de litotipos**.",,,66,111,36
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A **matriz de proporções** é uma grade/volume que **armazenha, em cada posição do reservatório, as proporções esperadas de cada litotipo** (derivadas das **curvas verticais de proporções – CPVs** dos poços) e **as distribui espacialmente**.

Ela é construída usando **fácies sísmicas como guia** para “espalhar” no volume as CPVs conhecidas apenas nos poços (por exemplo: zonas amarelas → arenitos muito porosos; verdes → clásticos finos; azuis → margas/calcilutitos). Assim, a matriz **captura o comportamento espacial dos litotipos** e **complementa os variogramas** na modelagem geoestatística.",,,"A **matriz de proporções** é uma **ferramenta** que representa, no volume do reservatório, a **repartição espacial/proporcional dos litotipos**, **extrapolando** as **curvas verticais de proporções (CPVs)** medidas apenas nos poços. Essa distribuição é **guiada por fácies sísmicas** (que orientam onde cada litotipo tende a dominar) e serve para **capturar o comportamento espacial** dos litotipos, complementando os **variogramas** na análise estrutural da modelagem geoestatística.",,,57,97,33
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A Bacia do Espírito Santo possui uma área explorável de aproximadamente **41.500 km²** (sendo **3.000 km²** de bacia terrestre).,,,A Bacia do Espírito Santo possui **área explorável de aproximadamente 41.500 km²** (sendo cerca de **3.000 km²** na porção terrestre).,,,65,104,37
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo coincide com o limite entre a crosta continental e a crosta oceânica.,,,O limite (fronteira) leste da Bacia do Espírito Santo é **coincidente com o limite entre a crosta continental e a crosta oceânica**.,,,71,117,39
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A plataforma continental tem em média **40 km** de largura ao sul e chega a cerca de **240 km** na porção **centro-norte**.,,,A plataforma continental tem largura média de cerca de **40 km ao sul** e chega a aproximadamente **240 km** na porção **centro-norte**.,,,79,136,44
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e a crosta oceânica (limite crosta continental/oceânica).,,,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e a crosta oceânica (limite crosta continental/oceânica).,,,82,137,50
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,"A Bacia do Espírito Santo tem área explorável de aproximadamente **41.500 km²**, dos quais **3.000 km²** correspondem à **bacia terrestre**.",,,"A Bacia do Espírito Santo tem área explorável de aproximadamente **41.500 km²**, dos quais **3.000 km²** correspondem à **bacia terrestre**.",,,79,134,42
