id,domain,question,context,answer_text,span_start,span_end
1292,georegis,O que representa a fácies sísmica interpretada?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",sedimentos clásticos finos,422,448
1293,georegis,A que corresponde a fácies sísmica interpretada?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",sedimentos clásticos finos,422,448
1296,georegis,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,563,642
1297,georegis,O que é interpretado como fácies sísmica?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",arenitos muito porosos,320,342
1301,georegis,Qual é a principal questão que envolve o conceito de fácies sísmicas?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,563,642
1304,georegis,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",respectiva fácies sísmica,275,300
1305,georegis,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",verde,351,356
1306,georegis,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",conceito de fácies sísmicas,674,701
1309,georegis,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,784,868
1310,georegis,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,"construção de uma matriz de proporções de litotipos. Na figura 3 é mostrado um exemplo da matriz de proporções para a unidade genética superior do reservatório de Namorado e a posição de dois poços. Na região que domina o amarelo a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos. Onde o verde aparece mais, a fácies sísmica interpretada é a correspondente a sedimentos clásticos finos e na região que predomina o azul, a fácies interpretada é a de margas e de calcilutitos. A questão fundamental é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? Neste momento é que intervém o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções. Ela é uma ferramenta muito importante para capturar o comportamento espacial dos litotipos, além disso, ela também é um instrumento complementar aos variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",a curva vertical de proporções é guiada pela respectiva fácies sísmica,230,300
