question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa um tipo específico de litotipo no reservatório, identificado por suas características sísmicas e associado, por exemplo, a arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos. Ela guia a distribuição espacial desses litotipos na matriz de proporções durante a modelagem geológica.",1.0,1.0,"A fácies sísmica interpretada representa um tipo de litotipo predominante no reservatório, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, guiando a distribuição espacial dessas rochas na matriz de proporções.",1.0,1.0,34,47,16
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica.,1.0,1.0,"A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica, que orienta a distribuição espacial dos litotipos conforme a interpretação sísmica.",1.0,1.0,30,42,17
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a que aparece mais na cor verde.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a fácies correspondente à região verde.,1.0,1.0,33,52,17
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, é utilizado o conceito de fácies sísmicas, que guia a repartição espacial das CPVs por meio da construção de uma matriz de proporções de litotipos.",1.0,1.0,"O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?

A matriz de proporções de litotipos, guiada pelas fácies sísmicas, é utilizada para distribuir no volume do reservatório as CPVs conhecidas somente nos poços.",1.0,1.0,38,61,18
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta que representa, para cada posição no reservatório, a proporção de cada litotipo (tipo de rocha) presente. Ela distribui espacialmente as proporções dos litotipos, guiada pelas fácies sísmicas, usando as CPVs conhecidas nos poços, ajudando a capturar o comportamento espacial dos litotipos e complementando os variogramas na análise geoestatística.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta utilizada para distribuir, no volume do reservatório, as proporções dos diferentes litotipos (tipos de rocha), guiada por fácies sísmicas e dados de poços. Ela captura o comportamento espacial dos litotipos e complementa os variogramas na modelagem geoestatística.",1.0,1.0,32,49,11
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,52,75,25
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é a linha de transição entre a crosta continental e oceânica.,1.0,1.0,"O limite leste da Bacia do Espírito Santo é a fronteira crosta continental/oceânica, coincidindo com o alargamento da plataforma continental e a presença do Banco de Abrolhos.",1.0,1.0,36,51,20
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental varia de uma média de 40 km a sul até cerca de 240 km na porção centro-norte.,1.0,1.0,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte da Bacia do Espírito Santo.,1.0,1.0,49,80,23
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e oceânica.,1.0,1.0,A fronteira leste da Bacia do Espírito Santo refere-se ao limite crosta continental/oceânica.,1.0,1.0,45,67,25
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,"A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,"A Bacia do Espírito Santo possui uma área total de aproximadamente 41.500 km², dos quais cerca de 3.000 km² correspondem à bacia terrestre.",1.0,1.0,33,51,18
