question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa diferentes tipos de rochas ou sedimentos no reservatório, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, identificados a partir dos dados sísmicos para guiar a distribuição espacial dos litotipos na matriz de proporções.",,,"A fácies sísmica interpretada representa diferentes tipos de litotipos no reservatório, como arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) e margas ou calcilutitos (azul), guiando a distribuição espacial dessas rochas a partir dos dados sísmicos.",,,41,58,22
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica.,,,"A curva vertical de proporções na matriz para a unidade genética superior do reservatório de Namorado é guiada pelas fácies sísmicas, que indicam os litotipos predominantes em cada região (arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos).",,,35,50,21
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,"A fácies sísmica interpretada como sedimentos clásticos finos, na matriz de proporções, é a correspondente à região onde predomina o verde.",,,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é aquela associada ao domínio da cor verde.,,,34,48,15
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"O conceito de fácies sísmicas é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, guiando a construção da matriz de proporções.",,,"O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços é a matriz de proporções de litotipos, guiada pelo conceito de fácies sísmicas.",,,27,36,11
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções, na construção de uma matriz de proporções de litotipos, é uma ferramenta que representa a distribuição espacial das proporções de diferentes litotipos (ou fácies) dentro de um reservatório. Ela utiliza informações conhecidas nos poços e orientações de fácies sísmicas para guiar a estimativa dessas proporções em todo o volume do reservatório, capturando o comportamento espacial dos litotipos e complementando a análise geoestatística.",,,"A matriz de proporções de litotipos é uma ferramenta utilizada para captar e distribuir espacialmente as proporções dos diferentes tipos de rocha (litotipos) em um reservatório, a partir dos dados conhecidos nos poços, sendo guiada pelas fácies sísmicas. Ela permite representar o comportamento espacial dos litotipos e complementa a análise estrutural feita por variogramas na modelagem geoestatística.",,,32,47,15
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,A área da Bacia do Espírito Santo é aproximadamente 41.500 km².,,,56,87,37
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é a crosta continental/oceânica.,,,O limite leste da Bacia do Espírito Santo é a fronteira crosta continental/oceânica.,,,49,81,32
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,,,A largura da plataforma continental varia de 40 km (ao sul) até cerca de 240 km (na porção centro-norte).,,,43,69,27
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e a crosta oceânica.,,,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e oceânica.,,,44,72,30
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,A Bacia do Espírito Santo possui cerca de 3.000 km² de área terrestre.,,,"A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km², dos quais cerca de 3.000 km² correspondem à bacia terrestre.",,,40,64,20
