question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa tipos específicos de rochas ou sedimentos no reservatório, identificados por suas características sísmicas, como arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) e margas/calcilutitos (azul). Ela orienta a distribuição espacial dos litotipos a partir dos dados sísmicos, auxiliando na construção da matriz de proporções do reservatório.",0.5714285714285714,1.0,"A fácies sísmica interpretada representa um tipo de litotipo ou ambiente deposicional específico (como arenitos muito porosos, sedimentos clásticos finos, ou margas e calcilutitos) identificado a partir dos dados sísmicos, e é utilizada para guiar a repartição espacial das curvas de propriedades volumétricas (CPVs) no reservatório.",1.0,1.0,23,34,3
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada corresponde a tipos de rochas ou sedimentos identificados a partir de dados sísmicos, por exemplo: na região amarela, arenitos muito porosos; na verde, sedimentos clásticos finos; e na azul, margas e calcilutitos.",0.25,1.0,"A fácies sísmica interpretada corresponde à associação entre padrões observados nos dados sísmicos e determinados litotipos no reservatório, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos. Ela guia a distribuição espacial das propriedades petrofísicas (CPVs) na modelagem do reservatório.",1.0,1.0,19,29,2
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão é como distribuir no volume do reservatório as CPVs (curvas de proporção de volume) conhecidas apenas nos poços, usando o conceito de fácies sísmicas para guiar a repartição espacial e construir a matriz de proporções.",0.25,1.0,A principal questão é como distribuir no volume do reservatório as proporções conhecidas de litotipos (CPVs) que existem somente nos poços. O conceito de fácies sísmicas é usado justamente para guiar essa distribuição espacial das CPVs ao construir a matriz de proporções.,1.0,0.5,27,39,3
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,"Fácies sísmica é interpretada como uma unidade do registro sísmico que corresponde a certos tipos de rochas ou sedimentos, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, identificados por suas características no dado sísmico.",0.75,1.0,"Fácies sísmica é interpretada como a representação, a partir de dados sísmicos, das características petrofísicas e litológicas (como arenitos muito porosos, sedimentos clásticos finos, margas e calcilutitos) para guiar a repartição espacial dessas propriedades no reservatório.",0.75,1.0,21,30,1
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão que envolve o conceito de fácies sísmicas é como distribuir, no volume do reservatório, as CPVs (curvas de proporção de litotipos) conhecidas somente nos poços, utilizando as fácies sísmicas para guiar essa repartição espacial.",0.75,1.0,"A principal questão que envolve o conceito de fácies sísmicas é: ""Como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?"" O conceito de fácies sísmicas é utilizado para guiar essa repartição espacial das CPVs.",1.0,1.0,22,35,2
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica.,1.0,1.0,"A curva vertical de proporções na matriz para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica interpretada para cada região, determinando a distribuição dos diferentes litotipos (arenitos porosos, sedimentos clásticos finos, margas e calcilutitos) conforme a predominância de cada fácies.",0.6666666666666666,1.0,25,38,2
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a representada pela cor verde.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é representada pela cor verde.,1.0,1.0,24,33,2
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se o conceito de **fácies sísmicas**, que guia a repartição espacial das CPVs ao construir a **matriz de proporções de litotipos** no volume do reservatório.",1.0,1.0,"O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços é a matriz de proporções de litotipos, guiada pelas fácies sísmicas.",1.0,1.0,24,35,2
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta que representa, de forma espacial, a distribuição das proporções de diferentes litotipos (tipos de rocha) dentro de um reservatório, baseada nos dados conhecidos dos poços e guiada pelas fácies sísmicas. Ela auxilia na modelagem geoestatística ao capturar o comportamento espacial dos litotipos e complementar a análise estrutural das variáveis regionais.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta geoestatística que apresenta a proporção dos diferentes litotipos (como arenitos, margas, sedimentos clásticos) em cada unidade geológica do reservatório. Ela distribui, por todo o volume do reservatório e guiada pelas fácies sísmicas, as informações de CPVs (curvas de propriedades de volume) conhecidas apenas nos poços, capturando o comportamento espacial dos litotipos.",0.8571428571428571,1.0,21,32,2
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"Na região que domina o amarelo, é interpretado como arenitos muito porosos, guiados pela respectiva fácies sísmica.",1.0,1.0,É interpretado como arenitos muito porosos.,1.0,1.0,24,35,2
1313,Qual é a área da Bacia do Espírito Santo?,SUCCESS,"41.500 km2,",A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,0.0,24,38,2
1316,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,"Asmus et al.,",A primeira estratigrafia formal da Bacia do Espírito Santo foi apresentada por Asmus et al.,1.0,1.0,A primeira estratigrafia formal da Bacia do Espírito Santo foi apresentada por Asmus et al.,1.0,1.0,34,56,3
1317,Quantos km2 da Bacia do Espírito Santo são de exploração?,SUCCESS,"41.500 km2,",A área de exploração da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,A área de exploração da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,30,49,3
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,23,35,2
1322,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,Asmus et al.,A primeira estratigrafia formal da Bacia do Espírito Santo foi apresentada por Asmus et al.,1.0,1.0,A primeira estratigrafia formal da Bacia do Espírito Santo foi apresentada por Asmus et al.,1.0,1.0,22,37,3
1323,Quantos km2 da Bacia do Espírito Santo são de exploração?,SUCCESS,41.500,A área de exploração da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,A área de exploração da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,30,46,3
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é a crosta continental/oceânica.,1.0,1.0,O limite leste da Bacia do Espírito Santo é coincidente com o limite crosta continental/oceânica.,1.0,1.0,24,38,2
1326,Qual é a área aproximada da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área aproximada da Bacia do Espírito Santo é de 41.500 km².,1.0,1.0,A área aproximada da Bacia do Espírito Santo é de 41.500 km².,1.0,1.0,28,49,3
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental na Bacia do Espírito Santo varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,1.0,1.0,"A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na região centro-norte, especialmente próximo ao Banco de Abrolhos.",1.0,1.0,23,41,2
1328,Quem apresentou a carta de costa da Bacia do Espírito Santo?,SUCCESS,Vieira et al.,Vieira et al. apresentaram a carta de costa da Bacia do Espírito Santo.,1.0,0.0,A carta da Bacia do Espírito Santo foi apresentada por Vieira et al.,1.0,1.0,26,41,2
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e a crosta oceânica.,1.0,1.0,"A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e oceânica, coincidindo com o alargamento da plataforma continental proporcionado pela presença do Banco de Abrolhos.",1.0,1.0,22,35,2
1335,Quem apresentou a carta da Bacia do Espírito Santo?,SUCCESS,Vieira et al.,Vieira et al. apresentaram a carta da Bacia do Espírito Santo.,1.0,1.0,A carta da Bacia do Espírito Santo foi apresentada por Vieira et al.,1.0,1.0,27,44,3
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,"A Bacia do Espírito Santo possui aproximadamente 41.500 km² de área explorável, dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,"A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,26,45,2
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"A fisiografia do Banco de Abrolhos evidencia-se pelo alargamento da plataforma continental, que passa de uma média de 40 km de largura ao sul para cerca de 240 km na porção centro-norte da Bacia do Espírito Santo.",1.0,1.0,"A fisiografia do Banco de Abrolhos é evidenciada pelo alargamento da plataforma continental, que passa de uma média de 40 km de largura ao sul para cerca de 240 km na porção centro-norte da Bacia do Espírito Santo.",1.0,1.0,32,60,3
1340,O que o trabalho de Vieira et al. enfatiza?,SUCCESS,a cronoestratigrafia,O trabalho de Vieira et al. enfatiza a cronoestratigrafia.,1.0,1.0,O trabalho de Vieira et al. enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,1.0,1.0,30,49,3
1341,O que é enfatizado neste trabalho?,SUCCESS,cronoestratigrafia,Neste trabalho é enfatizada a cronoestratigrafia da Bacia do Espírito Santo.,1.0,1.0,"O trabalho enfatiza a cronoestratigrafia da Bacia do Espírito Santo, resumindo o conhecimento adquirido desde a última publicação sobre o tema.",1.0,1.0,22,38,3
1343,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,um alargamento da plataforma continental,"A fisiografia do Banco de Abrolhos evidencia-se pelo alargamento da plataforma continental, que passa de uma média de 40 km de largura ao sul para cerca de 240 km na porção centro-norte da Bacia do Espírito Santo.",0.3333333333333333,1.0,"A fisiografia do Banco de Abrolhos é evidenciada pelo alargamento da plataforma continental, que na região chega a cerca de 240 km de largura, em contraste com a média de 40 km ao sul.",1.0,1.0,21,234,3
1344,O que o trabalho de Vieira et al. enfatiza?,SUCCESS,cronoestratigrafia,O trabalho de Vieira et al. enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,1.0,1.0,O trabalho de Vieira et al. enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,1.0,1.0,22,37,3
1345,Qual é a área explorável da Bacia do Espírito Santo?,SUCCESS,aproximadamente 41.500 km2,A área explorável da Bacia do Espírito Santo é de aproximadamente 41.500,1.0,0.0,A área explorável da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,22,38,2
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, a leste, atribui à bacia uma fisiografia particular, evidenciada pelo alargamento da plataforma continental.",1.0,1.0,"A existência do Banco de Abrolhos, a leste, atribui à bacia uma fisiografia particular.",0.5,1.0,26,40,3
