Modelo,Configuração,Versão do Matching,Pasta de resultados,Arquivo CSV,Perguntas,Nodes totais,Edges totais,Matches válidos totais,Nodes médios por pergunta,Edges médios por pergunta,Matches válidos médios por pergunta,Taxa de Matching (%),Modelo batch_metadata,Processing type,Ontology ID,Batch task ID
GPT-4o,Sem ontologia,Nao classificado,petrobras-4-0-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-4-0-sem-ontologia/batch_3c43a79b-46f4-493b-9d1c-0877b59f8e91-completo.csv,139,2985,4615,434,21.4748,33.2014,3.1223,14.5394,,,,
GPT-4o,Com ontologia,Nao classificado,petrobras-4-0-com-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-4-0-com-ontologia/batch_66bc3af9-1e11-48b6-851b-955f5bf3f498-completo.csv,139,5252,7932,3382,37.7842,57.0647,24.3309,64.3945,,,,
GPT-4o,Com ontologia,Nao classificado,petrobras-4-0-com-ontologia-embeddingfirst,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-4-0-com-ontologia-embeddingfirst/batch_f4d1f3cd-3f2e-41ca-b5af-611ea21bcf46-completo.csv,139,5197,7823,3340,37.3885,56.2806,24.0288,64.2678,,,,
GPT-4.1,Sem ontologia,Nao classificado,petrobras-4-1-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-4-1-sem-ontologia/batch_6216f63d-7efa-49ad-b85e-42ddd91d94ca-completo.csv,139,3997,6530,401,28.7554,46.9784,2.8849,10.0325,gpt-4-1-petrobras,1,,6216f63d-7efa-49ad-b85e-42ddd91d94ca
GPT-4.1,Com ontologia,Nao classificado,petrobras-4-1-com-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-4-1-com-ontologia/batch_c3a0f626-f6ee-448f-b574-50d0e99b3ab8-completo.csv,139,6836,10830,4080,49.1799,77.9137,29.3525,59.684,,,,
GPT-4.1,Com ontologia,Nao classificado,petrobras-4-1-com-ontologia-embeddingfirst,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-4-1-com-ontologia-embeddingfirst/batch_0af85b3b-8717-41bf-bb6e-81ad74294f65-completo.csv,139,6818,10790,4155,49.0504,77.6259,29.8921,60.9416,,,,
GPT-5-mini,Sem ontologia,Nao classificado,petrobras-5-mini-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-5-mini-sem-ontologia/batch_51ee2c57-4aab-4371-98c1-4998ae120218-completo.csv,139,5830,9883,628,41.9424,71.1007,4.518,10.7719,,,,
GPT-5-mini,Com ontologia,Nao classificado,petrobras-5-mini-com-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-5-mini-com-ontologia/batch_f92edf32-403b-42d8-9d3a-cbd3932f0816-completo.csv,139,8842,14891,4732,63.6115,107.1295,34.0432,53.5173,,,,
GPT-5-mini,Com ontologia,Nao classificado,petrobras-5-mini-com-ontologia-embeddingfirst,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-5-mini-com-ontologia-embeddingfirst/batch_eaf69800-ceb2-448a-b8a7-c0f2507b03f7-completo.csv,139,8939,15000,4771,64.3094,107.9137,34.3237,53.3729,,,,
GPT-5.2,Sem ontologia,Nao classificado,petrobras-5-2-sem-ontologia,C:/Users/GBK8/Documents/llm-as-judge/resultados_subset_embeddingfirst/resultados_analises/resultados_filtrados/petrobras-5-2-sem-ontologia/batch_88394d97-d425-424d-b673-45bce1fea654-completo.csv,139,4020,6595,398,28.9209,47.446,2.8633,9.9005,gpt-5-2-petrobras,1,,88394d97-d425-424d-b673-45bce1fea654
