id,question,answer_text,context,source,domain,split,question_type,no_of_hops,reasoning_type,span_start,span_end,evidence_relations
Novel-73586ddc,"In the narrative of 'An Unsentimental Journey through Cornwall', which plant known scientifically as Erica vagans is also referred to by another common name, and what is that name?",Cornish heath,The plant known scientifically as Erica vagans is referred to as Cornish heath.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,65,78,
Novel-74440a6a,"Within the account of the royal visit to St. Michael's Mount in Cornwall, who is identified as the person who married Princess Frederica of Hanover?",Baron Von Pawel-Rammingen,Baron Von Pawel-Rammingen married Princess Frederica of Hanover.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,25,
Novel-f80cbf85,"According to the narrative's discussion of historic sites, in which region of France is Mont St. Michel located?",Normandy,Mont St. Michel is located in Normandy.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,30,38,
Novel-b3c430ef,"In the historical account relating to St. Michael's Mount, which individual is said to have caused himself to be bled to death there?",Henry de la Pomeroy,Henry de la Pomeroy caused himself to be bled to death at St. Michael's Mount.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,19,
Novel-304b0354,"Within the Cornish legends described in the narrative, who was the figure doomed to empty Dozmare Pool as a punishment?",Tregeagle,Tregeagle was doomed to empty Dozmare Pool as a punishment.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,9,
Novel-b1a95144,"In reference to the royal visit to St. Michael's Mount described in the narrative, to which princess did the Queen show motherly kindness during her stay?",Princess Frederica of Hanover,The Queen showed motherly kindness to Princess Frederica of Hanover during her stay.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,38,67,
Novel-e05d0922,"According to the description of Kynance Cove in Cornwall, which specific feature is included as a part of Kynance Cove?",Kynance Sands,Kynance Sands is a specific feature included as part of Kynance Cove.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,13,
Novel-dba48e64,"In the account of the travelers' visit to Kynance Cove, what natural landmarks are mentioned as being located near or within Kynance Cove, such as Asparagus Island, Gull Rock, and Bellows?","Asparagus Island, Gull Rock, and Bellows",Asparagus Island is located near or within Kynance Cove. Gull Rock is located near or within Kynance Cove. Bellows is located near or within Kynance Cove.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-ea3d4859,"During the travelers' exploration of the Cornish coastline in the narrative, what notable geographical feature is located near Housel Cove?",Penolver is located near Housel Cove.,Penolver is located near Housel Cove.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,37,
Novel-ba894e2c,"In the retelling of the Arthurian legend within the novel, who is the character credited with producing King Arthur?",Merlin produced King Arthur.,Merlin produced King Arthur.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,28,
