question_id,question,expected_answer,answer,source_file,error
1292,O que representa a fácies sísmica interpretada?,sedimentos clásticos finos,"A fácies sísmica interpretada representa um pacote estratigráfico delimitado nos dados sísmicos que exibe padrões homogêneos de amplitude, frequência, continuidade e geometria de refletores; esses padrões são usados para inferir a litologia, a arquitetura interna e o ambiente deposicional desse corpo rochoso.",input\georegis\dataset.json,
1293,A que corresponde a fácies sísmica interpretada?,sedimentos clásticos finos,"À fácies geológica (lito- ou deposicional) que gerou aquela assinatura de refletores; isto é, ao conjunto de rochas ou sedimentos e ao ambiente de deposição associado que produzem o padrão sísmico observado.",input\georegis\dataset.json,
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"É garantir que as “fácies sísmicas” realmente correspondam a fácies geológicas/litológicas antes de transformar a classificação sísmica em proporções. Como a resposta sísmica pode reunir vários litotipos ou refletir apenas variações de textura e empilhamento de refletores, é essencial calibração com dados de poço; caso contrário, a matriz de proporções baseada só na sísmica pode representar algo que não existe em termos de rocha e ambiente deposicional.",input\georegis\dataset.json,
1297,O que é interpretado como fácies sísmica?,arenitos muito porosos,"Fácies sísmica é o conjunto de padrões de reflexão (continuidade, amplitude, frequência, forma e configuração dos refletores) que, analisados em um volume de dados sísmicos, indicam uma unidade de rochas com características deposicionais e litoestratigráficas semelhantes.",input\georegis\dataset.json,
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"Trata-se de associar o padrão de reflexões observado no dado sísmico (configuração, continuidade, amplitude, frequência etc.) ao tipo de rocha e ao ambiente deposicional correspondente; isto é, converter o “desenho” sísmico em informação geológica confiável.",input\georegis\dataset.json,
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,respectiva fácies sísmica,"Ela é guiada pelos dados de poço (testemunhos e perfis), que indicam a distribuição vertical das fácies na unidade genética superior; esses dados definem as proporções de cada fácies em cada nível estratigráfico e, consequentemente, moldam a curva vertical de proporções na matriz.",input\georegis\dataset.json,
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,verde,"Na matriz de proporções, sedimentos clásticos finos correspondem à fácies de reflexões paralelas (ou sub-paralelas), muito contínuas e de baixa amplitude.",input\georegis\dataset.json,
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,conceito de fácies sísmicas,"Emprega-se a krigagem (interpolação geoestatística baseada no variograma) para propagar, dentro de todo o volume do reservatório, os valores de CPV medidos apenas nos poços.",input\georegis\dataset.json,
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"Uma “matriz de proporções” é simplesmente uma tabela, organizada na forma matricial, que registra quanto cada litotipo participa das amostras ou dos cenários de mistura estudados. Em termos práticos:

• Linhas (ou colunas) = litotipos definidos no estudo (arenito, folhelho, calcário, etc.).  
• Colunas (ou linhas) = amostras, pixels, furos de sonda, modelos de mistura, etc.  
• Elemento da matriz pij = fração, porcentagem ou proporção do litotipo i na amostra j.  
• Cada coluna (ou linha) normalmente soma 1 (ou 100 %), garantindo que a composição total da amostra esteja fechada.

Essa matriz é a base para cálculos de balanço de massa, modelagem de mistura, estatística composicional ou algoritmos de “unmixing” espectral, porque transforma a descrição qualitativa dos litotipos em números comparáveis entre si e adequados a processos matemáticos.",input\georegis\dataset.json,
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"São arenitos da Formação Botucatu, caracterizados por granulação fina-média, alta porosidade e permeabilidade, que funcionam como o principal reservatório aquífero da área representada em amarelo.",input\georegis\dataset.json,
