question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa o tipo de litologia no reservatório, usado para guiar a distribuição espacial das proporções de litotipos: amarelo = arenitos muito porosos; verde = sedimentos clásticos finos; azul = margas e calcilutitos.",,,"A fácies sísmica interpretada representa o **litotipo/fácies deposicional** associado ao padrão sísmico, podendo corresponder a **arenitos muito porosos** (amarelo), **sedimentos clásticos finos** (verde) ou **margas e calcilutitos** (azul), e é usada para **guiar a distribuição espacial** das proporções de litotipos (CPVs) no reservatório.",,,57,96,36
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções (CVP) é guiada pela **fácies sísmica correspondente**: amarelo por arenitos muito porosos, verde por sedimentos clásticos finos e azul por margas/calcilutitos.",,,"Na matriz de proporções para a unidade genética superior do reservatório de Namorado, a curva vertical de proporções é guiada pela **respectiva fácies sísmica** (por exemplo, arenitos muito porosos onde predomina o amarelo; clásticos finos onde predomina o verde; margas/calcilutitos onde predomina o azul).",,,59,99,33
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,"A fácies sísmica associada às áreas em que **predomina o verde** na matriz de proporções, interpretada como **sedimentos clásticos finos**.",,,A fácies sísmica associada à região onde **o verde aparece mais** na matriz de proporções é interpretada como **sedimentos clásticos finos**.,,,63,114,32
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se o **conceito de fácies sísmicas**, que **guia a repartição espacial das CPVs** por meio da **construção da matriz de proporções (de litotipos)**.",,,"Utiliza-se o **conceito de fácies sísmicas** como guia espacial, **construindo uma matriz de proporções de litotipos**, para distribuir no volume do reservatório as **CPVs** conhecidas apenas nos poços.",,,57,96,31
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A **matriz de proporções** é uma grade/volume que **atribui, para cada posição do reservatório**, as **proporções esperadas de cada litotipo (ou fácies)**, obtidas ao **distribuir espacialmente as curvas verticais de proporções (CPVs)** medidas nos poços e **guiadas pelas fácies sísmicas**.  

Ela serve para **capturar o comportamento espacial dos litotipos** e **complementar os variogramas** na análise estrutural usada na modelagem geoestatística.",,,"A **matriz de proporções** (de litotipos) é uma **matriz usada para capturar o comportamento espacial dos litotipos** e **guiar a repartição espacial das curvas verticais de proporções (CPVs)** — conhecidas apenas nos poços — **no volume do reservatório**, usando **fácies sísmicas como guia**. Também serve como **complemento aos variogramas** na análise estrutural em **modelagem geoestatística**.",,,60,97,32
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A Bacia do Espírito Santo possui uma área explorável de aproximadamente **41.500 km²** (sendo cerca de **3.000 km²** de bacia terrestre).,,,A Bacia do Espírito Santo possui uma área explorável de aproximadamente **41.500 km²** (sendo cerca de **3.000 km²** na porção terrestre).,,,81,132,48
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo coincide com o limite entre a crosta continental e a crosta oceânica.,,,O limite leste da Bacia do Espírito Santo é o **limite entre a crosta continental e a crosta oceânica** (“limite crosta continental/oceânica”).,,,64,106,37
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A plataforma continental varia de cerca de **40 km** de largura ao sul até aproximadamente **240 km** na porção centro-norte.,,,A largura da plataforma continental varia: em média **40 km** ao sul e chega a cerca de **240 km** na porção centro-norte.,,,81,146,43
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,"Refere-se ao limite entre a crosta continental e a crosta oceânica, que coincide com a fronteira leste da Bacia do Espírito Santo.",,,A fronteira leste da Bacia do Espírito Santo refere-se ao **limite entre a crosta continental e a crosta oceânica** (“limite crosta continental/oceânica”).,,,66,110,40
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,"A Bacia do Espírito Santo tem aproximadamente **41.500 km²** de área explorável, dos quais **3.000 km²** correspondem à **bacia terrestre**.",,,"A Bacia do Espírito Santo tem **aproximadamente 41.500 km²** de área explorável, dos quais **cerca de 3.000 km²** correspondem à **bacia terrestre** (porção em terra).",,,81,151,44
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,A fisiografia particular evidenciada é **um alargamento da plataforma continental**: de cerca de **40 km** de largura ao sul para aproximadamente **240 km** na porção centro-norte.,,,"A fisiografia do Banco de Abrolhos evidencia um **alargamento da plataforma continental** na Bacia do Espírito Santo: de cerca de **40 km** de largura ao sul, chegando a aproximadamente **240 km** na porção **centro-norte**.",,,90,155,51
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do **Banco de Abrolhos** a leste, que provoca um **alargamento da plataforma continental**.",,,"A existência do **Banco de Abrolhos**, a leste, é o que atribui à bacia uma fisiografia particular (associada ao alargamento da plataforma continental).",,,72,126,41
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,"Este trabalho enfatiza a **cronoestratigrafia** da Bacia do Espírito Santo, resumindo o conhecimento adquirido desde a última publicação da carta estratigráfica.",,,"Este trabalho enfatiza a **cronoestratigrafia** da Bacia do Espírito Santo, resumindo o conhecimento acumulado desde a última publicação da carta estratigráfica.",,,90,161,49
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,"A Bacia do Espírito Santo está situada no Estado do Espírito Santo, delimitada ao sul com a Bacia de Campos (pelo Alto de Vitória) e ao norte com a Bacia de Mucuri.",,,"A Bacia do Espírito Santo está situada no Estado do Espírito Santo (Brasil), delimitada ao sul pela Bacia de Campos (via Alto de Vitória) e ao norte pela Bacia de Mucuri.",,,71,118,40
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri",A Bacia do Espírito Santo fica no Estado do Espírito Santo e é delimitada **ao sul** pela **Bacia de Campos** (através do **Alto de Vitória**) e **ao norte** pela **Bacia de Mucuri**.,,,"A Bacia do Espírito Santo fica no Estado do Espírito Santo, delimitada **ao sul** pela **Bacia de Campos** (através do **Alto de Vitória**) e **ao norte** pela **Bacia de Mucuri**.",,,82,145,44
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,"A **hipótese c**: a de uma **condição de obliquidade constante em toda a área**, pois isso seria compatível com a cinemática indicada pelos demais elementos estruturais.",,,"O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais é a **hipótese c**, isto é, a **condição de obliquidade constante em toda a área** (“obliquidade constante”).",,,96,147,46
1391,O que sugere que a evolução direcional posterior à nucleação frontal da zona de falha desenvolva uma evolução direcional posterior à nucleação frontal?,SUCCESS,secciona-mento da zona de falha de Perimbó,"O seccionamento (corte) da zona de falha de Perimbó por falhas transcorrentes — sobretudo as dextrais — sugere que, após a nucleação frontal dessa zona de falha, houve uma evolução para um regime mais direcional (predominantemente transcorrente).",,,"O que sugere isso é o **seccionamento da zona de falha de Perimbó por falhas transcorrentes, sobretudo as falhas dextrais** (com posterior **concentração do movimento** nelas), indicando uma **componente direcional** que ocorreu **após** a fase inicial de **nucleação/deformação frontal**.",,,106,165,52
1398,Quais regimes produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Regimes **oblíquo** ou **transpressivo** — ambos podem produzir uma **rotação progressiva dos indicadores cinemáticos**.,,,"Os regimes **oblíquo** ou **transpressivo** — isto é, um regime **oblíquo/transpressivo** — produziriam uma **rotação progressiva dos indicadores cinemáticos**.",,,107,165,53
1401,Qual é a base para quantificar o encurtamento?,SUCCESS,"um marcador linear, paralelo à direção de compressão máxima","A base para quantificar o encurtamento é **um marcador linear orientado paralelamente à direção de compressão máxima** (isto é, paralelo ao vetor tectônico/encurtamento, de SE para NW na área).",,,A base para quantificar o encurtamento é **um marcador linear paralelo à direção de compressão máxima**.,,,94,146,40
1402,Quais são os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,"Os dois regimes são **oblíquo** e **transpressivo** (“oblíquo ou transpressivo”), pois ambos poderiam produzir uma **rotação progressiva dos indicadores cinemáticos**.",,,Os dois regimes são o **regime oblíquo** e o **regime transpressivo**.,,,99,156,41
1406,Qual é a direção do vetor tectônico na primeira fase de deformação?,SUCCESS,de SE para NW,"Na primeira fase de deformação, o vetor tectônico estava direcionado **de SE para NW**.",,,O vetor tectônico na primeira fase de deformação foi direcionado **de SE para NW**.,,,93,157,43
1407,O que sugere o seccionamento da zona de falha de Perimbó pelas falhas transcorrentes?,SUCCESS,uma evolução direcional posterior à nucleação frontal da referida zona de falha,"Sugere que **houve uma evolução direcional (transcorrente) posterior** à nucleação frontal da Zona de Falha de Perimbó — ou seja, o movimento transcorrente, especialmente **dextrógiro**, ocorreu depois e passou a concentrar o deslocamento, **o que é contrário ao esperado num regime transpressivo**.",,,"O seccionamento da zona de falha de Perimbó por falhas transcorrentes (principalmente dextrais) sugere **uma evolução direcional posterior** à sua **nucleação frontal**, com **concentração do movimento** nas transcorrentes dextrais — cenário **incompatível com um regime transpressivo** para essa etapa.",,,105,159,53
1412,O que a hipótese b sugere que deveria ocorrer também?,SUCCESS,uma dispersão dos valores de acamamento,"A hipótese **b** sugere que deveria ocorrer também **uma dispersão dos valores de acamamento**, indicando uma **suposta deformação tardia**.",,,"A hipótese b sugere que deveria ocorrer também **uma dispersão dos valores de acamamento**, indicando **uma suposta deformação tardia**.",,,108,172,54
1413,Qual é a condição que a hipótese c considera constante em toda a área?,SUCCESS,a condição de obliqüidade,"A hipótese **c** considera constante, em toda a área, a **condição de obliquidade** (isto é, a obliquidade do regime/deformação).",,,"A hipótese c considera constante em toda a área a **condição de obliquidade** (isto é, um regime oblíquo constante).",,,89,143,41
1414,Qual é o nome da descontinuidade crustal?,SUCCESS,"Arco de São Mateus,",O nome da descontinuidade crustal é **Arco de São Mateus**.,,,O nome da descontinuidade crustal é **Arco de São Mateus**.,,,94,183,43
1415,Qual é a idade do fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma, geocro-nologicamente compatível","A idade do fragmento máfico é **69,4 ± 1,3 Ma**.",,,"A idade do fragmento máfico é **69,4 ± 1,3 Ma** (datação **Ar-Ar**).",,,89,150,45
1416,Qual é a sequência vulcanoclástica da Fm. Rio Doce?,SUCCESS,Abrolhos,"Segundo o contexto, a **sequência vulcanoclástica relacionada à Fm. Rio Doce** é mencionada como estando **inter-relacionada com a sequência vulcanoclástica da Fm. Abrolhos** (Novais et al.), e os **sedimentos terciários da Fm. Rio Doce**, perto do contato com as vulcânicas, encontram-se **totalmente silicificados (“cozidos”)**.",,,"Não há “sequência vulcanoclástica” atribuída à Fm. Rio Doce no contexto fornecido; a sequência vulcanoclástica citada é da **Formação Abrolhos**, que teria interrelação com os sedimentos terciários da **Formação Rio Doce** (localmente silicificados/“cozidos” no contato com as vulcânicas).",,,104,181,55
1426,Qual foi a data de um fragmento mafico de uma rocha?,SUCCESS,"69,4 ± 1,3 Ma","A datação Ar-Ar do fragmento máfico indicou **69,4 ± 1,3 Ma**.",,,"A datação Ar–Ar do fragmento máfico indicou **69,4 ± 1,3 Ma**.",,,83,145,49
1429,Como é chamada a descontinuidade crustal?,SUCCESS,Arco de São Mateus,A descontinuidade crustal é denominada **Arco de São Mateus**.,,,A descontinuidade crustal é chamada **Arco de São Mateus**.,,,101,166,53
1430,Qual é a área das rochas piroclásticas ácidas encontradas na região nordeste de Minas Gerais?,SUCCESS,75km de comprimento por 25km de largura,As rochas piroclásticas ácidas ocupam uma área de **75 km de comprimento por 25 km de largura** (orientação NE–SW) na região nordeste de Minas Gerais.,,,"As rochas piroclásticas ácidas ocupam uma área de **75 km de comprimento por 25 km de largura**, o que corresponde a aproximadamente **1.875 km²** na região nordeste de Minas Gerais.",,,103,173,59
1436,Qual a idade geocronológica indicada pela datação Ar-Ar de um fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma","A datação Ar-Ar do fragmento máfico indicou idade geocronológica de **69,4 ± 1,3 Ma**.",,,"A datação Ar-Ar do fragmento máfico indica idade geocronológica de **69,4 ± 1,3 Ma**.",,,95,166,52
