question_id,question,expected_answer,answer,source_file,error
1292,O que representa a fácies sísmica interpretada?,sedimentos clásticos finos,"A fácies sísmica interpretada representa um pacote estratigráfico delimitado nos dados sísmicos que exibe padrões homogêneos de amplitude, frequência, continuidade e geometria de refletores; esses padrões são usados para inferir a litologia, a arquitetura interna e o ambiente deposicional desse corpo rochoso.",input\georegis\dataset.json,
1297,O que é interpretado como fácies sísmica?,arenitos muito porosos,"Fácies sísmica é o conjunto de padrões de reflexão (continuidade, amplitude, frequência, forma e configuração dos refletores) que, analisados em um volume de dados sísmicos, indicam uma unidade de rochas com características deposicionais e litoestratigráficas semelhantes.",input\georegis\dataset.json,
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,respectiva fácies sísmica,"Ela é guiada pelos dados de poço (testemunhos e perfis), que indicam a distribuição vertical das fácies na unidade genética superior; esses dados definem as proporções de cada fácies em cada nível estratigráfico e, consequentemente, moldam a curva vertical de proporções na matriz.",input\georegis\dataset.json,
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,verde,"Na matriz de proporções, sedimentos clásticos finos correspondem à fácies de reflexões paralelas (ou sub-paralelas), muito contínuas e de baixa amplitude.",input\georegis\dataset.json,
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,conceito de fácies sísmicas,"Emprega-se a krigagem (interpolação geoestatística baseada no variograma) para propagar, dentro de todo o volume do reservatório, os valores de CPV medidos apenas nos poços.",input\georegis\dataset.json,
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"Uma “matriz de proporções” é simplesmente uma tabela, organizada na forma matricial, que registra quanto cada litotipo participa das amostras ou dos cenários de mistura estudados. Em termos práticos:

• Linhas (ou colunas) = litotipos definidos no estudo (arenito, folhelho, calcário, etc.).  
• Colunas (ou linhas) = amostras, pixels, furos de sonda, modelos de mistura, etc.  
• Elemento da matriz pij = fração, porcentagem ou proporção do litotipo i na amostra j.  
• Cada coluna (ou linha) normalmente soma 1 (ou 100 %), garantindo que a composição total da amostra esteja fechada.

Essa matriz é a base para cálculos de balanço de massa, modelagem de mistura, estatística composicional ou algoritmos de “unmixing” espectral, porque transforma a descrição qualitativa dos litotipos em números comparáveis entre si e adequados a processos matemáticos.",input\georegis\dataset.json,
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"São arenitos da Formação Botucatu, caracterizados por granulação fina-média, alta porosidade e permeabilidade, que funcionam como o principal reservatório aquífero da área representada em amarelo.",input\georegis\dataset.json,
1320,Qual é a área da Bacia do Espírito Santo?,41.500 km2,A Bacia do Espírito Santo tem área aproximada de 220 mil km² (somando as partes onshore e offshore).,input\georegis\dataset.json,
1325,Qual é o limite leste da Bacia do Espírito Santo?,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é o oceano Atlântico.,input\georegis\dataset.json,
1327,Qual é a largura da plataforma continental?,240 km na porção centro-norte,"Em termos físicos, a plataforma continental costuma ter cerca de 70–80 km de largura em média, embora possa variar de poucos quilômetros até mais de 1 500 km, dependendo da região costeira.",input\georegis\dataset.json,
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,crosta continental/oceânica,"Ela designa o limite oceânico da Bacia do Espírito Santo, ou seja, a linha onde a margem continental se encerra e a crosta continental cede lugar à crosta oceânica do Atlântico, marcada por feições como o alto externo/Vitória-Trindade e a zona de transição para o assoalho oceânico profundo.",input\georegis\dataset.json,
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,3.000,"A Bacia Sedimentar do Espírito Santo abrange, no total, cerca de 220 mil km². Desse total, em torno de 80 mil km² correspondem à sua porção terrestre (onshore).",input\georegis\dataset.json,
1339,O que evidencia a fisiografia do Banco de Abrolhos?,alargamento da plataforma continental,"Ela se torna aparente pela grande saliência da plataforma continental (um extenso platô raso que avança cerca de 200 km mar adentro, com profundidades geralmente inferiores a 50 m), sobre a qual emergem recifes – sobretudo os chapeirões – e as pequenas ilhas vulcânicas do arquipélago de Abrolhos. Esses recifes e ilhas que irrompem à superfície do mar revelam a fisiografia singular do Banco de Abrolhos.",input\georegis\dataset.json,
1346,O que atribui à bacia uma fisiografia particular?,"A existência do Banco de Abrolhos,","A fisiografia singular de uma bacia é determinada pela interação de:

1. Estrutura tectônica (falhas, dobras, subsidência ou soerguimento).
2. Litologia (tipo e resistência das rochas).
3. Clima (chuvas, temperatura, variação sazonal).
4. Cobertura de solos e vegetação, que controlam infiltração e erosão.
5. Tempo de atuação desses processos.

A combinação desses fatores — principalmente a estrutura geológica e o clima — é o que confere à bacia sua forma e relevo característicos.",input\georegis\dataset.json,
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,a cronoestratigrafia,"Não há informações suficientes para identificar qual trabalho você está mencionando; portanto, não é possível dizer o que ele enfatiza sobre a Bacia do Espírito Santo. Se puder fornecer mais detalhes do trabalho, ficarei feliz em ajudar.",input\georegis\dataset.json,
1352,Onde a Bacia do Espírito Santo está situada?,no Estado do Espírito Santo,"Ela localiza-se no litoral leste do Brasil, na margem continental do estado do Espírito Santo, estendendo-se em águas rasas a profundas do Atlântico entre o sul da Bahia e o norte do Rio de Janeiro.",input\georegis\dataset.json,
