question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo coincide com o limite entre a crosta continental e a oceânica.,,,O limite leste é o **limite crosta continental/oceânica**.,,,79,135,40
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A plataforma continental varia de uma média de **40 km** no sul até cerca de **240 km** na porção centro-norte.,,,A plataforma continental tem largura média de **40 km ao sul** e chega a **cerca de 240 km na porção centro-norte**.,,,59,97,37
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao **limite entre a crosta continental e a crosta oceânica**.,,,A fronteira leste da Bacia do Espírito Santo refere-se ao **limite crosta continental/oceânica**.,,,67,112,38
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,3.000 km² referem-se à bacia terrestre.,,,A bacia terrestre corresponde a **3.000 km²** da Bacia do Espírito Santo.,,,57,92,36
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,Por um alargamento da plataforma continental.,,,"A fisiografia do Banco de Abrolhos é evidenciada por um alargamento da plataforma continental, que passa de cerca de 40 km ao sul para aproximadamente 240 km na porção centro-norte.",,,66,109,42
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, a leste.",,,"A existência do Banco de Abrolhos, a leste.",,,57,104,34
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Este trabalho enfatiza a **cronoestratigrafia** da Bacia do Espírito Santo.,,,Este trabalho enfatiza a **cronoestratigrafia** da Bacia do Espírito Santo.,,,69,117,41
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,,,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,,,68,119,36
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","A Bacia do Espírito Santo é delimitada:  - ao sul pela Bacia de Campos, através do Alto de Vitória; - ao norte pela Bacia de Mucuri; - a leste pelo limite entre a crosta continental e oceânica.",,,"Os limites da Bacia do Espírito Santo são:  - **Ao sul**: a **Bacia de Campos**, através do **Alto de Vitória**   - **Ao norte**: a **Bacia de Mucuri**   - **A leste**: o limite **crosta continental/oceânica**",,,52,83,33
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,"Compatível seria a **hipótese c**, isto é, **a condição de obliquidade constante em toda a área**, por ser coerente com a cinemática indicada pelos demais elementos estruturais.",,,"A **hipótese c**, **considerando-se a condição de obliquidade constante em toda a área**, poderia ser considerada compatível com a cinemática definida pelos outros elementos estruturais.",,,95,158,53
1391,O que sugere que a evolução direcional posterior à nucleação frontal da zona de falha desenvolva uma evolução direcional posterior à nucleação frontal?,SUCCESS,secciona-mento da zona de falha de Perimbó,"O que sugere isso é o fato de a zona de falha de Perimbó ser seccionada por falhas transcorrentes, principalmente dextrais. Esse corte indica que houve uma fase direcional posterior à nucleação frontal da zona de falha.",,,"O que sugere isso é **o seccionamento da zona de falha de Perimbó por falhas transcorrentes, principalmente pelas falhas dextrais**. Isso indica que a fase direcional ocorreu **depois** da nucleação frontal da zona de falha.",,,83,130,38
1398,Quais regimes produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Os regimes **oblíquo** ou **transpressivo** produziriam uma rotação progressiva dos indicadores cinemáticos.,,,Os regimes **oblíquo ou transpressivo** produziriam uma rotação progressiva dos indicadores cinemáticos.,,,97,153,51
1401,Qual é a base para quantificar o encurtamento?,SUCCESS,"um marcador linear, paralelo à direção de compressão máxima",A base seria **um marcador linear paralelo à direção de compressão máxima**.,,,A base é **um marcador linear paralelo à direção de compressão máxima**.,,,97,161,53
1402,Quais são os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Os dois regimes são **oblíquo** e **transpressivo**.,,,Os dois regimes são **oblíquo** e **transpressivo**.,,,105,168,51
