question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Ela indica o litotipo predominante em cada zona:  
• amarelo → arenitos muito porosos;  
• verde → sedimentos clásticos finos;  
• azul → margas e calcilutitos.",,,"Ela indica o tipo de litologia: 
– onde é amarela, corresponde a arenitos muito porosos;  
– onde é verde, a sedimentos clásticos finos;  
– onde é azul, a margas e calcilutitos.",,,37,57,17
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções é guiada pela fácies sísmica correspondente.,,,Ela é guiada pelas respectivas fácies sísmicas.,,,33,50,12
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica representada pela cor verde.,,,A fácies sísmica representada pela cor verde.,,,45,68,23
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"O conceito de fácies sísmicas, que guia a construção da matriz de proporções.",,,Utiliza-se o conceito de fácies sísmicas para guiar a distribuição espacial das CPVs no volume do reservatório.,,,41,59,18
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É o quadro (ou grade) onde se registra, para cada posição/nível do modelo, a fração esperada de cada litotipo. Ele é construído a partir das curvas de proporções verticais observadas nos poços e espalhado pelo volume do reservatório com auxílio das fácies sísmicas; serve para representar o padrão espacial dos litotipos e apoiar a modelagem geoestatística.",,,"A matriz de proporções é uma ferramenta geoestatística usada para distribuir, no volume do reservatório, as curvas verticais de proporções (CPVs) conhecidas nos poços; ela captura o comportamento espacial dos litotipos e complementa a análise feita com variogramas.",,,34,49,15
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área explorável da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,Aproximadamente 41 500 km².,,,29,43,12
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo coincide com o limite entre a crosta continental e a crosta oceânica.,,,O limite leste da Bacia do Espírito Santo é o limite crosta continental/oceânica.,,,40,62,17
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,"A plataforma continental tem cerca de 40 km de largura na porção sul, alargando-se até aproximadamente 240 km na porção centro-norte.",,,Ela varia de cerca de 40 km no sul até aproximadamente 240 km na porção centro-norte.,,,27,38,12
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,À coincidência com o limite entre a crosta continental e a crosta oceânica.,,,À coincidência com o limite entre a crosta continental e a crosta oceânica.,,,29,46,13
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,Cerca de 3 000 km².,,,Cerca de 3 000 km² correspondem à porção terrestre da Bacia do Espírito Santo.,,,28,43,10
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"Ela é evidenciada pelo grande alargamento da plataforma continental, que passa de cerca de 40 km de largura ao sul para até ~240 km na porção centro-norte.",,,Pelo alargamento da plataforma continental (de cerca de 40 km para até 240 km).,,,35,48,18
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, a leste.",,,"A existência do Banco de Abrolhos, a leste.",,,30,43,14
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Ele enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,Ele destaca a cronoestratigrafia da Bacia do Espírito Santo.,,,29,40,16
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,"No estado do Espírito Santo, Brasil.",,,"Ela está situada no Estado do Espírito Santo, no Brasil.",,,32,46,15
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","Ela é limitada:
• ao sul, pela Bacia de Campos, tendo o Alto de Vitória como divisória;  
• ao norte, pela Bacia de Mucuri.",,,"A Bacia do Espírito Santo é limitada:
• ao sul, pela Bacia de Campos, separada pelo Alto de Vitória;  
• ao norte, pela Bacia de Mucuri;  
• a leste, pela fronteira crosta continental/oceânica.",,,34,54,14
