question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa um tipo específico de litotipo ou ambiente deposicional inferido a partir dos dados sísmicos, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, auxiliando na distribuição espacial das características petrográficas do reservatório onde os dados de poço são limitados.",0.6,1.0,"A fácies sísmica interpretada representa diferentes tipos de litotipos (como arenitos muito porosos, sedimentos clásticos finos e margas/calcilutitos) identificados pela resposta sísmica, guiando a separação espacial desses litotipos no reservatório.",1.0,1.0,21,35,2
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica respectiva.,1.0,1.0,"A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica respectiva, que indica o tipo de litotipo predominante em cada região (arenitos muito porosos, sedimentos clásticos finos ou margas/calcilutitos).",1.0,1.0,21,44,2
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a representada pela cor verde.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a guiada pela cor verde.,1.0,1.0,20,35,2
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, é utilizado o conceito de fácies sísmicas, que guia a repartição espacial das CPVs através da construção de uma matriz de proporções de litotipos.",1.0,1.0,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços é utilizada a matriz de proporções de litotipos, guiada pelas fácies sísmicas.",1.0,1.0,20,37,3
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta que representa a distribuição espacial das proporções dos diferentes litotipos (tipos de rocha) dentro de um reservatório, guiada por fácies sísmicas. Ela permite extrapolar as proporções conhecidas nos poços para todo o volume do reservatório, capturando o comportamento espacial dos litotipos e complementando os variogramas na modelagem geoestatística.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta utilizada para descrever e distribuir, no volume do reservatório, a proporção dos diferentes litotipos (tipos de rocha) baseada nas informações conhecidas dos poços e guiada pelas fácies sísmicas. Ela permite capturar o comportamento espacial desses litotipos, complementando a modelagem geoestatística na análise estrutural das variáveis regionais.",1.0,1.0,23,36,2
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"Na região que domina o amarelo, é interpretado como arenitos muito porosos.",1.0,1.0,A região que domina o amarelo é interpretada como arenitos muito porosos.,1.0,1.0,16,26,2
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,"A área da Bacia do Espírito Santo é de aproximadamente 41.500 km², dos quais 3.000 km² correspondem à bacia terrestre.",1.0,1.0,28,48,3
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é a fronteira crosta continental/oceânica.,1.0,1.0,O limite leste da Bacia do Espírito Santo é a crosta continental/oceânica.,1.0,1.0,23,37,3
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,"A largura da plataforma continental varia de uma média de 40 km ao sul, alcançando cerca de 240 km na porção centro-norte.",1.0,1.0,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,1.0,1.0,22,37,3
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite crosta continental/oceânica.,1.0,1.0,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e oceânica.,1.0,1.0,24,41,3
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,"A Bacia do Espírito Santo tem uma área explorável de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,"A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,21,34,3
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"A fisiografia do Banco de Abrolhos evidencia-se pelo alargamento da plataforma continental, que passa de uma média de 40 km de largura ao sul para cerca de 240 km na porção centro-norte da Bacia do Espírito Santo.",1.0,1.0,"A fisiografia do Banco de Abrolhos evidencia um alargamento significativo da plataforma continental na região centro-norte da Bacia do Espírito Santo, passando de uma média de 40 km de largura a sul para cerca de 240 km junto ao Banco de Abrolhos.",1.0,1.0,20,32,2
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, que causa um alargamento da plataforma continental, atribui à bacia uma fisiografia particular.",1.0,1.0,"A existência do Banco de Abrolhos, a leste, atribui à bacia uma fisiografia particular.",1.0,1.0,21,37,3
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,"Este trabalho enfatiza a cronoestratigrafia da Bacia do Espírito Santo, resumindo o conhecimento adquirido desde a última publicação sobre o tema.",1.0,1.0,"Este trabalho enfatiza, em relação à Bacia do Espírito Santo, a atualização do conhecimento adquirido ao longo das décadas, com foco na cronoestratigrafia, mantendo os princípios litoestratigráficos das versões anteriores da carta estratigráfica.",1.0,1.0,30,51,3
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,1.0,1.0,"A Bacia do Espírito Santo está situada no Estado do Espírito Santo, sudeste do Brasil.",1.0,1.0,20,34,3
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","Os limites da Bacia do Espírito Santo são: ao sul, a Bacia de Campos (pelo Alto de Vitória); ao norte, a Bacia de Mucuri; a leste, o limite crosta continental/oceânica, próximo ao Banco de Abrolhos.",1.0,1.0,"Os limites da Bacia do Espírito Santo são: ao sul, a Bacia de Campos (delimitada pelo Alto de Vitória); ao norte, a Bacia de Mucuri; a leste, pelo limite crosta continental/oceânica e o Banco de Abrolhos; e está situada no Estado do Espírito Santo.",0.75,1.0,21,35,2
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,"Seria considerada compatível a hipótese c, que pressupõe obliquidade constante em toda a área, com a cinemática definida pelos outros elementos estruturais.",1.0,1.0,"O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais é a hipótese de obliquidade constante em toda a área (hipótese c), que envolve um regime compressivo com convergência SE-NW, formação de dobras F1, zona de falha de Perimbó reversa, falhas transcorrentes dextrais e abertura angular do par conjugado de falhas.",1.0,1.0,18,23,3
