arquivo_fonte,metrica,tipo_a,tipo_b,n_pares,n_diferencas_nao_zero,media_tipo_a,media_tipo_b,mediana_tipo_a,mediana_tipo_b,delta_medio_b_menos_a,delta_mediano_b_menos_a,vitorias_tipo_a,vitorias_tipo_b,empates,teste_principal,estatistica_wilcoxon,z_wilcoxon,p_valor,p_valor_teste_sinais,efeito_rank_biserial,p_valor_ajustado_holm,alpha,significativo,direcao,status
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,answer_relevancy_score,graphrag,rag,10,0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,10,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,0.0,0.0,1.0,1.0,0.0,1.0,0.05,False,sem_diferenca_significativa,sem_variacao
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,faithfulness_score,graphrag,rag,10,0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,10,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,0.0,0.0,1.0,1.0,0.0,1.0,0.05,False,sem_diferenca_significativa,sem_variacao
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,contextual_relevancy_score,graphrag,rag,10,2,0.975,0.925,1.0,1.0,-0.05,0.0,2,0,8,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,0.0,-0.9428090415820635,0.34577858615116025,0.5,-1.0,1.0,0.05,False,sem_diferenca_significativa,ok
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,contextual_recall_score,graphrag,rag,10,0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,10,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,0.0,0.0,1.0,1.0,0.0,1.0,0.05,False,sem_diferenca_significativa,sem_variacao
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,correctness_score,graphrag,rag,10,4,0.95,0.9800000000000001,1.0,1.0,0.030000000000000006,0.0,1,3,6,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,2.0,0.944911182523068,0.34470422200695766,0.6249999999999994,0.6,1.0,0.05,False,sem_diferenca_significativa,ok
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,completeness_score,graphrag,rag,10,5,0.95,0.9600000000000002,1.0,1.0,0.010000000000000004,0.0,2,3,5,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,6.5,0.13801311186847084,0.8902300549434974,1.0,0.13333333333333333,1.0,0.05,False,sem_diferenca_significativa,ok
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,geological_adequacy_score,graphrag,rag,10,5,0.93,0.9700000000000001,1.0,1.0,0.04,0.0,2,3,5,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,4.0,0.8241633836921342,0.4098467293684633,1.0,0.4666666666666667,1.0,0.05,False,sem_diferenca_significativa,ok
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,ontology_alignment_score,graphrag,rag,10,4,0.95,0.9800000000000001,1.0,1.0,0.030000000000000006,0.0,1,3,6,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,2.0,0.944911182523068,0.34470422200695766,0.6249999999999994,0.6,1.0,0.05,False,sem_diferenca_significativa,ok
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rouge1_precision,graphrag,rag,10,10,0.40433384436507325,0.4950358056032485,0.4121212121212121,0.4750223015165031,0.0907019612383,0.0831953784395,3,7,0,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,7.0,2.0385887657505024,0.04149108738773157,0.3437499999999998,0.7454545454545455,0.7883306603668999,0.05,False,sem_diferenca_significativa,ok
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rouge1_recall,graphrag,rag,10,10,0.5861242741322783,0.5882861091099406,0.618421052631579,0.5680359435173299,0.002161834977600001,-0.004761904761500001,5,5,0,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,27.0,0.0,1.0,1.0,0.01818181818181818,1.0,0.05,False,sem_diferenca_significativa,ok
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rouge1_fmeasure,graphrag,rag,10,10,0.4715385190936729,0.5187645728958264,0.4567758137737854,0.5168350168350169,0.0472260538022,0.045784980658999996,1,9,0,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,7.0,2.0385887657505024,0.04149108738773157,0.02148437500000002,0.7454545454545455,0.7883306603668999,0.05,False,sem_diferenca_significativa,ok
resultados/dataset4-petrobras-4-1-sem-ontologia/batch_2dff2b66-650c-4c68-9d8a-718ecb116b5a.csv,rouge2_precision,graphrag,rag,10,10,0.1897718657424132,0.22939845696230332,0.1960034013605442,0.2112659423712801,0.03962659121999999,0.036560822898,2,8,0,wilcoxon_signed_rank_aproximacao_normal_zeros_descartados_correcao_continuidade,12.0,1.5289415743128767,0.12627892855469786,0.109375,0.5636363636363636,1.0,0.05,False,sem_diferenca_significativa,ok
