Modelo,Método,ROUGE-L F1 ↑,Exact Match ↑,Token F1 ↑
GPT-4o,RAG,0.3693,0.0128,0.367
GPT-4o,GraphRAG,0.3386,0.0032,0.3411
GPT-4o,GraphRAG + Ontologia,0.3419,0.0064,0.3399
GPT-4.1,RAG,0.3399,0.0032,0.339
GPT-4.1,GraphRAG,0.3109,0.0,0.3096
GPT-4.1,GraphRAG + Ontologia,0.3094,0.0,0.311
GPT-5-mini,RAG,0.532,0.1122,0.5426
GPT-5-mini,GraphRAG,0.5182,0.0994,0.5203
GPT-5-mini,GraphRAG + Ontologia,0.5164,0.0929,0.5222
GPT-5.2,RAG,0.3375,0.0032,0.3365
GPT-5.2,GraphRAG,0.3096,0.0,0.3072
GPT-5.2,GraphRAG + Ontologia,0.3091,0.0,0.3086
GPT-5.4,RAG,0.5385,0.125,0.5353
GPT-5.4,GraphRAG,0.4698,0.0288,0.464
GPT-5.4,GraphRAG + Ontologia,0.4722,0.0321,0.4697
GPT-o3,RAG,0.5323,0.1282,0.5319
GPT-o3,GraphRAG,0.4722,0.0321,0.4697
GPT-o3,GraphRAG + Ontologia,0.5417,0.0929,0.5355
