id,question,context,answer_text
question_1,Que entidade geológica explica a retenção do petróleo abaixo dos reservatórios carbonáticos da Bacia de Santos?,"Em uma região de águas ultraprofundas, ocorre o desenvolvimento de reservatórios carbonáticos abaixo de uma camada de sal com até dois quilômetros de espessura, conhecida como pré-sal, caracterizando uma das maiores províncias de petróleo do mundo, apresentando acumulações de óleo pesado, óleo leve e gás não associado. Essa barreira, chamada de trapa, pode ser uma rocha impermeável, como uma camada de sal. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse.","A camada de sal/evaporitos é a entidade que atua como barreira ou selo, mantendo os hidrocarbonetos retidos nos reservatórios carbonáticos do pré-sal."
question_2,Qual unidade deve ser associada ao papel de cobertura dos campos gigantes do pré-sal da Bacia de Santos?,"Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos. O selo, ou rocha selante, é uma unidade com baixa permeabilidade que impede o escape de hidrocarbonetos da rocha reservatório.",A espessa camada de evaporitos deve ser associada ao papel de cobertura/selo dos campos gigantes e supergigantes do pré-sal.
question_3,Que rochas explicam a geração do óleo e gás nas porções profundas dos lagos do pré-sal?,"Nas regiões mais profundas destes lagos começaram a acumular grandes quantidades de matéria orgânica de algas microscópicas. Esta matéria orgânica, misturada a sedimentos, formou o que são as rochas que geram o óleo e o gás do pré-sal. A rocha onde o petróleo se forma é chamada de rocha geradora. As rochas geradoras mais comuns são folhelhos negros.",As rochas geradoras formadas por matéria orgânica de algas microscópicas misturada a sedimentos explicam a geração do óleo e gás do pré-sal.
question_4,Que associação entre conchas calcárias e estromatólitos caracteriza o principal armazenamento de hidrocarbonetos no pré-sal?,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo. Mais pra frente, essas conchas 'ganharam a companhia' de depósitos de estromatólitos, que nada mais são do que tipos de algas que formam rochas calcárias. Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. O reservatório é uma unidade litológica porosa e permeável ou conjunto de unidade que retém as reservas de hidrocarbonetos.","Conchas calcárias e estromatólitos compõem reservatórios carbonáticos, isto é, unidades porosas capazes de armazenar hidrocarbonetos no pré-sal."
question_5,Por que as regiões rasas dos antigos lagos são relevantes para interpretar os reservatórios do pré-sal?,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo. Mais pra frente, essas conchas 'ganharam a companhia' de depósitos de estromatólitos, que nada mais são do que tipos de algas que formam rochas calcárias. Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. A condição para o armazenamento do petróleo nas rochas reservatório é a porosidade de tais rochas, que variam de 5% a 35%, tendo em média de 15% a 30%. Geralmente são compostas por granulometria de areia a seixo como arenitos, calcarenitos ou conglomerados.","Porque nelas se acumularam conchas calcárias e estromatólitos, que formaram rochas calcárias associadas aos principais reservatórios do pré-sal."
question_6,Qual material sedimentar indica a origem lacustre dos reservatórios carbonáticos da Bacia de Santos?,"Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos. Depósitos bioclásticos de moluscos bivalves do Barremiano/Aptiano, denominados coquinas do andar local Jiquiá, ocorrem sobre blocos altos falhados, formados durante a tectônica rifte, em morfologias herdadas do embasamento, intercalados com fácies ricas em matéria orgânica em camadas conformantes contínuas nos baixos adjacentes, em ambiente de água doce a salobra. As rochas carbonáticas do Aptiano, andar local Alagoas, são depósitos autóctones bioquímicos representados por laminitos e arbustos fasciculares (estromatolitos) que se depositaram em condições alcalinas, sobre altos herdados do embasamento e em contexto de subsidência térmica flexural com menor influência de falhas. Os reservatórios são rochas carbonáticas de origem lacustre (idade aptiana), depositadas durante o rifteamento oblíquo de abertura da Bacia de Santos e compreende às formações Itapema (Sequência K38) e Barra Velha (Sequências K44 e K46/K48). Nos altos estruturais, a Formação Itapema é composta majoritariamente por rudstones e grainstones de bivalves e a Formação Barra Velha, por estromatólitos, grainstones intraclásticos e esferulititos.","As fácies carbonáticas lacustres, incluindo coquinas, laminitos e estromatólitos, indicam origem lacustre para os reservatórios do pré-sal da Bacia de Santos."
question_7,Que evento geológico criou o cenário inicial para a formação dos lagos associados ao pré-sal?,"O pré-sal são rochas sedimentares que foram formadas há mais de 100 milhões de anos com a separação dos atuais continentes sul-americano e africano. Com essa separação, surgiram grandes depressões que deram origem a diversos lagos, que mais tarde foram conectados aos oceanos. Formada há mais de 130 milhões de anos, após o início da separação de América do Sul e África, a Bacia de Santos é uma típica bacia sedimentar de margem atlântica, apresentando, porém, uma evolução geológica diferente das bacias de Campos e Pelotas, localizadas respectivamente a norte e sul.",A separação entre América do Sul e África criou depressões que originaram lagos nos quais se formaram rochas geradoras e reservatórios carbonáticos.
question_8,Que componente do sistema impede que o petróleo gerado nas rochas inferiores chegue à superfície?,"Com isso, o petróleo migra para cima através dos poros existentes nas rochas, até encontrar algo que o impeça de continuar se deslocando. Essa barreira, chamada de trapa, pode ser uma rocha impermeável, como uma camada de sal. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse. Por causa do clima árido daquele tempo, a evaporação intensa da água marinha provocou a acumulação de sais, o que criou a camada do pré-sal, uma espécie de proteção que impedia que o petróleo 'escapasse' e chegasse à superfície.","A camada de sal funciona como barreira/trapa, interrompendo a migração ascendente dos hidrocarbonetos."
question_9,"Qual interpretação conecta clima árido, evaporação marinha e preservação de acumulações no pré-sal?","Por causa do clima árido daquele tempo, a evaporação intensa da água marinha provocou a acumulação de sais, o que criou a camada do pré-sal, uma espécie de proteção que impedia que o petróleo 'escapasse' e chegasse à superfície. Na visão tradicional, evaporito ou depósito salino é uma rocha sedimentar formada pela cristalização e precipitação química dos sais dissolvidos em um meio aquoso, devido a um processo de evaporação. Seu ambiente de formação são bacias fechadas sujeitas a evaporação intensa.","O clima árido favoreceu a evaporação da água marinha, gerando sais que formaram a camada salina responsável por reter o petróleo."
question_10,O que justifica tratar a camada de sal do pré-sal como elemento crítico de fechamento petrolífero?,"O que se chama de pré-sal são as rochas sedimentares que existem abaixo da uma camada de sal com até 2.000 m de espessura, que se estende por uma grande extensão. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse. As rochas selantes são rochas de baixa permeabilidade, como folhelhos, siltitos e calciculitos, de forma que impedem o escape dos fluidos da rocha reservatório. Geralmente estas rochas situam-se acima do reservatório.","Ela forma uma barreira de baixa permeabilidade posicionada sobre as rochas inferiores, impedindo a fuga dos hidrocarbonetos."
question_11,Como profundidade e cobertura salina tornam o pré-sal um alvo tecnicamente complexo?,"Tais formações encontram-se a distâncias de cerca de 300 quilômetros da costa brasileira, em profundidades de aproximadamente 5 mil metros, sendo 2 mil de lâmina d’água, mil metros de sedimentos e outros 2 mil de sal. Em uma região de águas ultraprofundas, ocorre o desenvolvimento de reservatórios carbonáticos abaixo de uma camada de sal com até dois quilômetros de espessura, conhecida como pré-sal, caracterizando uma das maiores províncias de petróleo do mundo, apresentando acumulações de óleo pesado, óleo leve e gás não associado.","As formações estão a grandes profundidades e abaixo de até cerca de 2 mil metros de sal, exigindo interpretação integrada da coluna sedimentar e da cobertura evaporítica."
question_12,Que unidade estratigráfica deve ser vista como mais antiga quando comparada às rochas acima do sal?,"O que se chama de pré-sal são as rochas sedimentares que existem abaixo da uma camada de sal com até 2.000 m de espessura, que se estende por uma grande extensão. O prefixo pré-, portanto, refere-se ao tempo, não ao espaço. Esse material vai sendo empilhado e, naturalmente, quanto mais embaixo ele estiver na pilha mais antigo ele é.","As rochas do pré-sal são mais antigas que as rochas acima do sal, pois o prefixo pré- se refere à idade relativa de formação."
