id,question,context,expected_answer,reasoning_path,relations,num_hops,why_hard_for_rag,source
question_1,Que cadeia de relações explica por que acumulações abaixo de carbonatos do pré-sal podem ser preservadas mesmo após a geração e migração de hidrocarbonetos?,"Rochas geradoras ricas em matéria orgânica podem gerar hidrocarbonetos quando submetidas a condições adequadas de soterramento e temperatura. Após a geração, óleo e gás podem migrar das rochas geradoras para unidades porosas e permeáveis que funcionam como reservatórios. No pré-sal, reservatórios carbonáticos podem armazenar hidrocarbonetos quando possuem porosidade e permeabilidade favoráveis. Camadas de sal e rochas evaporíticas tendem a apresentar baixa permeabilidade e podem funcionar como barreiras à migração de fluidos. A preservação de uma acumulação depende da presença de uma trapa ou selo capaz de impedir a dispersão posterior dos hidrocarbonetos.","A preservação ocorre porque os hidrocarbonetos gerados em rochas geradoras migram para reservatórios carbonáticos porosos e permeáveis do pré-sal, enquanto camadas de sal ou evaporitos de baixa permeabilidade atuam como selo/barreira, impedindo a dispersão posterior.",rocha geradora -> geração de hidrocarbonetos -> migração -> reservatório carbonático -> camada de sal/evaporito -> baixa permeabilidade -> selo -> retenção,"[{""head"": ""rocha geradora"", ""relation"": ""gera"", ""tail"": ""hidrocarbonetos""}, {""head"": ""hidrocarbonetos"", ""relation"": ""migram_para"", ""tail"": ""reservatório carbonático""}, {""head"": ""camada de sal/evaporito"", ""relation"": ""possui"", ""tail"": ""baixa permeabilidade""}, {""head"": ""baixa permeabilidade"", ""relation"": ""permite_funcao_de"", ""tail"": ""selo""}, {""head"": ""selo"", ""relation"": ""impede"", ""tail"": ""dispersão de hidrocarbonetos""}]",7,"A resposta exige integrar geração, migração, reservatório, evaporito, baixa permeabilidade e retenção; nenhum trecho sozinho contém a cadeia completa.",curated_adversarial_context_for_petroqa_brasil_graphrag
question_2,"Que diferença relacional entre Itapema e Barra Velha ajuda a explicar por que ambas podem aparecer associadas a reservatórios carbonáticos, mas por componentes carbonáticos distintos?","O Campo de Búzios apresenta reservatórios carbonáticos associados a unidades do pré-sal. A Formação Itapema é frequentemente descrita por carbonatos como rudstones e grainstones associados a bivalves. A Formação Barra Velha pode incluir estromatólitos, grainstones intraclásticos e esferulititos. Litologias carbonáticas podem atuar como reservatórios quando suas propriedades permoporosas favorecem armazenamento e fluxo de hidrocarbonetos.","Ambas podem ser associadas a reservatórios carbonáticos porque pertencem ao contexto carbonático do pré-sal, mas Itapema se relaciona a rudstones e grainstones de bivalves, enquanto Barra Velha se relaciona a estromatólitos, grainstones intraclásticos e esferulititos.",Campo de Búzios -> Formação Itapema -> rudstones/grainstones de bivalves -> Formação Barra Velha -> estromatólitos/grainstones intraclásticos/esferulititos -> litologias carbonáticas -> reservatórios carbonáticos,"[{""head"": ""Campo de Búzios"", ""relation"": ""possui"", ""tail"": ""reservatórios carbonáticos""}, {""head"": ""Formação Itapema"", ""relation"": ""associada_a"", ""tail"": ""rudstones/grainstones de bivalves""}, {""head"": ""Formação Barra Velha"", ""relation"": ""associada_a"", ""tail"": ""estromatólitos/grainstones intraclásticos/esferulititos""}, {""head"": ""litologias carbonáticas"", ""relation"": ""podem_funcionar_como"", ""tail"": ""reservatórios""}]",6,A pergunta exige comparação entre duas unidades e ligação entre composição litológica e função de reservatório.,curated_adversarial_context_for_petroqa_brasil_graphrag
question_3,"Que interpretação estrutural é sustentada quando poços de um mesmo campo mostram diferenças de fluido e pressão, mesmo estando relacionados ao mesmo sistema reservatório?","Poços perfurados em um mesmo campo podem encontrar intervalos reservatórios correlacionáveis. Diferenças no tipo de fluido entre poços próximos podem indicar ausência de comunicação plena entre partes do reservatório. Diferenças de regime de pressão em intervalos equivalentes podem sugerir separação hidráulica. Falhas, barreiras internas ou compartimentos estruturais podem limitar a comunicação entre porções de um reservatório.","As diferenças de fluido e pressão sustentam a interpretação de compartimentação do reservatório, possivelmente controlada por falhas, barreiras internas ou outros elementos estruturais que limitam a comunicação entre porções do sistema.",poços do mesmo campo -> diferenças de fluido -> diferenças de pressão -> separação hidráulica -> comunicação limitada -> compartimentação -> controle estrutural,"[{""head"": ""diferenças de fluido"", ""relation"": ""indicam"", ""tail"": ""comunicação limitada""}, {""head"": ""diferenças de pressão"", ""relation"": ""sugerem"", ""tail"": ""separação hidráulica""}, {""head"": ""comunicação limitada"", ""relation"": ""sustenta"", ""tail"": ""compartimentação""}, {""head"": ""compartimentação"", ""relation"": ""pode_ser_controlada_por"", ""tail"": ""estrutura/falhas""}]",6,"A resposta exige inferência causal indireta a partir de dois sinais, fluido e pressão, e não apenas recuperação lexical.",curated_adversarial_context_for_petroqa_brasil_graphrag
question_4,Como fósseis e posição estratigráfica podem ser combinados para inferir idade relativa em uma bacia sedimentar?,"Fósseis preservados em rochas sedimentares podem funcionar como evidência paleontológica. A estratigrafia estuda a organização e a relação entre camadas sedimentares. Em sequências pouco deformadas, camadas inferiores tendem a ser mais antigas do que camadas superiores. Bacias sedimentares preservam sucessões de camadas que registram eventos e ambientes ao longo do tempo geológico.","Fósseis fornecem evidência paleontológica, enquanto a estratigrafia organiza a posição relativa das camadas; combinando esses elementos, camadas inferiores em uma sucessão sedimentar tendem a ser interpretadas como mais antigas, permitindo inferir idade relativa.",fósseis -> evidência paleontológica -> estratigrafia -> posição das camadas -> superposição -> camadas inferiores mais antigas -> idade relativa,"[{""head"": ""fósseis"", ""relation"": ""fornecem"", ""tail"": ""evidência paleontológica""}, {""head"": ""estratigrafia"", ""relation"": ""organiza"", ""tail"": ""camadas sedimentares""}, {""head"": ""posição das camadas"", ""relation"": ""permite_inferir"", ""tail"": ""idade relativa""}, {""head"": ""camadas inferiores"", ""relation"": ""tendem_a_ser"", ""tail"": ""mais antigas""}]",6,Exige composição entre evidência paleontológica e princípio estratigráfico.,curated_adversarial_context_for_petroqa_brasil_graphrag
question_5,Que relação entre processo e registro sedimentar permite interpretar um estrato turbidítico como evidência de um evento específico?,"Fluxos de turbidez transportam sedimentos em suspensão ao longo de encostas ou fundos subaquosos. Quando a energia do fluxo diminui, os sedimentos transportados podem ser depositados em camadas. Turbiditos são depósitos sedimentares associados à deposição a partir de correntes de turbidez. Uma camada sedimentar pode registrar um evento deposicional individual quando resulta de um pulso específico de transporte e deposição.","Um estrato turbidítico pode ser interpretado como evidência de um evento porque fluxos de turbidez transportam sedimentos e, quando perdem energia, depositam uma camada; essa camada registra um pulso deposicional específico.",fluxo de turbidez -> transporte de sedimentos -> perda de energia -> deposição -> estrato turbidítico -> registro sedimentar -> evento deposicional,"[{""head"": ""fluxo de turbidez"", ""relation"": ""transporta"", ""tail"": ""sedimentos""}, {""head"": ""perda de energia"", ""relation"": ""causa"", ""tail"": ""deposição""}, {""head"": ""deposição"", ""relation"": ""forma"", ""tail"": ""estrato turbidítico""}, {""head"": ""estrato turbidítico"", ""relation"": ""registra"", ""tail"": ""evento deposicional""}]",6,"Exige ligar processo, produto sedimentar e interpretação temporal de evento.",curated_adversarial_context_for_petroqa_brasil_graphrag
question_6,Que cadeia de propriedades conecta uma litologia carbonática à capacidade de armazenar e permitir fluxo de hidrocarbonetos?,Carbonatos são litologias comuns em sistemas deposicionais do pré-sal. A porosidade representa espaços vazios em uma rocha e está relacionada à capacidade de armazenamento de fluidos. A permeabilidade expressa a capacidade de uma rocha permitir a circulação de fluidos através de seus poros conectados. Uma rocha reservatório precisa combinar capacidade de armazenamento e possibilidade de fluxo para produzir hidrocarbonetos.,Uma litologia carbonática se conecta à função de reservatório quando apresenta porosidade para armazenar hidrocarbonetos e permeabilidade para permitir o fluxo desses fluidos através de poros conectados.,litologia carbonática -> porosidade -> armazenamento de fluidos -> permeabilidade -> fluxo de fluidos -> produção de hidrocarbonetos -> função de reservatório,"[{""head"": ""porosidade"", ""relation"": ""permite"", ""tail"": ""armazenamento de fluidos""}, {""head"": ""permeabilidade"", ""relation"": ""permite"", ""tail"": ""fluxo de fluidos""}, {""head"": ""armazenamento e fluxo"", ""relation"": ""definem"", ""tail"": ""função de reservatório""}, {""head"": ""litologia carbonática"", ""relation"": ""pode_exercer"", ""tail"": ""função de reservatório""}]",6,A pergunta exige combinar duas propriedades diferentes e seus papéis físicos.,curated_adversarial_context_for_petroqa_brasil_graphrag
question_7,"Que inferência deposicional conecta estromatólitos, carbonatos e organismos ou condições lacustres em unidades do pré-sal?",Estromatólitos são estruturas laminadas associadas à atividade de comunidades microbianas. Carbonatos podem se formar em ambientes aquáticos com condições químicas e biológicas favoráveis à precipitação ou acumulação carbonática. Ambientes lacustres correspondem a sistemas deposicionais associados a lagos. Unidades carbonáticas do pré-sal são frequentemente interpretadas em associação com sistemas lacustres antigos.,"A presença de estromatólitos, carbonatos e evidências de condições lacustres sustenta a interpretação de um ambiente deposicional lacustre carbonático para unidades do pré-sal.",estromatólitos -> atividade microbiana -> carbonatos -> condições aquáticas/lacustres -> ambiente lacustre -> deposição carbonática -> unidades do pré-sal,"[{""head"": ""estromatólitos"", ""relation"": ""associam_se_a"", ""tail"": ""atividade microbiana""}, {""head"": ""carbonatos"", ""relation"": ""formam_se_em"", ""tail"": ""condições aquáticas favoráveis""}, {""head"": ""condições lacustres"", ""relation"": ""indicam"", ""tail"": ""ambiente lacustre""}, {""head"": ""ambiente lacustre"", ""relation"": ""suporta"", ""tail"": ""deposição carbonática""}]",6,"Exige inferir ambiente deposicional a partir de indícios biogênicos, composicionais e contextuais.",curated_adversarial_context_for_petroqa_brasil_graphrag
question_8,Como a tectônica rifte pode ser conectada à ocorrência de reservatórios carbonáticos em altos estruturais?,"A tectônica rifte pode gerar falhas normais e compartimentação do embasamento em blocos altos e baixos. Blocos altos podem controlar paleotopografia e influenciar onde sedimentos e carbonatos se acumulam ou são preservados. Coquinas e outros carbonatos podem formar corpos com potencial de reservatório quando apresentam propriedades permoporosas favoráveis. A ocorrência de reservatórios depende da associação entre corpo rochoso, propriedades petrofísicas e contexto estrutural.","A tectônica rifte pode gerar falhas e blocos altos; esses altos controlam a paleotopografia e podem favorecer a acumulação ou preservação de carbonatos, como coquinas, que se tornam reservatórios quando possuem propriedades permoporosas adequadas.",tectônica rifte -> falhas normais -> blocos altos -> paleotopografia -> acumulação/preservação de carbonatos -> coquinas -> propriedades permoporosas -> reservatórios carbonáticos,"[{""head"": ""tectônica rifte"", ""relation"": ""gera"", ""tail"": ""falhas normais""}, {""head"": ""falhas normais"", ""relation"": ""formam"", ""tail"": ""blocos altos""}, {""head"": ""blocos altos"", ""relation"": ""controlam"", ""tail"": ""paleotopografia""}, {""head"": ""paleotopografia"", ""relation"": ""influencia"", ""tail"": ""acumulação/preservação de carbonatos""}, {""head"": ""carbonatos com propriedades permoporosas"", ""relation"": ""podem_funcionar_como"", ""tail"": ""reservatórios""}]",7,"A resposta exige uma cadeia causal que liga tectônica, estrutura, sedimentação e função reservatório.",curated_adversarial_context_for_petroqa_brasil_graphrag
question_9,Que sequência funcional do sistema petrolífero conecta matéria orgânica à acumulação preservada de óleo ou gás?,"A matéria orgânica acumulada em sedimentos pode ser preservada e transformada durante o soterramento. Rochas geradoras são unidades capazes de gerar hidrocarbonetos a partir da transformação da matéria orgânica. Após a geração, óleo e gás podem migrar até rochas reservatório porosas e permeáveis. Para que uma acumulação seja preservada, é necessário que uma trapa e um selo limitem a fuga dos hidrocarbonetos.","A matéria orgânica preservada forma rochas geradoras, que geram hidrocarbonetos; óleo e gás migram para reservatórios porosos e permeáveis, e a acumulação só é preservada quando trapa e selo impedem sua fuga.",matéria orgânica -> rocha geradora -> geração de hidrocarbonetos -> migração -> reservatório -> trapa -> selo -> acumulação preservada,"[{""head"": ""matéria orgânica"", ""relation"": ""origina"", ""tail"": ""rocha geradora""}, {""head"": ""rocha geradora"", ""relation"": ""gera"", ""tail"": ""hidrocarbonetos""}, {""head"": ""hidrocarbonetos"", ""relation"": ""migram_para"", ""tail"": ""reservatório""}, {""head"": ""trapa e selo"", ""relation"": ""limitam"", ""tail"": ""fuga dos hidrocarbonetos""}, {""head"": ""limitação da fuga"", ""relation"": ""preserva"", ""tail"": ""acumulação""}]",7,"A resposta exige síntese do sistema petrolífero inteiro, não um fato isolado.",curated_adversarial_context_for_petroqa_brasil_graphrag
question_10,"Como uma entidade de campo pode ser ligada, por relações estratigráficas e litológicas, à função de reservatório no pré-sal?","Um campo petrolífero pode conter acumulações associadas a unidades estratigráficas específicas. Uma unidade estratigráfica pode ser definida por sua posição, idade relativa e conjunto de litologias. No pré-sal, unidades carbonáticas podem incluir litologias com potencial para armazenar hidrocarbonetos. A função de reservatório depende de porosidade, permeabilidade e conectividade dos poros. Quando uma unidade armazena e permite fluxo de hidrocarbonetos, ela exerce papel de reservatório no sistema petrolífero.","Uma entidade de campo se liga à função de reservatório quando suas acumulações estão associadas a uma unidade estratigráfica do pré-sal composta por litologias carbonáticas com porosidade, permeabilidade e conectividade suficientes para armazenar e permitir o fluxo de hidrocarbonetos.",campo petrolífero -> unidade estratigráfica -> litologia carbonática -> porosidade -> permeabilidade -> armazenamento e fluxo -> função de reservatório,"[{""head"": ""campo petrolífero"", ""relation"": ""contém"", ""tail"": ""acumulações""}, {""head"": ""acumulações"", ""relation"": ""associadas_a"", ""tail"": ""unidade estratigráfica""}, {""head"": ""unidade estratigráfica"", ""relation"": ""inclui"", ""tail"": ""litologia carbonática""}, {""head"": ""porosidade e permeabilidade"", ""relation"": ""permitem"", ""tail"": ""armazenamento e fluxo""}, {""head"": ""armazenamento e fluxo"", ""relation"": ""caracterizam"", ""tail"": ""função de reservatório""}]",6,"Exige ligar entidade de campo, unidade estratigráfica, litologia e propriedades petrofísicas.",curated_adversarial_context_for_petroqa_brasil_graphrag
