question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa o tipo de litologia/sedimento inferido a partir da resposta sísmica, guiando a distribuição espacial das proporções de litotipos no reservatório. No exemplo:

- amarelo: arenitos muito porosos;
- verde: sedimentos clásticos finos;
- azul: margas e calcilutitos.",1.0,1.0,"A fácies sísmica interpretada representa, conforme a região, **arenitos muito porosos**, **sedimentos clásticos finos** ou **margas e calcilutitos**.",1.0,1.0,48,86,3
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"Na região dominada pelo amarelo, a curva vertical de proporções é guiada pela respectiva fácies sísmica, interpretada como **arenitos muito porosos**.",1.0,1.0,A curva vertical de proporções é guiada pela respectiva fácies sísmica.,1.0,1.0,32,57,0
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica correspondente ao **verde** é interpretada como **sedimentos clásticos finos**.,1.0,1.0,A **fácies sísmica de sedimentos clásticos finos**.,1.0,1.0,41,72,0
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se o **conceito de fácies sísmicas**, que **guia a repartição espacial das CPVs** por meio da **construção da matriz de proporções**.",1.0,1.0,"Utiliza-se o conceito de fácies sísmicas, por meio da matriz de proporções, para guiar a distribuição das CPVs no volume do reservatório.",1.0,1.0,44,78,2
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A **matriz de proporções** é uma ferramenta usada para **distribuir espacialmente as curvas/proporções verticais de litotipos (CPVs)** conhecidas nos poços para todo o volume do reservatório.

No contexto dado, ela:

- usa as **fácies sísmicas** como guia para repartir essas proporções no espaço;
- indica, em cada região do reservatório, a **proporção esperada de cada litotipo**;
- ajuda a **capturar o comportamento espacial dos litotipos**;
- funciona também como **complemento aos variogramas** na modelagem geoestatística.

Em resumo: é uma matriz que relaciona **posição no reservatório + fácies sísmica** com as **proporções dos diferentes litotipos**.",1.0,1.0,"A matriz de proporções é uma ferramenta usada para distribuir espacialmente, no volume do reservatório, as curvas de proporções verticais de litotipos, guiada pelas fácies sísmicas. Ela serve para capturar o comportamento espacial dos litotipos e complementar os variogramas na modelagem geoestatística.",1.0,1.0,48,82,2
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"Na região que domina o amarelo, interpreta-se a fácies sísmica como **arenitos muito porosos**.",1.0,1.0,"Na região que domina o amarelo, são interpretados como **arenitos muito porosos**.",1.0,1.0,39,70,3
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A Bacia do Espírito Santo possui área explorável de aproximadamente **41.500 km²**.,1.0,1.0,A Bacia do Espírito Santo possui uma área explorável de aproximadamente **41.500 km²**.,1.0,1.0,30,50,2
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo coincide com o limite crosta continental/oceânica.,1.0,1.0,O limite leste da Bacia do Espírito Santo é coincidente com o limite crosta continental/oceânica.,1.0,1.0,32,54,0
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A plataforma continental varia de uma média de **40 km** ao sul até cerca de **240 km** na porção centro-norte.,1.0,1.0,A plataforma continental tem largura média de **40 km ao sul** e chega a **cerca de 240 km na porção centro-norte**.,1.0,1.0,26,41,0
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,Refere-se ao **limite entre a crosta continental e a crosta oceânica**.,1.0,1.0,A fronteira leste da Bacia do Espírito Santo refere-se ao **limite entre a crosta continental e a crosta oceânica**.,1.0,1.0,42,67,0
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,A bacia terrestre corresponde a **3.000 km²**.,1.0,1.0,"A Bacia do Espírito Santo tem aproximadamente **41.500 km²** de área explorável, dos quais **3.000 km²** correspondem à **bacia terrestre**.",1.0,1.0,41,80,2
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,Por um **alargamento da plataforma continental** — de cerca de **40 km** ao sul para aproximadamente **240 km** na porção centro-norte.,1.0,1.0,"A fisiografia do Banco de Abrolhos é evidenciada pelo alargamento da plataforma continental, que passa de cerca de 40 km ao sul para aproximadamente 240 km na porção centro-norte.",1.0,0.0,39,60,2
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, a leste.",1.0,1.0,"A existência do Banco de Abrolhos, a leste, atribui à bacia uma fisiografia particular.",1.0,1.0,28,44,0
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Este trabalho enfatiza **a cronoestratigrafia da Bacia do Espírito Santo**.,1.0,1.0,Este trabalho enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,1.0,1.0,34,57,0
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,"No Estado do Espírito Santo, entre a Bacia de Campos ao sul e a Bacia de Mucuri ao norte.",1.0,1.0,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,1.0,1.0,39,63,2
