question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Ela representa o litotipo associado ao sinal sísmico: no exemplo, a fácies sísmica interpretada indica se o intervalo corresponde a arenitos muito porosos, a sedimentos clásticos finos ou a margas/calcilutitos.",,,"Ela indica o litotipo predominante em cada área do reservatório:  
• amarelo → arenitos muito porosos;  
• verde → sedimentos clásticos finos;  
• azul → margas e calcilutitos.",,,43,69,17
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções é guiada pela respectiva fácies sísmica interpretada.,,,A curva vertical de proporções é guiada pela respectiva fácies sísmica (interpretada como arenitos muito porosos).,,,48,73,24
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica representada pela cor verde – interpretada como sedimentos clásticos finos.,,,A fácies sísmica verde.,,,58,95,33
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,O conceito de fácies sísmicas (via a matriz de proporções de litotipos) é que se usa para distribuir no volume do reservatório as CPVs conhecidas apenas nos poços.,,,Uma matriz de proporções litotípicas (guiada pelas fácies sísmicas).,,,44,68,24
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É uma grade 3-D onde se atribui, a cada célula do modelo, a fração (proporção) esperada de cada litotipo, estimada a partir das fácies sísmicas e dos dados dos poços. Essa matriz resume a distribuição espacial dos litotipos e serve de guia para a modelagem geoestatística, complementando os variogramas.",,,"É a ferramenta que, guiada pelas fácies sísmicas, reúne e distribui no espaço as curvas verticais de proporções (CPVs), capturando o comportamento espacial dos litotipos e servindo como complemento aos variogramas na modelagem geoestatística.",,,38,58,14
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,Aproximadamente 41.500 km² (sendo cerca de 3.000 km² em terra).,,,Aproximadamente 41 500 km² (sendo cerca de 3 000 km² em terra).,,,33,53,15
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste coincide com o limite entre a crosta continental e a crosta oceânica.,,,O limite leste da Bacia do Espírito Santo coincide com o limite entre a crosta continental e a crosta oceânica.,,,40,61,21
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,"Ela é estreita ao sul, com cerca de 40 km de largura, e se alarga para aproximadamente 240 km na porção centro-norte.",,,"A plataforma continental varia de largura: em média tem cerca de 40 km na porção sul, alargando-se até aproximadamente 240 km na região centro-norte.",,,40,65,22
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,À coincidência com o limite entre a crosta continental e a crosta oceânica.,,,À coincidência com o limite entre a crosta continental e a crosta oceânica.,,,33,54,18
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,Cerca de 3.000 km² da área da Bacia do Espírito Santo correspondem à porção terrestre.,,,A área da porção terrestre da Bacia do Espírito Santo é de aproximadamente 3 000 km².,,,34,55,17
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"Ela é evidenciada pelo grande alargamento da plataforma continental, que passa de cerca de 40 km de largura no sul para cerca de 240 km na porção centro-norte.",,,"Ela é evidenciada pelo alargamento da plataforma continental, que passa de cerca de 40 km para aproximadamente 240 km de largura.",,,38,57,20
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, a leste.",,,A existência do Banco de Abrolhos.,,,34,54,18
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Ele enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,Ele enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,37,59,19
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,"No Estado do Espírito Santo, Brasil.",,,"No estado do Espírito Santo, Brasil.",,,35,55,18
