question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa diferentes tipos de litotipos no reservatório: onde domina o amarelo, arenitos muito porosos; onde predomina o verde, sedimentos clásticos finos; e onde predomina o azul, margas e calcilutitos.",,,"A fácies sísmica interpretada representa o padrão sísmico associado a litotipos específicos, como arenitos muito porosos, sedimentos clásticos finos e margas/calcilutitos, indicando a distribuição e predominância dessas rochas no volume do reservatório.",,,33,46,13
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica respectiva.,,,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica interpretada.,,,39,58,23
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a que aparece dominante na cor verde.,,,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a fácies associada à predominância da cor verde na matriz.,,,41,56,22
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se o conceito de fácies sísmicas, que guia a repartição espacial das CPVs através da construção de uma matriz de proporções de litotipos.",,,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se o conceito de fácies sísmicas, que guia a repartição espacial das CPVs por meio da construção de uma matriz de proporções de litotipos.",,,40,64,23
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta que representa a distribuição espacial das proporções de diferentes litotipos (tipos de rocha) dentro de um reservatório, guiada por fácies sísmicas e pelos dados conhecidos nos poços. Ela permite capturar o comportamento espacial dos litotipos e auxilia na modelagem geoestatística, complementando a análise estrutural feita pelos variogramas.",,,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta que representa as proporções dos diferentes litotipos (tipos de rochas) em cada volume de um reservatório, usando dados conhecidos dos poços e guiando sua distribuição espacial por fácies sísmicas. Ela é usada na modelagem geoestatística para mapear e analisar a variação espacial desses litotipos.",,,39,54,22
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área explorável da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,55,89,38
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é coincidente com o limite crosta continental/oceânica.,,,O limite leste da Bacia do Espírito Santo é a crosta continental/oceânica.,,,47,78,30
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,,,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,,,46,74,31
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e a crosta oceânica.,,,A fronteira leste da Bacia do Espírito Santo refere-se ao limite crosta continental/oceânica.,,,59,94,37
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,"A Bacia do Espírito Santo possui uma área total de aproximadamente 41.500 km², dos quais 3.000 km² correspondem à bacia terrestre.",,,"A Bacia do Espírito Santo tem uma área total de aproximadamente 41.500 km², dos quais 3.000 km² correspondem à bacia terrestre.",,,65,105,37
