question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa um tipo específico de litotipo no reservatório, identificado por suas características sísmicas e associado, por exemplo, a arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos. Ela guia a distribuição espacial desses litotipos na matriz de proporções durante a modelagem geológica.",1.0,1.0,"A fácies sísmica interpretada representa um tipo de litotipo predominante no reservatório, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, guiando a distribuição espacial dessas rochas na matriz de proporções.",1.0,1.0,34,47,16
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada corresponde, no contexto dado, a uma associação específica de litotipos ou tipos de rocha inferida a partir dos dados sísmicos. Por exemplo, no texto: amarelo = arenitos muito porosos, verde = sedimentos clásticos finos, azul = margas e calcilutitos. Assim, a fácies sísmica interpretada representa zonas ou corpos geológicos distintos identificados e caracterizados a partir da resposta sísmica.",1.0,1.0,"A fácies sísmica interpretada corresponde ao tipo de litotipo associado no local, por exemplo: arenitos muito porosos (região amarela), sedimentos clásticos finos (região verde) ou margas e calcilutitos (região azul). Ela guia a distribuição espacial das propriedades do reservatório.",1.0,1.0,29,43,14
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,A principal questão é como distribuir no volume do reservatório as CPVs (curvas de proporção vertical) conhecidas somente nos poços; o conceito de fácies sísmicas é usado para guiar essa repartição espacial na construção da matriz de proporções.,1.0,1.0,A principal questão é: como distribuir no volume do reservatório as CPVs conhecidas somente nos poços? O conceito de fácies sísmicas é usado para guiar essa repartição espacial ao construir a matriz de proporções.,1.0,1.0,33,52,15
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,"Fácies sísmica é interpretada como uma unidade ou região identificada em dados sísmicos que apresenta características específicas de resposta sísmica, associadas a determinados tipos de rocha ou sedimento, como arenitos muito porosos, sedimentos clásticos finos, margas ou calcilutitos.",1.0,1.0,"Fácies sísmica é interpretada como uma classe interpretativa baseada no sinal sísmico, usada para guiar a distribuição espacial das propriedades petrofísicas e dos litotipos em um reservatório.",1.0,1.0,30,44,15
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão que envolve o conceito de fácies sísmicas é como distribuir, no volume do reservatório, as características petrofísicas variáveis (CPVs) conhecidas somente nos poços, utilizando as fácies sísmicas para guiar a repartição espacial dessas propriedades.",0.75,1.0,"A principal questão que envolve o conceito de fácies sísmicas é como guiar a distribuição espacial das características petrofísicas do reservatório (CPVs), conhecidas apenas nos poços, para todo o volume do reservatório. Ou seja, como utilizar as fácies sísmicas para orientar a construção da matriz de proporções de litotipos e representar adequadamente a heterogeneidade do reservatório.",1.0,1.0,34,48,17
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica.,1.0,1.0,"A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica, que orienta a distribuição espacial dos litotipos conforme a interpretação sísmica.",1.0,1.0,30,42,17
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a que aparece mais na cor verde.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a fácies correspondente à região verde.,1.0,1.0,33,52,17
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, é utilizado o conceito de fácies sísmicas, que guia a repartição espacial das CPVs por meio da construção de uma matriz de proporções de litotipos.",1.0,1.0,"O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?

A matriz de proporções de litotipos, guiada pelas fácies sísmicas, é utilizada para distribuir no volume do reservatório as CPVs conhecidas somente nos poços.",1.0,1.0,38,61,18
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta que representa, para cada posição no reservatório, a proporção de cada litotipo (tipo de rocha) presente. Ela distribui espacialmente as proporções dos litotipos, guiada pelas fácies sísmicas, usando as CPVs conhecidas nos poços, ajudando a capturar o comportamento espacial dos litotipos e complementando os variogramas na análise geoestatística.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta utilizada para distribuir, no volume do reservatório, as proporções dos diferentes litotipos (tipos de rocha), guiada por fácies sísmicas e dados de poços. Ela captura o comportamento espacial dos litotipos e complementa os variogramas na modelagem geoestatística.",1.0,1.0,32,49,11
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"Na região que domina o amarelo, é interpretado como arenitos muito porosos.",1.0,1.0,O que é interpretado como arenitos muito porosos na região que domina o amarelo são as fácies sísmicas correspondentes à cor amarela na matriz de proporções.,1.0,1.0,31,49,16
