question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"É a interpretação sísmica dos litotipos no volume do reservatório — ou seja, a correspondência espacial entre sinal sísmico e fácies rochosas: na figura, amarelo = arenitos muito porosos, verde = sedimentos clásticos finos, azul = margas/calcilutitos. Essa fácies sísmica guia a distribuição espacial das CPVs e a construção da matriz de proporções.",,,"É uma interpretação sísmica espacial que representa um litotipo (por ex. arenitos muito porosos, sedimentos clásticos finos ou margas/calcilutitos) e que guia a repartição espacial das CPVs (curvas verticais de proporções) na construção da matriz de proporções.",,,41,68,13
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Corresponde aos litotipos interpretados a partir da sísmica: - amarelo → arenitos muito porosos; - verde → sedimentos clásticos finos; - azul → margas e calcilutitos.",,,São classes interpretadas a partir dos dados sísmicos que orientam a repartição espacial das proporções de litotipos. Ex.: amarelo = arenitos muito porosos; verde = sedimentos clásticos finos; azul = margas e calcilutitos.,,,47,80,22
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"Como distribuir no volume do reservatório as CPVs (curvas verticais de proporções) conhecidas apenas nos poços, ou seja, como repartir espacialmente essas proporções guiadas pelas fácies sísmicas.",,,Como distribuir no volume do reservatório as CPVs conhecidas somente nos poços.,,,44,71,13
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,Fácies sísmica é a interpretação litológica a partir das feições sísmicas. No exemplo dado: amarelo = arenitos muito porosos; verde = sedimentos clásticos finos; azul = margas e calcilutitos.,,,"Fácies sísmica é a interpretação litológica a partir dos sinais sísmicos; no exemplo ela é interpretada como arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) ou margas e calcilutitos (azul) e é usada para guiar a distribuição espacial das curvas verticais de proporções (CPVs).",,,44,68,16
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,Como distribuir espacialmente no volume do reservatório as CPVs (proporções de litotipos) conhecidas apenas nos poços.,,,Como distribuir no volume do reservatório as CPVs (curvas de proporção de litotipos) conhecidas somente nos poços.,,,50,81,21
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções é guiada pela fácies sísmica correspondente — no caso do setor amarelo, pela fácies interpretada como arenitos muito porosos.",,,A fácies sísmica correspondente (ex.: nas áreas amarelas a curva é guiada pela fácies interpretada como arenitos muito porosos).,,,42,63,18
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica representada pela cor verde — interpretada como sedimentos clásticos finos.,,,A fácies sísmica verde (região verde).,,,50,79,15
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se o conceito de fácies sísmicas para guiar a repartição espacial das CPVs, através da construção de uma matriz de proporções (matriz de litotipos).",,,Utiliza-se uma matriz de proporções de litotipos construída e guiada pelas fácies sísmicas para repartir as CPVs pelo volume do reservatório.,,,37,63,12
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É uma grade (matriz) em que, para cada célula do volume do reservatório, estão atribuídas as proporções (ou probabilidades) de ocorrência de cada litotipo. Constrói‑se combinando as curvas verticais de proporção obtidas nos poços (CPVs) com o mapa de fácies sísmicas que guia a repartição espacial dessas curvas: em cada área dominada por uma fácies aplica‑se a CPV correspondente. Serve como dado suave/condicionante para simulações de litotipos, capturando o comportamento espacial das litologias e complementando a informação dos variogramas.",,,"É uma matriz que atribui, para cada célula/posição do modelo, as proporções (frações) dos diferentes litotipos — usada para distribuir as CPVs conhecidas apenas nos poços pelo volume do reservatório. Normalmente é construída e guiada por fácies sísmicas para capturar o comportamento espacial dos litotipos e complementar os variogramas na modelagem geoestatística.",,,50,79,22
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,A fácies sísmica — a fácies correspondente à região amarela é interpretada como arenitos muito porosos.,,,A fácies sísmica.,,,36,57,15
1313,Qual é a área da Bacia do Espírito Santo?,SUCCESS,"41.500 km2,",Aproximadamente 41.500 km² — dos quais cerca de 3.000 km² correspondem à porção terrestre.,,,"Aproximadamente 41.500 km² de área explorável, dos quais cerca de 3.000 km² são terrestres.",,,52,88,24
1316,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,"Asmus et al.,",Por Asmus et al.,,,A primeira estratigrafia formal foi apresentada por Asmus et al.,,,51,78,27
1317,Quantos km2 da Bacia do Espírito Santo são de exploração?,SUCCESS,"41.500 km2,",Aproximadamente 41.500 km²; desse total cerca de 3.000 km² correspondem à porção terrestre.,,,"Aproximadamente 41.500 km² de área explorável, dos quais cerca de 3.000 km² são terrestres.",,,64,104,30
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,"A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km², dos quais cerca de 3.000 km² são terrestres.",,,A área explorável é de aproximadamente 41.500 km² (cerca de 3.000 km² em área terrestre).,,,57,90,31
1322,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,Asmus et al.,A primeira estratigrafia formal foi apresentada por Asmus et al.,,,A primeira estratigrafia formal foi apresentada por Asmus et al.,,,51,77,26
1323,Quantos km2 da Bacia do Espírito Santo são de exploração?,SUCCESS,41.500,Aproximadamente 41.500 km² de área explorável — dos quais cerca de 3.000 km² correspondem à porção terrestre.,,,Aproximadamente 41.500 km² de área explorável (cerca de 3.000 km² são terrestres).,,,45,67,22
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,"O limite leste é a fronteira crosta continental/oceânica (a transição continental–oceano), com o Banco de Abrolhos a montante.",,,O limite leste coincide com o limite crosta continental/oceânica.,,,66,106,31
1326,Qual é a área aproximada da Bacia do Espírito Santo?,SUCCESS,41.500 km2,Aproximadamente 41.500 km² (sendo cerca de 3.000 km² em área terrestre).,,,Aproximadamente 41.500 km² (dos quais cerca de 3.000 km² são terrestres).,,,52,82,28
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,"Em média cerca de 40 km ao sul, alargando-se até cerca de 240 km na porção centro‑norte.",,,"Em média cerca de 40 km ao sul, chegando a aproximadamente 240 km na porção centro‑norte.",,,51,81,27
1328,Quem apresentou a carta de costa da Bacia do Espírito Santo?,SUCCESS,Vieira et al.,A carta foi apresentada por Vieira et al.,,,Foi apresentada por Vieira et al.,,,43,70,18
