question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
question_100,Como as evidências conectam camada de sal à retenção ou migração de hidrocarbonetos?,SUCCESS,,"As evidências mostram que a camada de sal atua como uma barreira (trapa) impermeável, impedindo a migração dos hidrocarbonetos e promovendo sua retenção nos reservatórios abaixo dela.",,,"As evidências mostram que a camada de sal atua como uma barreira impermeável (trapa), impedindo a migração dos hidrocarbonetos após sua ascensão pelos poros das rochas. Assim, ela retém os hidrocarbonetos em reservatórios (como no pré-sal), evitando que escapem para camadas superiores.",,,30,41,3
question_101,Que interpretação estrutural surge ao relacionar selo com trapa?,SUCCESS,,"A interpretação estrutural ao relacionar selo com trapa é que o selo atua como a barreira impermeável que, junto com a estrutura da trapa, impede a fuga dos hidrocarbonetos, permitindo seu acúmulo no reservatório.",,,"A interpretação estrutural que surge ao relacionar selo com trapa é que a trapa é uma configuração geológica (estratigráfica ou estrutural) que garante a justaposição do reservatório com o selo, de modo que o selo (camada impermeável) impede a fuga dos hidrocarbonetos, permitindo que eles fiquem aprisionados no subsolo. Ou seja, o selo é parte fundamental da trapa, funcionando como barreira para a migração dos hidrocarbonetos.",,,22,38,2
question_102,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de selo?",SUCCESS,,"A partir do contexto, pode-se inferir que a composição do selo (rocha selante) inclui materiais de baixa permeabilidade, como folhelhos, siltitos e calciculitos; essa propriedade impede o escape de hidrocarbonetos do reservatório, desempenhando a função geológica de barreira ou confinamento dos fluidos no sistema petrolífero.",,,"A partir de ""selo"", pode-se inferir que sua composição é de rocha de baixa permeabilidade (ex.: folhelho), sua propriedade principal é justamente a baixa permeabilidade, e sua função geológica é impedir o escape de hidrocarbonetos do reservatório, atuando como barreira para a migração desses compostos. Ou seja, composição (rochas como folhelho), propriedade (baixa permeabilidade), função (selar, impedir fuga de petróleo).",,,26,38,3
question_103,Que interpretação espacial pode ser obtida ao conectar reservatório com hidrocarbonetos?,SUCCESS,,"Ao conectar reservatório com hidrocarbonetos, a interpretação espacial é que o reservatório é a rocha porosa e permeável onde se acumulam hidrocarbonetos, geralmente com uma disposição estratificada: água na base, petróleo acima da água, e gás natural no topo.",,,"A interpretação espacial obtida ao conectar reservatório com hidrocarbonetos é que hidrocarbonetos (petróleo e gás natural) estão armazenados em formações rochosas porosas e permeáveis chamadas reservatórios. Espacialmente, na rocha reservatório, geralmente há uma disposição em camadas: água salgada na base, acima dela o petróleo, e acima do petróleo o gás natural. Ou seja, os hidrocarbonetos ocupam diferentes posições verticais dentro do reservatório geológico.",,,19,26,2
question_104,Como as evidências disponíveis permitem reinterpretar a pergunta: Que método geofísico é central para pesquisar estruturas acumuladoras de hidrocarbonetos?,SUCCESS,,"As evidências disponíveis mostram que o método sísmico é central para pesquisar estruturas acumuladoras de hidrocarbonetos, permitindo reinterpretar a pergunta no sentido de afirmar que a sísmica é o principal método geofísico utilizado nessa investigação.",,,"As evidências disponíveis mostram que o método sísmico é central e principal para a pesquisa de estruturas acumuladoras de hidrocarbonetos, permitindo reinterpretar a pergunta para: ""Como a sísmica, sendo o principal método geofísico, possibilita investigar as armadilhas onde hidrocarbonetos, como o petróleo, se acumulam?",,,27,33,2
question_105,Como as evidências disponíveis permitem reinterpretar a pergunta: Que estudos ajudam a reconhecer a extensão de uma rocha reservatório?,SUCCESS,,"As evidências disponíveis mostram que a extensão de uma rocha reservatório é reconhecida por estudos integrados de sedimentologia, estratigrafia, interpretação sísmica, análises de poços e outros métodos multidisciplinares de geologia, como sugerem os estudos regionais, paleontologia e geofísica.",,,"As evidências mostram que a extensão de uma rocha reservatório é reconhecida através de estudos regionais, estratigrafia, sedimentologia e interpretação sísmica. Isso permite reinterpretar a pergunta para: “Que estudos regionais, estratigráficos, sedimentológicos e sísmicos ajudam a reconhecer a extensão de uma rocha reservatório?”",,,29,53,3
question_106,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de deposição?",SUCCESS,,"A partir da deposição, pode-se inferir que a composição dos sedimentos (tamanho e tipo dos grãos) determina propriedades das rochas resultantes, como porosidade e permeabilidade, que por sua vez definem funções geológicas importantes, como a capacidade de atuar como reservatório em sistemas petrolíferos.",,,"A partir da deposição, infere-se que a composição (tamanho e tipo dos fragmentos, por exemplo: cascalho, areia, argila) determina as propriedades das rochas sedimentares detríticas (como porosidade e permeabilidade) e, consequentemente, suas funções geológicas (armazenamento de água, petróleo, ou estabilidade do solo). Assim, a deposição controla a relação entre os fragmentos (composição), as características resultantes da rocha (propriedades) e o papel que ela desempenha no ambiente geológico (função).",,,31,61,2
question_107,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de fósseis?",SUCCESS,,"A partir de fósseis presentes em rochas, pode-se inferir que certos tipos de sedimentos (e, portanto, rochas, como arenitos ou pelitos) foram depositados em ambientes específicos, revelando a relação entre a composição (tipo de grão), a propriedade (contém fósseis típicos de águas profundas, por exemplo) e a função geológica (registro do ambiente e história de deposição daquela rocha). Assim, fósseis ajudam a identificar o ambiente que originou a rocha e suas características sedimentares.",,,"A partir de fósseis encontrados em determinadas rochas, é possível inferir que sua composição (por exemplo, presença de pelitos, arenito ou argilito) está associada a condições ambientais do passado, como águas profundas. Esses fósseis indicam não só a composição (tipo de sedimento e tamanho de grão), mas também a propriedade e a função geológica dessas rochas, revelando processos de deposição marinha e ambientes antigos onde tais rochas se formaram, como ocorre nos turbiditos cobertos por pelitos hemipelágicos com fósseis de águas profundas.",,,31,53,3
question_108,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de reservatório?",SUCCESS,,"A partir do conceito de reservatório, pode-se inferir que a composição granulométrica (areia a seixos) gera rochas como arenitos e conglomerados, cuja propriedade principal é a porosidade, permitindo armazenar petróleo; assim, a função geológica dessas rochas é atuar como reservatório devido à combinação de sua composição e porosidade.",,,"A partir do exemplo de reservatório, pode-se inferir que a **composição** (arenito, calcarenito, conglomerado) determina a **propriedade** de porosidade da rocha, que por sua vez é essencial para a **função geológica** de armazenar petróleo. Ou seja: a composição granulatosa → alta porosidade → capacidade de armazenar fluidos (função de reservatório).",,,31,50,3
question_109,Que papel geológico deve ser atribuído a selo quando as evidências são relacionadas?,SUCCESS,,"O selo deve ser atribuído o papel geológico de impedir o escape de hidrocarbonetos da rocha reservatório, funcionando como uma barreira devido à sua baixa permeabilidade.",,,"O papel geológico do selo é impedir o escape de hidrocarbonetos da rocha reservatório, atuando como uma unidade de baixa permeabilidade (rocha selante) dentro do sistema petrolífero.",,,21,37,3
