question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Representa o litotipo inferido a partir dos dados sísmicos — ou seja, o tipo de rocha/sedimento: no exemplo, arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) e margas/calcilutitos (azul), que servem de guia para distribuir as CPVs no volume do reservatório.",,,"É a interpretação sísmica que indica litofácies e orienta a repartição espacial das curvas de proporção de litotipos (CPVs) no reservatório — por exemplo, arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) ou margas/calcilutitos (azul).",,,32,53,5
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,Corresponde aos litotipos indicados na figura: amarelo = arenitos muito porosos; verde = sedimentos clásticos finos; azul = margas e calcilutitos.,,,"Corresponde a tipos litológicos interpretados: arenitos muito porosos (áreas amarelas), sedimentos clásticos finos (verdes) e margas/calcilutitos (azuis) — usados para guiar a repartição espacial das CPVs e construir a matriz de proporções.",,,31,49,5
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,Como distribuir no volume do reservatório as proporções de litotipos (CPVs) que são conhecidas apenas nos poços.,,,Como distribuir no volume do reservatório as curvas verticais de proporção (CPVs) conhecidas apenas nos poços.,,,37,61,6
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,No exemplo dado: a fácies sísmica amarela é interpretada como arenitos muito porosos; a verde como sedimentos clásticos finos; e a azul como margas e calcilutitos.,,,"São fácies interpretadas a partir de atributos sísmicos que guiam a distribuição espacial de litotipos e das curvas de proporção — no exemplo, correspondem a arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) e margas/calcilutitos (azul).",,,38,66,5
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"Como distribuir no volume do reservatório as CPVs (litotipos) conhecidas apenas nos poços — ou seja, como repartir espacialmente essas litofácies guiando‑se pelas fácies sísmicas.",,,Como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,,,29,53,4
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"As fácies sísmicas locais — p.ex. nas áreas amarelas a fácies de arenitos muito porosos guia a curva; nas verdes, sedimentos clásticos finos; nas azuis, margas e calcilutitos.",,,É guiada pela fácies sísmica respectiva — na zona amarela essa fácies é interpretada como arenitos muito porosos.,,,36,60,5
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,"A fácies sísmica representada em verde — ou seja, a fácies verde na matriz de proporções — é interpretada como sedimentos clásticos finos.",,,A fácies sísmica representada por verde.,,,40,65,4
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se a matriz de proporções, construída e guiada pelas fácies sísmicas, para repartir espacialmente as CPVs conhecidas apenas nos poços.",,,"Uma matriz de proporções de litotipos, guiada pelas fácies sísmicas.",,,37,62,5
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É um mapa (matriz) que em cada célula do volume reserva indica as proporções (ou probabilidades) de ocorrência de cada litótipo. Para construí‑la usa‑se as curvas de proporção observadas nos poços e as fácies sísmicas como guia espacial: a fácies sísmica dita qual curva vertical de proporções aplicar em cada região (arenitos porosos, clásticos finos, margas, etc.). Serve para distribuir as CPVs conhecidas nos poços pelo volume, capturar o comportamento espacial dos litotipos e complementar os variogramas na modelagem geoestatística.",,,"É a matriz que distribui as proporções das classes litológicas (litotipos) no volume do reservatório, sendo guiada por fácies sísmicas; ela captura o comportamento espacial dos litotipos, complementa os variogramas na modelagem geoestatística e permite espalhar as CPVs conhecidas apenas nos poços pelo volume.",,,37,60,4
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"A fácies sísmica respectiva — ou seja, a fácies interpretada como arenitos muito porosos.",,,"A fácies sísmica da região amarela — ou seja, a fácies sísmica é interpretada como arenitos muito porosos.",,,41,66,5
