question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa o tipo de litologia/sedimento na região, por exemplo:

- **amarelo**: **arenitos muito porosos**
- **verde**: **sedimentos clásticos finos**
- **azul**: **margas e calcilutitos**",,,"A fácies sísmica interpretada representa, conforme a região, **arenitos muito porosos**, **sedimentos clásticos finos** ou **margas e calcilutitos**.",,,63,108,27
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções é guiada pela **fácies sísmica correspondente**. No exemplo, na região amarela ela é guiada pela fácies interpretada como **arenitos muito porosos**.",,,A curva vertical de proporções é guiada pela respectiva fácies sísmica.,,,57,99,30
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica correspondente ao **verde** é interpretada como **sedimentos clásticos finos**.,,,A fácies sísmica da região verde.,,,59,99,26
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se o **conceito de fácies sísmicas**, que **guia a repartição espacial das CPVs** por meio da **construção da matriz de proporções**.",,,"Utiliza-se o **conceito de fácies sísmicas**, por meio da **matriz de proporções de litotipos**, para guiar a distribuição das **CPVs** no volume do reservatório.",,,55,94,26
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A **matriz de proporções** é uma ferramenta usada para **distribuir espacialmente, no volume do reservatório, as curvas/proporções verticais de litotipos (CPVs)** conhecidas apenas nos poços.

Pelo contexto, ela é construída **guiada pelas fácies sísmicas**, para indicar, em cada região do reservatório, **a proporção esperada de cada litotipo** (por exemplo, arenitos, clásticos finos, margas/calcilutitos). Assim, ela:

- ajuda a **repartir as CPVs no espaço**;
- **captura o comportamento espacial dos litotipos**;
- funciona como **complemento aos variogramas** na modelagem geoestatística.

Em resumo: **é uma matriz que relaciona a posição no reservatório às proporções dos diferentes litotipos, usando as fácies sísmicas como guia**.",,,"A matriz de proporções é uma ferramenta usada para representar e distribuir espacialmente as proporções dos litotipos no reservatório, guiando as CPVs conhecidas nos poços com base nas fácies sísmicas. Ela captura o comportamento espacial dos litotipos e complementa os variogramas na modelagem geoestatística.",,,53,93,29
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A Bacia do Espírito Santo possui área explorável de aproximadamente **41.500 km²**.,,,A área explorável da Bacia do Espírito Santo é de aproximadamente **41.500 km²**.,,,52,86,32
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é **coincidente com o limite entre a crosta continental e a oceânica**.,,,O limite leste da Bacia do Espírito Santo é o **limite crosta continental/oceânica**.,,,60,96,31
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A plataforma continental tem em média **40 km de largura ao sul** e chega a cerca de **240 km na porção centro-norte**.,,,A plataforma continental tem em média **40 km de largura ao sul** e chega a **cerca de 240 km na porção centro-norte**.,,,55,90,34
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,Refere-se ao **limite entre a crosta continental e a crosta oceânica**.,,,"Refere-se ao **limite crosta continental/oceânica**, com o qual a fronteira leste é coincidente.",,,58,105,30
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,A bacia terrestre corresponde a **3.000 km²**.,,,A bacia terrestre corresponde a **3.000 km²**.,,,78,140,45
