question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa um tipo específico de litotipo predominante em determinada região do reservatório, identificado a partir dos dados sísmicos. Por exemplo, pode indicar zonas de arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, guiando assim a distribuição espacial dos diferentes litotipos na modelagem do reservatório.",1.0,1.0,"A fácies sísmica interpretada representa o tipo de litotipo predominante em determinada região do reservatório, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, guiando a distribuição espacial das proporções desses litotipos (CPVs) na modelagem geoestatística.",1.0,1.0,32,47,16
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada corresponde, no contexto dado, à identificação de tipos de rochas (litotipos) a partir das características dos dados sísmicos. Por exemplo, determinadas fácies sísmicas são interpretadas como arenitos muito porosos, outras como sedimentos clásticos finos, e outras ainda como margas e calcilutitos.",1.0,1.0,"A fácies sísmica interpretada corresponde à identificação, a partir de características sísmicas, de diferentes litotipos (como arenitos muito porosos, sedimentos clásticos finos, margas e calcilutitos) em subsuperfície.",1.0,1.0,42,58,23
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão é como distribuir, no volume do reservatório, as proporções dos litotipos conhecidas apenas nos poços, utilizando o conceito de fácies sísmicas para guiar a repartição espacial dessas proporções na construção da matriz.",1.0,1.0,"A principal questão ao usar o conceito de fácies sísmicas para construir a matriz de proporções é: como distribuir no volume do reservatório as proporções conhecidas (CPVs) somente nos poços? Ou seja, como guiar espacialmente a repartição das proporções de litotipos usando a interpretação das fácies sísmicas.",1.0,1.0,29,37,14
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,"Fácies sísmica é interpretada como uma unidade ou zona no dado sísmico que corresponde a determinados tipos de rocha ou sedimentos, identificada por suas características sísmicas, como, por exemplo, arenitos muito porosos, sedimentos clásticos finos, margas ou calcilutitos.",0.75,1.0,"Fácies sísmica é um conceito utilizado para interpretar e guiar a distribuição dos litotipos (como arenitos muito porosos, sedimentos clásticos finos e margas/calcilutitos) a partir dos dados sísmicos, indicando os tipos de rocha presentes em determinadas regiões do reservatório com base em suas assinaturas sísmicas.",0.75,1.0,34,48,17
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão que envolve o conceito de fácies sísmicas é como distribuir, no volume do reservatório, as proporções de litotipos (CPVs) conhecidas somente nos poços, utilizando as fácies sísmicas para guiar essa repartição espacial.",1.0,1.0,"A principal questão que envolve o conceito de fácies sísmicas é como guiar a distribuição espacial das CPVs (curvas de proporções de volume) conhecidas apenas nos poços para o restante do reservatório, orientando a construção da matriz de proporções e capturando o comportamento espacial dos litotipos.",0.75,1.0,25,37,9
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica.,1.0,1.0,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica interpretada.,1.0,1.0,28,41,13
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a representada pela cor **verde**.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a correspondente à cor verde.,1.0,1.0,32,43,16
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se o conceito de **fácies sísmicas** para guiar a distribuição espacial das CPVs conhecidas somente nos poços, construindo assim a **matriz de proporções de litotipos** no volume do reservatório.",1.0,1.0,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se a matriz de proporções de litotipos, guiada pelas fácies sísmicas.",1.0,1.0,28,42,10
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta que representa a distribuição espacial das proporções dos diferentes litotipos (tipos de rochas) dentro de um reservatório, guiada por fácies sísmicas e pelas CPVs conhecidas nos poços. Ela auxilia na modelagem geoestatística, capturando o comportamento espacial dos litotipos e complementando a análise estrutural das variáveis regionais.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta geoestatística usada para representar e distribuir espacialmente, dentro do reservatório, as proporções de diferentes litotipos (CPVs) conhecidas apenas nos poços, guiadas pelas fácies sísmicas. Ela permite capturar o comportamento espacial dos litotipos e complementar a análise estrutural das variáveis regionais na modelagem geoestatística.",1.0,1.0,35,51,16
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"Os arenitos muito porosos são interpretados na região que domina o amarelo, guiada pela respectiva fácies sísmica.",1.0,1.0,"Na região que domina o amarelo, é interpretado como arenitos muito porosos.",0.5,1.0,33,48,16
1313,Qual é a área da Bacia do Espírito Santo?,SUCCESS,"41.500 km2,",A área da Bacia do Espírito Santo é aproximadamente 41.500 km².,1.0,1.0,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,35,53,19
1316,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,"Asmus et al.,",A primeira estratigrafia formal da Bacia do Espírito Santo foi apresentada por Asmus et al.,1.0,1.0,A primeira estratigrafia formal da Bacia do Espírito Santo foi apresentada por Asmus et al.,1.0,1.0,41,57,21
1317,Quantos km2 da Bacia do Espírito Santo são de exploração?,SUCCESS,"41.500 km2,",A área de exploração da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km².,1.0,1.0,44,68,25
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é aproximadamente 41.500 km².,1.0,1.0,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,29,43,16
1322,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,Asmus et al.,A primeira estratigrafia formal da Bacia do Espírito Santo foi apresentada por Asmus et al.,1.0,1.0,A primeira estratigrafia formal da Bacia do Espírito Santo foi apresentada por Asmus et al.,1.0,1.0,37,52,22
