question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa tipos distintos de rochas ou sedimentos no reservatório, identificados por suas características sísmicas, como arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) e margas/calcilutitos (azul), ajudando a guiar a distribuição espacial dos litotipos onde dados diretos dos poços são limitados.",1.0,1.0,"A fácies sísmica interpretada representa o tipo de litotipo predominante em determinada região do reservatório, como arenitos muito porosos, sedimentos clásticos finos ou margas e calcilutitos, guiando a distribuição espacial das propriedades petrofísicas (CPVs) no reservatório.",1.0,1.0,22,34,2
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções é guiada pela fácies sísmica respectiva.,1.0,1.0,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica interpretada em cada região.,1.0,1.0,23,35,2
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a que aparece mais na cor verde.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a fácies associada à região com predominância de verde.,1.0,1.0,23,35,2
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"É utilizado o conceito de **fácies sísmicas**, que guiam a repartição espacial das CPVs construindo a **matriz de proporções** para distribuir, no volume do reservatório, as CPVs conhecidas somente nos poços.",1.0,1.0,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, é utilizada a matriz de proporções de litotipos, guiada pelo conceito de fácies sísmicas.",1.0,1.0,20,33,2
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta que representa a distribuição espacial das proporções dos diferentes litotipos (tipos de rocha) dentro de um reservatório, guiada pelas fácies sísmicas. Ela permite extrapolar as proporções conhecidas nos poços para todo o volume do reservatório, capturando o comportamento espacial dos litotipos e complementando os variogramas na modelagem geoestatística.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma tabela que representa as proporções de diferentes litotipos em um reservatório, distribuindo espacialmente essas proporções com base em dados de poços e fácies sísmicas. Ela ajuda a capturar o comportamento espacial dos litotipos e é um instrumento importante na modelagem geoestatística.",1.0,1.0,24,38,2
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"Na região que domina o amarelo, é interpretado como arenitos muito porosos.",1.0,1.0,É interpretado como arenitos muito porosos na região que domina o amarelo.,0.5,1.0,23,34,3
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é aproximadamente 41.500 km².,1.0,1.0,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,24,43,3
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é coincidente com o limite crosta continental/oceânica.,1.0,1.0,O limite leste da Bacia do Espírito Santo é a fronteira crosta continental/oceânica.,1.0,1.0,23,40,2
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,1.0,1.0,A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,1.0,1.0,25,42,3
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite crosta continental/oceânica.,1.0,1.0,A fronteira leste da Bacia do Espírito Santo refere-se ao limite coincidente com a crosta continental/oceânica.,1.0,1.0,25,41,3
