modelo,grupo_detectado,pasta,caminho_csv,nome_arquivo,tamanho_bytes,hash_md5,batch_id,quantidade_linhas,quantidade_question_id_distintos,possui_colunas_de_metricas_deepeval,possui_colunas_estruturais_matching,total_graph_data_nodes,total_edges,total_ontology_valid_true,taxa_matching
GPT-o3,GraphRAG + Ontologia,petrobras-0-3-com-ontologia,resultados/petrobras-0-3-com-ontologia/batch_ae3b085b-4e55-401f-8eda-0118cda89f27-completo.csv,batch_ae3b085b-4e55-401f-8eda-0118cda89f27-completo.csv,93809,4c6c97b0aacc2888e83e08f136f4f9d5,ae3b085b-4e55-401f-8eda-0118cda89f27,312,312,True,True,12824.0,20797.0,5486.0,42.77916406737368
GPT-o3,GraphRAG,petrobras-0-3-sem-ontologia,resultados/petrobras-0-3-sem-ontologia/batch_3cf910d9-6eda-4a3b-8277-ffe9f09efad8-completo.csv,batch_3cf910d9-6eda-4a3b-8277-ffe9f09efad8-completo.csv,94566,e489f37854673fc261531c23fc4698b7,3cf910d9-6eda-4a3b-8277-ffe9f09efad8,312,312,True,True,9577.0,16457.0,337.0,3.5188472381747937
GPT-4o,GraphRAG + Ontologia,petrobras-4-0-com-ontologia,resultados/petrobras-4-0-com-ontologia/batch_2da16bdc-1fdd-4def-9e74-55aa32fe8d3f-completo.csv,batch_2da16bdc-1fdd-4def-9e74-55aa32fe8d3f-completo.csv,131161,bd53a6ccadb7e4009589c3263b0d20ab,2da16bdc-1fdd-4def-9e74-55aa32fe8d3f,312,312,True,True,9421.0,13862.0,4940.0,52.436047128754915
GPT-4o,GraphRAG,petrobras-4-0-sem-ontologia,resultados/petrobras-4-0-sem-ontologia/batch_3c43a79b-46f4-493b-9d1c-0877b59f8e91-completo.csv,batch_3c43a79b-46f4-493b-9d1c-0877b59f8e91-completo.csv,135137,05def026e539b9ea1f89026cdd4d649d,3c43a79b-46f4-493b-9d1c-0877b59f8e91,312,312,True,True,6759.0,10484.0,976.0,14.440005918035212
GPT-4.1,GraphRAG + Ontologia,petrobras-4-1-com-ontologia,resultados/petrobras-4-1-com-ontologia/batch_d0f7eb82-b364-4481-acfb-0c34fa1e8410-completo.csv,batch_d0f7eb82-b364-4481-acfb-0c34fa1e8410-completo.csv,145222,451bd2e2ae8f9ea31bbfe90c6d848f92,d0f7eb82-b364-4481-acfb-0c34fa1e8410,312,312,True,True,12503.0,19792.0,5959.0,47.66056146524834
GPT-4.1,GraphRAG,petrobras-4-1-sem-ontologia,resultados/petrobras-4-1-sem-ontologia/batch_6216f63d-7efa-49ad-b85e-42ddd91d94ca-completo.csv,batch_6216f63d-7efa-49ad-b85e-42ddd91d94ca-completo.csv,147331,d36e470e5f623f366bf58f10e265ac00,6216f63d-7efa-49ad-b85e-42ddd91d94ca,312,312,True,True,9294.0,15868.0,871.0,9.371637615666021
GPT-5.2,GraphRAG + Ontologia,petrobras-5-2-com-ontologia-adaptatado,resultados/petrobras-5-2-com-ontologia-adaptatado/batch_bf41e0dd-3e3d-49b8-b066-6a1bb34353b0-completo.csv,batch_bf41e0dd-3e3d-49b8-b066-6a1bb34353b0-completo.csv,146846,5ab0ea022516d9be1d5c41889e51efda,bf41e0dd-3e3d-49b8-b066-6a1bb34353b0,312,312,True,True,12969.0,20720.0,6181.0,47.65980414835377
GPT-5.2,GraphRAG + Ontologia,petrobras-5-2-com-ontologia-antes-adaptacao,resultados/petrobras-5-2-com-ontologia-antes-adaptacao/batch_e14437f4-a6e7-4019-a1b8-07eb3253dcdb-completo.csv,batch_e14437f4-a6e7-4019-a1b8-07eb3253dcdb-completo.csv,142843,d7df4054290c5d31c5c2a4f94bcf7824,e14437f4-a6e7-4019-a1b8-07eb3253dcdb,312,312,True,True,7960.0,14001.0,830.0,10.42713567839196
GPT-5.2,GraphRAG,petrobras-5-2-sem-ontologia,resultados/petrobras-5-2-sem-ontologia/batch_88394d97-d425-424d-b673-45bce1fea654-completo.csv,batch_88394d97-d425-424d-b673-45bce1fea654-completo.csv,146870,949481276a9e30d0587d90a088b52326,88394d97-d425-424d-b673-45bce1fea654,312,312,True,True,9374.0,16038.0,881.0,9.39833582248773
GPT-5.4,GraphRAG + Ontologia,petrobras-5-4-com-ontologia,resultados/petrobras-5-4-com-ontologia/batch_c74bf462-a766-47cf-9119-7b3381ad30d8-completo.csv,batch_c74bf462-a766-47cf-9119-7b3381ad30d8-completo.csv,115673,0cb8e9fe08534cb335b2d9d52c265bc6,c74bf462-a766-47cf-9119-7b3381ad30d8,312,312,True,True,18764.0,32932.0,7229.0,38.52590066083991
