question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Ela indica o tipo litológico:  
• amarelo – arenitos muito porosos;  
• verde – sedimentos clásticos finos;  
• azul – margas e calcilutitos.",,,"Ela indica o tipo de litologia presente: no exemplo, a fácies sísmica amarela corresponde a arenitos muito porosos, a verde a sedimentos clásticos finos e a azul a margas e calcilutitos.",,,34,56,0
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,"A fácies sísmica corresponde à litologia inferida: por exemplo, pode ser interpretada como arenitos muito porosos (região amarela), sedimentos clásticos finos (verde) ou margas e calcilutitos (azul).",,,"A fácies sísmica é a interpretação do reflexo sísmico em termos de litologia, sendo associada a determinados tipos de rocha: nas áreas amarelas é interpretada como arenitos muito porosos, nas verdes como sedimentos clásticos finos e nas azuis como margas e calcilutitos.",,,28,47,0
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,Pelas fácies sísmicas interpretadas.,,,A curva vertical de proporções é guiada pela respectiva fácies sísmica (interpretada como arenitos muito porosos).,,,24,31,0
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica representada pela cor verde (sedimentos clásticos finos).,,,É a fácies sísmica representada pela cor verde na matriz de proporções.,,,29,46,2
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,Utilizam-se as fácies sísmicas (via a matriz de proporções) para guiar a distribuição das CPVs no volume do reservatório.,,,"Utiliza-se o conceito de fácies sísmicas, que guia a construção da matriz de proporções para repartir as CPVs no volume do reservatório.",,,26,44,2
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É uma grade (ou matriz) em que, para cada célula do modelo, se registram as proporções esperadas de cada litotipo (CPV). Essas proporções são estimadas a partir dos dados de poço e guiadas pelas fácies sísmicas, servindo como ferramenta para distribuir os litotipos no volume do reservatório e captar seu comportamento espacial, complementando os variogramas na modelagem geoestatística.",,,"É a ferramenta que registra, para cada local do modelo, a proporção esperada de cada litotipo, representando a distribuição espacial dos litotipos no reservatório; serve para guiar a inserção das curvas verticais de proporções (CPVs) e complementar os variogramas na modelagem geoestatística.",,,30,49,0
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,A fácies sísmica correspondente – interpretada como arenitos muito porosos.,,,A respectiva fácies sísmica presente na região em amarelo é interpretada como arenitos muito porosos.,,,23,36,3
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A Bacia do Espírito Santo tem cerca de 41 500 km² de área explorável.,,,Ela possui cerca de 41 500 km² de área explorável (aproximadamente 3 000 km² em terra).,,,22,37,0
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,Seu limite leste coincide com o limite entre a crosta continental e a crosta oceânica.,,,O limite leste da Bacia do Espírito Santo coincide com o limite entre a crosta continental e a crosta oceânica.,,,23,37,4
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,Ela varia de cerca de 40 km no setor sul até aproximadamente 240 km na porção centro-norte.,,,"Ela tem, em média, cerca de 40 km de largura ao sul, ampliando-se para aproximadamente 240 km na região centro-norte.",,,25,43,0
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,À coincidência com o limite entre a crosta continental e a crosta oceânica.,,,À linha do limite entre a crosta continental e a crosta oceânica.,,,27,43,0
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,Cerca de 3 000 km².,,,Cerca de 3 000 km².,,,22,34,3
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"Pelo acentuado alargamento da plataforma continental, que passa de cerca de 40 km no sul para aproximadamente 240 km na porção centro-norte.",,,"Ela se evidencia pelo alargamento da plataforma continental, que se estreita a cerca de 40 km no sul e se alarga até aproximadamente 240 km na porção centro-norte.",,,20,32,2
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,",A existência do Banco de Abrolhos.,,,A existência do Banco de Abrolhos.,,,22,34,3
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Ele enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,O trabalho destaca principalmente a cronoestratigrafia da Bacia do Espírito Santo.,,,24,38,3
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,No Estado do Espírito Santo.,,,"No Estado do Espírito Santo, Sudeste do Brasil.",,,23,40,2
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","• Ao sul: limitada pela Bacia de Campos, marcada pelo Alto de Vitória.  
• Ao norte: limitada pela Bacia de Mucuri.  
• A leste: limitada pelo contato crosta continental/oceânica (fronteira leste).",,,"Ao sul, a Bacia do Espírito Santo é limitada pela Bacia de Campos, separada pelo Alto de Vitória; ao norte, é limitada pela Bacia de Mucuri.",,,20,33,2
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,"A hipótese c, que assume obliquidade constante em toda a área.",,,"A hipótese c, que postula uma obliquidade constante em toda a área.",,,23,35,0
1391,O que sugere que a evolução direcional posterior à nucleação frontal da zona de falha desenvolva uma evolução direcional posterior à nucleação frontal?,SUCCESS,secciona-mento da zona de falha de Perimbó,"O fato de a zona de falha de Perimbó estar seccionada por falhas transcorrentes, principalmente dextrais.",,,"O fato de a zona de falha de Perimbó estar seccionada por falhas transcorrentes, sobretudo pelas falhas dextrais, é o que indica uma evolução direcional posterior à sua nucleação frontal.",,,31,46,4
1398,Quais regimes produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Regimes oblíquos ou transpressivos.,,,Os regimes de deformação oblíqua ou transpressiva.,,,23,34,3
1401,Qual é a base para quantificar o encurtamento?,SUCCESS,"um marcador linear, paralelo à direção de compressão máxima",É um marcador linear paralelo à direção de compressão máxima.,,,Um marcador linear paralelo à direção de compressão máxima.,,,22,30,3
1402,Quais são os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Os regimes seriam: 1) regime oblíquo e 2) regime transpressivo.,,,"Os regimes seriam:
1. Regime oblíquo (cisalhamento oblíquo).
2. Regime transpressivo.",,,30,43,0
1406,Qual é a direção do vetor tectônico na primeira fase de deformação?,SUCCESS,de SE para NW,O vetor tectônico na primeira fase de deformação orienta-se de sudeste para noroeste (SE → NW).,,,O vetor tectônico da primeira fase de deformação foi dirigido de sudeste para noroeste (SE → NW).,,,22,38,0
1407,O que sugere o seccionamento da zona de falha de Perimbó pelas falhas transcorrentes?,SUCCESS,uma evolução direcional posterior à nucleação frontal da referida zona de falha,"Ele indica que a zona de falha evoluiu posteriormente de forma direcional, após sua nucleação frontal, o que não seria esperado num regime transpressivo.",,,"Que houve uma fase evolutiva posterior, de caráter direcional (com predomínio de falhas transcorrentes dextrais), que cortou a zona de falha de Perimbó após a sua nucleação frontal, o que não ocorreria se o regime fosse transpressivo.",,,25,41,0
1412,O que a hipótese b sugere que deveria ocorrer também?,SUCCESS,uma dispersão dos valores de acamamento,"Que haveria, além da cinemática observada, uma dispersão dos valores de acamamento, indicando uma deformação tardia.",,,Deveria haver também uma dispersão dos valores de acamamento que indicasse uma deformação tardia.,,,24,34,0
1413,Qual é a condição que a hipótese c considera constante em toda a área?,SUCCESS,a condição de obliqüidade,A hipótese c considera constante a condição de obliquidade em toda a área.,,,A hipótese c considera que a obliquidade permanece constante em toda a área.,,,27,41,2
1414,Qual é o nome da descontinuidade crustal?,SUCCESS,"Arco de São Mateus,",Arco de São Mateus,,,Arco de São Mateus,,,40,65,0
1415,Qual é a idade do fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma, geocro-nologicamente compatível","69,4 ± 1,3 milhões de anos.",,,"69,4 ± 1,3 milhões de anos.",,,38,59,2
1416,Qual é a sequência vulcanoclástica da Fm. Rio Doce?,SUCCESS,Abrolhos,É a sequência vulcanoclástica da Formação Abrolhos.,,,A sequência vulcanoclástica associada à Fm. Rio Doce é a da Formação Abrolhos.,,,38,60,3
1426,Qual foi a data de um fragmento mafico de uma rocha?,SUCCESS,"69,4 ± 1,3 Ma","69,4 ± 1,3 milhões de anos.",,,"69,4 ± 1,3 milhões de anos.",,,37,58,0
1429,Como é chamada a descontinuidade crustal?,SUCCESS,Arco de São Mateus,A descontinuidade crustal é denominada Arco de São Mateus.,,,Ela é chamada de Arco de São Mateus.,,,34,52,0
1430,Qual é a área das rochas piroclásticas ácidas encontradas na região nordeste de Minas Gerais?,SUCCESS,75km de comprimento por 25km de largura,"Elas se estendem por uma faixa de cerca de 75 km de comprimento por 25 km de largura, perfazendo aproximadamente 1 900 km².",,,Elas ocupam cerca de 75 km de comprimento por 25 km de largura (≈ 1 875 km²).,,,40,60,0
1436,Qual a idade geocronológica indicada pela datação Ar-Ar de um fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma","69,4 ± 1,3 milhões de anos.",,,"A datação Ar-Ar do fragmento máfico indicou 69,4 ± 1,3 milhões de anos.",,,40,61,3
1439,"O que controlaria os fenômenos neotectônicos, o padrão de drenagem e a circulação de fluidos na região?",SUCCESS,"a uma descontinuidade crustal denominada Arco de São Mateus,","As reativações do Arco de São Mateus (a descontinuidade crustal) é que controlariam os fenômenos neotectônicos, o padrão de drenagem e a circulação de fluidos na região.",,,As reativações da descontinuidade crustal conhecida como Arco de São Mateus.,,,39,61,0
