question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa tipos específicos de rochas ou sedimentos no reservatório, identificados por suas características sísmicas, como arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) e margas/calcilutitos (azul). Ela orienta a distribuição espacial dos litotipos a partir dos dados sísmicos, auxiliando na construção da matriz de proporções do reservatório.",0.5714285714285714,1.0,"A fácies sísmica interpretada representa um tipo de litotipo ou ambiente deposicional específico (como arenitos muito porosos, sedimentos clásticos finos, ou margas e calcilutitos) identificado a partir dos dados sísmicos, e é utilizada para guiar a repartição espacial das curvas de propriedades volumétricas (CPVs) no reservatório.",1.0,1.0,23,34,3
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica.,1.0,1.0,"A curva vertical de proporções na matriz para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica interpretada para cada região, determinando a distribuição dos diferentes litotipos (arenitos porosos, sedimentos clásticos finos, margas e calcilutitos) conforme a predominância de cada fácies.",0.6666666666666666,1.0,25,38,2
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a representada pela cor verde.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é representada pela cor verde.,1.0,1.0,24,33,2
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se o conceito de **fácies sísmicas**, que guia a repartição espacial das CPVs ao construir a **matriz de proporções de litotipos** no volume do reservatório.",1.0,1.0,"O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços é a matriz de proporções de litotipos, guiada pelas fácies sísmicas.",1.0,1.0,24,35,2
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta que representa, de forma espacial, a distribuição das proporções de diferentes litotipos (tipos de rocha) dentro de um reservatório, baseada nos dados conhecidos dos poços e guiada pelas fácies sísmicas. Ela auxilia na modelagem geoestatística ao capturar o comportamento espacial dos litotipos e complementar a análise estrutural das variáveis regionais.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta geoestatística que apresenta a proporção dos diferentes litotipos (como arenitos, margas, sedimentos clásticos) em cada unidade geológica do reservatório. Ela distribui, por todo o volume do reservatório e guiada pelas fácies sísmicas, as informações de CPVs (curvas de propriedades de volume) conhecidas apenas nos poços, capturando o comportamento espacial dos litotipos.",0.8571428571428571,1.0,21,32,2
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,1.0,1.0,23,35,2
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é a crosta continental/oceânica.,1.0,1.0,O limite leste da Bacia do Espírito Santo é coincidente com o limite crosta continental/oceânica.,1.0,1.0,24,38,2
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental na Bacia do Espírito Santo varia de uma média de 40 km ao sul até cerca de 240 km na porção centro-norte.,1.0,1.0,"A largura da plataforma continental varia de uma média de 40 km ao sul até cerca de 240 km na região centro-norte, especialmente próximo ao Banco de Abrolhos.",1.0,1.0,23,41,2
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e a crosta oceânica.,1.0,1.0,"A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e oceânica, coincidindo com o alargamento da plataforma continental proporcionado pela presença do Banco de Abrolhos.",1.0,1.0,22,35,2
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,"A Bacia do Espírito Santo possui aproximadamente 41.500 km² de área explorável, dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,"A Bacia do Espírito Santo possui uma área explorável de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",1.0,1.0,26,45,2
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"A fisiografia do Banco de Abrolhos evidencia-se pelo alargamento da plataforma continental, que passa de uma média de 40 km de largura ao sul para cerca de 240 km na porção centro-norte da Bacia do Espírito Santo.",1.0,1.0,"A fisiografia do Banco de Abrolhos é evidenciada pelo alargamento da plataforma continental, que passa de uma média de 40 km de largura ao sul para cerca de 240 km na porção centro-norte da Bacia do Espírito Santo.",1.0,1.0,32,60,3
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, a leste, atribui à bacia uma fisiografia particular, evidenciada pelo alargamento da plataforma continental.",1.0,1.0,"A existência do Banco de Abrolhos, a leste, atribui à bacia uma fisiografia particular.",0.5,1.0,26,40,3
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,"Este trabalho enfatiza a cronoestratigrafia da Bacia do Espírito Santo, resumindo o conhecimento adquirido desde a última publicação sobre o tema.",1.0,1.0,"Este trabalho enfatiza a cronoestratigrafia da Bacia do Espírito Santo, resumindo o conhecimento adquirido desde a última publicação e integrando novos dados à atualização da Carta Estratigráfica.",1.0,1.0,33,54,4
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,1.0,1.0,"A Bacia do Espírito Santo está situada no estado do Espírito Santo, Brasil, limitada ao sul pela Bacia de Campos (Alto de Vitória) e ao norte pela Bacia de Mucuri.",1.0,1.0,22,37,3
