question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Ela indica o tipo litológico:  
• amarelo – arenitos muito porosos;  
• verde – sedimentos clásticos finos;  
• azul – margas e calcilutitos.",,,"Ela indica o tipo de litologia presente: no exemplo, a fácies sísmica amarela corresponde a arenitos muito porosos, a verde a sedimentos clásticos finos e a azul a margas e calcilutitos.",,,34,56,0
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Ela corresponde aos litotipos (tipo de rocha) reconhecidos: 
– arenitos muito porosos (quando a cor é amarela),  
– sedimentos clásticos finos (verde),  
– margas e calcilutitos (azul).",,,"Às litologias: arenitos muito porosos, sedimentos clásticos finos ou margas/calcilutitos.",,,28,43,0
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"Saber como distribuir, no volume do reservatório, as CPVs que são conhecidas apenas nos poços.",,,"Saber como distribuir, em todo o volume do reservatório, as CPVs conhecidas apenas nos poços.",,,29,45,0
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,"A fácies sísmica corresponde à litologia inferida: por exemplo, pode ser interpretada como arenitos muito porosos (região amarela), sedimentos clásticos finos (verde) ou margas e calcilutitos (azul).",,,"A fácies sísmica é a interpretação do reflexo sísmico em termos de litologia, sendo associada a determinados tipos de rocha: nas áreas amarelas é interpretada como arenitos muito porosos, nas verdes como sedimentos clásticos finos e nas azuis como margas e calcilutitos.",,,28,47,0
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"Saber como distribuir, dentro do volume do reservatório, as CPVs (curvas de proporções de variáveis) conhecidas apenas nos poços.",,,"Saber como distribuir, em todo o volume do reservatório, as CPVs (curvas verticais de proporções) que são conhecidas apenas nos poços.",,,28,45,0
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,Pelas fácies sísmicas interpretadas.,,,A curva vertical de proporções é guiada pela respectiva fácies sísmica (interpretada como arenitos muito porosos).,,,24,31,0
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica representada pela cor verde (sedimentos clásticos finos).,,,É a fácies sísmica representada pela cor verde na matriz de proporções.,,,29,46,2
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,Utilizam-se as fácies sísmicas (via a matriz de proporções) para guiar a distribuição das CPVs no volume do reservatório.,,,"Utiliza-se o conceito de fácies sísmicas, que guia a construção da matriz de proporções para repartir as CPVs no volume do reservatório.",,,26,44,2
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É uma grade (ou matriz) em que, para cada célula do modelo, se registram as proporções esperadas de cada litotipo (CPV). Essas proporções são estimadas a partir dos dados de poço e guiadas pelas fácies sísmicas, servindo como ferramenta para distribuir os litotipos no volume do reservatório e captar seu comportamento espacial, complementando os variogramas na modelagem geoestatística.",,,"É a ferramenta que registra, para cada local do modelo, a proporção esperada de cada litotipo, representando a distribuição espacial dos litotipos no reservatório; serve para guiar a inserção das curvas verticais de proporções (CPVs) e complementar os variogramas na modelagem geoestatística.",,,30,49,0
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,A fácies sísmica correspondente – interpretada como arenitos muito porosos.,,,A respectiva fácies sísmica presente na região em amarelo é interpretada como arenitos muito porosos.,,,23,36,3
1313,Qual é a área da Bacia do Espírito Santo?,SUCCESS,"41.500 km2,",A Bacia do Espírito Santo tem uma área explorável de aproximadamente 41.500 km².,,,Aproximadamente 41 500 km² de área explorável (cerca de 3 000 km² em terra).,,,21,36,2
1316,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,"Asmus et al.,",Foi apresentada por Asmus et al.,,,Foi apresentada por Asmus et al.,,,21,33,2
1317,Quantos km2 da Bacia do Espírito Santo são de exploração?,SUCCESS,"41.500 km2,",Cerca de 41.500 km².,,,Cerca de 41 500 km² da Bacia do Espírito Santo são considerados área explorável.,,,21,34,2
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A Bacia do Espírito Santo tem cerca de 41 500 km² de área explorável.,,,Ela possui cerca de 41 500 km² de área explorável (aproximadamente 3 000 km² em terra).,,,22,37,0
1322,Quem apresentou a primeira estratigrafia formal da Bacia do Espírito Santo?,SUCCESS,Asmus et al.,Foi apresentada por Asmus et al.,,,Foi apresentada por Asmus et al.,,,20,35,2
1323,Quantos km2 da Bacia do Espírito Santo são de exploração?,SUCCESS,41.500,Cerca de 41.500 km².,,,Cerca de 41.500 km².,,,20,34,2
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,Seu limite leste coincide com o limite entre a crosta continental e a crosta oceânica.,,,O limite leste da Bacia do Espírito Santo coincide com o limite entre a crosta continental e a crosta oceânica.,,,23,37,4
1326,Qual é a área aproximada da Bacia do Espírito Santo?,SUCCESS,41.500 km2,Aproximadamente 41.500 km².,,,Aproximadamente 41 500 km².,,,22,38,3
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,Ela varia de cerca de 40 km no setor sul até aproximadamente 240 km na porção centro-norte.,,,"Ela tem, em média, cerca de 40 km de largura ao sul, ampliando-se para aproximadamente 240 km na região centro-norte.",,,25,43,0
1328,Quem apresentou a carta de costa da Bacia do Espírito Santo?,SUCCESS,Vieira et al.,Foi apresentada por Vieira et al.,,,Foi apresentada por Vieira et al.,,,21,36,0
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,À coincidência com o limite entre a crosta continental e a crosta oceânica.,,,À linha do limite entre a crosta continental e a crosta oceânica.,,,27,43,0
1335,Quem apresentou a carta da Bacia do Espírito Santo?,SUCCESS,Vieira et al.,A carta da Bacia do Espírito Santo foi apresentada por Vieira et al.,,,A carta da Bacia do Espírito Santo foi apresentada por Vieira et al.,,,23,37,0
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,Cerca de 3 000 km².,,,Cerca de 3 000 km².,,,22,34,3
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"Pelo acentuado alargamento da plataforma continental, que passa de cerca de 40 km no sul para aproximadamente 240 km na porção centro-norte.",,,"Ela se evidencia pelo alargamento da plataforma continental, que se estreita a cerca de 40 km no sul e se alarga até aproximadamente 240 km na porção centro-norte.",,,20,32,2
1340,O que o trabalho de Vieira et al. enfatiza?,SUCCESS,a cronoestratigrafia,Enfatiza a cronoestratigrafia.,,,Ele enfatiza a cronoestratigrafia.,,,23,37,0
1341,O que é enfatizado neste trabalho?,SUCCESS,cronoestratigrafia,Ele enfatiza a cronoestratigrafia.,,,A cronoestratigrafia.,,,21,34,0
1343,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,um alargamento da plataforma continental,Ela é evidenciada pelo grande alargamento da plataforma continental (de ∼40 km para até ∼240 km).,,,"Pelo alargamento da plataforma continental, que se amplia de cerca de 40 km para aproximadamente 240 km.",,,26,40,0
1344,O que o trabalho de Vieira et al. enfatiza?,SUCCESS,cronoestratigrafia,Enfatiza a cronoestratigrafia.,,,O trabalho de Vieira et al. enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,20,33,1
1345,Qual é a área explorável da Bacia do Espírito Santo?,SUCCESS,aproximadamente 41.500 km2,Aproximadamente 41.500 km².,,,A área explorável da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,33,59,0
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,",A existência do Banco de Abrolhos.,,,A existência do Banco de Abrolhos.,,,22,34,3
1348,O que foi fundamental para a atualização da Carta Estratigráfica da Bacia do Espírito Santo?,SUCCESS,"O conhecimento adquirido ao longo de 50 anos de exploração,","O conhecimento acumulado em 50 anos de exploração – com centenas de poços perfurados, numerosas linhas sísmicas 2D/3D e a integração contínua desses novos dados – foi fundamental para a atualização da Carta Estratigráfica da Bacia do Espírito Santo.",,,"O conhecimento acumulado em 50 anos de exploração – com centenas de poços exploratórios, inúmeras linhas sísmicas 2D/3D e a contínua integração de novos dados – foi fundamental para a atualização da Carta Estratigráfica da Bacia do Espírito Santo.",,,23,38,2
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Ele enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,O trabalho destaca principalmente a cronoestratigrafia da Bacia do Espírito Santo.,,,24,38,3
1350,Qual é a área total da Bacia do Espírito Santo?,SUCCESS,41.500 km2,Aproximadamente 41 500 km².,,,"A Bacia do Espírito Santo possui, ao todo, cerca de 41 500 km² de área.",,,28,46,3
1351,Qual é a área da bacia terrestre da Bacia do Espírito Santo?,SUCCESS,3.000 km2,A área da porção terrestre da Bacia do Espírito Santo é de cerca de 3.000 km².,,,A área da porção terrestre da Bacia do Espírito Santo é de cerca de 3 000 km².,,,23,37,0
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,No Estado do Espírito Santo.,,,"No Estado do Espírito Santo, Sudeste do Brasil.",,,23,40,2
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","• Ao sul: limitada pela Bacia de Campos, marcada pelo Alto de Vitória.  
• Ao norte: limitada pela Bacia de Mucuri.  
• A leste: limitada pelo contato crosta continental/oceânica (fronteira leste).",,,"Ao sul, a Bacia do Espírito Santo é limitada pela Bacia de Campos, separada pelo Alto de Vitória; ao norte, é limitada pela Bacia de Mucuri.",,,20,33,2
