question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa o tipo de rocha/sedimento inferido a partir da sísmica, guiando a distribuição espacial das proporções de litotipos no reservatório. No contexto dado:

- amarelo: arenitos muito porosos;
- verde: sedimentos clásticos finos;
- azul: margas e calcilutitos.",1.0,1.0,"A fácies sísmica interpretada representa, conforme a região, **arenitos muito porosos**, **sedimentos clásticos finos** ou **margas e calcilutitos**.",1.0,1.0,52,92,21
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Corresponde ao **tipo de rocha/sedimento inferido a partir da sísmica**. No contexto:

- **amarelo** → **arenitos muito porosos**
- **verde** → **sedimentos clásticos finos**
- **azul** → **margas e calcilutitos**",1.0,1.0,"Corresponde a um litotipo/sedimento específico, conforme a região:  
- amarelo: **arenitos muito porosos**  
- verde: **sedimentos clásticos finos**  
- azul: **margas e calcilutitos**",1.0,1.0,50,84,23
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão é **como distribuir no volume do reservatório as CPVs conhecidas apenas nos poços**.  
Para isso, usa-se o **conceito de fácies sísmicas** para **guiar a repartição espacial das CPVs** e, assim, **construir a matriz de proporções**.",1.0,1.0,"A principal questão é **como distribuir no volume do reservatório as CPVs conhecidas somente nos poços**, usando o conceito de **fácies sísmicas** para guiar essa repartição espacial na matriz de proporções.",1.0,1.0,58,95,23
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,"Como **fácies sísmica**, no contexto dado, interpretam-se tipos de rocha/sedimento associados ao padrão sísmico, por exemplo:

- **arenitos muito porosos**  
- **sedimentos clásticos finos**  
- **margas e calcilutitos**  

Essas fácies sísmicas guiam a distribuição espacial das proporções de litotipos no reservatório.",1.0,1.0,"No contexto dado, a fácies sísmica é interpretada como diferentes litotipos, conforme a região:

- **amarelo**: **arenitos muito porosos**
- **verde**: **sedimentos clásticos finos**
- **azul**: **margas e calcilutitos**",1.0,1.0,52,84,22
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão é **como distribuir no volume do reservatório as CPVs conhecidas apenas nos poços**, usando o conceito de **fácies sísmicas** para **guiar essa repartição espacial**.",1.0,1.0,"A principal questão é **como distribuir no volume do reservatório as CPVs conhecidas somente nos poços**, usando o **conceito de fácies sísmicas** para guiar essa repartição espacial.",1.0,1.0,53,91,21
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções é guiada pela **fácies sísmica correspondente**.  
Na unidade genética superior de Namorado:

- **amarelo** → fácies sísmica interpretada como **arenitos muito porosos**;
- **verde** → **sedimentos clásticos finos**;
- **azul** → **margas e calcilutitos**.",1.0,1.0,A curva vertical de proporções é guiada pela respectiva fácies sísmica.,1.0,1.0,59,99,26
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica **verde** é interpretada como **sedimentos clásticos finos**.,1.0,1.0,A **fácies sísmica de sedimentos clásticos finos**.,1.0,1.0,52,95,19
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se **o conceito de fácies sísmicas**, que **guia a repartição espacial das CPVs** por meio da **construção da matriz de proporções** no volume do reservatório.",1.0,1.0,"Utiliza-se o **conceito de fácies sísmicas**, por meio da **matriz de proporções**, para guiar a distribuição das **CPVs** no volume do reservatório.",1.0,1.0,53,92,21
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta usada para distribuir espacialmente, no volume do reservatório, as curvas/proporções verticais de litotipos conhecidas apenas nos poços. Ela usa as fácies sísmicas como guia para repartir essas proporções no espaço, capturando o comportamento espacial dos litotipos.  

No exemplo dado:
- amarelo → arenitos muito porosos  
- verde → sedimentos clásticos finos  
- azul → margas e calcilutitos  

Assim, a matriz de proporções representa, em cada região do reservatório, a proporção esperada de cada litotipo, servindo também como complemento aos variogramas na modelagem geoestatística.",0.625,1.0,"A matriz de proporções, na construção de uma matriz de proporções de litotipos, é uma ferramenta que distribui no volume do reservatório as curvas de proporção vertical conhecidas nos poços, usando as fácies sísmicas como guia espacial, para capturar o comportamento espacial dos litotipos e apoiar a modelagem geoestatística.",1.0,1.0,44,74,18
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"Na região dominada pelo amarelo, interpreta-se **arenitos muito porosos**.",1.0,1.0,"Na região em que domina o amarelo, o que é interpretado são **arenitos muito porosos**.",1.0,1.0,48,82,20
