question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"Representa o litotipo inferido a partir dos dados sísmicos — ou seja, o tipo de rocha/sedimento: no exemplo, arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) e margas/calcilutitos (azul), que servem de guia para distribuir as CPVs no volume do reservatório.",,,"É a interpretação sísmica que indica litofácies e orienta a repartição espacial das curvas de proporção de litotipos (CPVs) no reservatório — por exemplo, arenitos muito porosos (amarelo), sedimentos clásticos finos (verde) ou margas/calcilutitos (azul).",,,32,53,5
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"As fácies sísmicas locais — p.ex. nas áreas amarelas a fácies de arenitos muito porosos guia a curva; nas verdes, sedimentos clásticos finos; nas azuis, margas e calcilutitos.",,,É guiada pela fácies sísmica respectiva — na zona amarela essa fácies é interpretada como arenitos muito porosos.,,,36,60,5
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,"A fácies sísmica representada em verde — ou seja, a fácies verde na matriz de proporções — é interpretada como sedimentos clásticos finos.",,,A fácies sísmica representada por verde.,,,40,65,4
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utiliza-se a matriz de proporções, construída e guiada pelas fácies sísmicas, para repartir espacialmente as CPVs conhecidas apenas nos poços.",,,"Uma matriz de proporções de litotipos, guiada pelas fácies sísmicas.",,,37,62,5
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É um mapa (matriz) que em cada célula do volume reserva indica as proporções (ou probabilidades) de ocorrência de cada litótipo. Para construí‑la usa‑se as curvas de proporção observadas nos poços e as fácies sísmicas como guia espacial: a fácies sísmica dita qual curva vertical de proporções aplicar em cada região (arenitos porosos, clásticos finos, margas, etc.). Serve para distribuir as CPVs conhecidas nos poços pelo volume, capturar o comportamento espacial dos litotipos e complementar os variogramas na modelagem geoestatística.",,,"É a matriz que distribui as proporções das classes litológicas (litotipos) no volume do reservatório, sendo guiada por fácies sísmicas; ela captura o comportamento espacial dos litotipos, complementa os variogramas na modelagem geoestatística e permite espalhar as CPVs conhecidas apenas nos poços pelo volume.",,,37,60,4
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,"A fácies sísmica respectiva — ou seja, a fácies interpretada como arenitos muito porosos.",,,"A fácies sísmica da região amarela — ou seja, a fácies sísmica é interpretada como arenitos muito porosos.",,,41,66,5
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,"Aproximadamente 41.500 km² exploráveis, dos quais cerca de 3.000 km² correspondem à porção terrestre.",,,"Aproximadamente 41.500 km² de área explorável, dos quais cerca de 3.000 km² são da bacia terrestre.",,,28,48,4
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,"O limite leste coincide com o limite crosta continental/oceânica, sendo também marcado pela presença do Banco de Abrolhos.",,,O limite leste coincide com a fronteira entre a crosta continental e a crosta oceânica (limite crosta continental/oceânica).,,,33,59,5
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,"Em média cerca de 40 km ao sul, atingindo cerca de 240 km na porção centro-norte.",,,"Em média ~40 km no sul, alargando até cerca de 240 km na porção centro‑norte.",,,33,56,4
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,Refere-se ao limite entre a crosta continental e a crosta oceânica (limite crosta continental/oceânica).,,,"Refere‑se ao limite crosta continental/oceânica — ou seja, ao contato entre a crosta continental e a crosta oceânica.",,,42,74,4
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,3.000 km².,,,Cerca de 3.000 km² (de um total explorável de ≈ 41.500 km²).,,,35,59,5
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,Evidencia o alargamento da plataforma continental — de cerca de 40 km no sul até aproximadamente 240 km na porção centro‑norte.,,,Evidencia o alargamento da plataforma continental — de ≈40 km no sul até ≈240 km na porção centro‑norte.,,,37,66,5
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,",A presença do Banco de Abrolhos a leste.,,,"A presença do Banco de Abrolhos a leste, que alarga a plataforma continental (de ~40 km ao sul até ~240 km na porção centro‑norte).",,,38,66,6
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,Enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,40,64,7
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,"No Estado do Espírito Santo, limitada ao sul pela Bacia de Campos (via Alto de Vitória) e ao norte pela Bacia de Mucuri.",,,"A Bacia do Espírito Santo está situada no estado do Espírito Santo, no Brasil.",,,34,57,3
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","Situada no Estado do Espírito Santo. Limites:- Ao sul: Bacia de Campos, através do Alto de Vitória.- Ao norte: Bacia de Mucuri.- A leste: fronteira coincidente com o limite crosta continental/oceânica (com o Banco de Abrolhos a leste, que alarga a plataforma continental).Área explorável ~41.500 km², sendo ~3.000 km² na porção terrestre.",,,"Resumidamente:- Está situada no Estado do Espírito Santo.- Limite norte: Bacia de Mucuri.- Limite sul: Bacia de Campos, separado pelo Alto de Vitória.- Limite leste (na porção terrestre): coincide com o limite crosta continental/oceânica; a leste situa‑se o Banco de Abrolhos, que alarga a plataforma continental.",,,37,62,4
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,A hipótese c — a condição de obliquidade constante em toda a área.,,,"A hipótese c — ou seja, a obliquidade constante em toda a área.",,,47,75,6
1391,O que sugere que a evolução direcional posterior à nucleação frontal da zona de falha desenvolva uma evolução direcional posterior à nucleação frontal?,SUCCESS,secciona-mento da zona de falha de Perimbó,"O fato de a zona de falha de Perimbó ser cortada por falhas transcorrentes — principalmente falhas dextrais — sugere que, após a nucleação frontal, houve uma evolução para movimento transcorrente dextral (situação contrária ao esperado em regime transpressivo).",,,O facto de a zona de Perimbó ser seccionada por falhas transcorrentes dextrais — com posterior achatamento do par conjugado e concentração do movimento nas falhas dextrais — sugere essa evolução direcional posterior à nucleação frontal.,,,38,64,5
1398,Quais regimes produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Os regimes oblíquo ou transpressivo.,,,Os regimes oblíquo e transpressivo.,,,42,74,5
1401,Qual é a base para quantificar o encurtamento?,SUCCESS,"um marcador linear, paralelo à direção de compressão máxima",Tomar como base um marcador linear paralelo à direção de compressão máxima.,,,Tomar como base um marcador linear paralelo à direção de compressão máxima.,,,44,78,6
1402,Quais são os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Regime oblíquo e regime transpressivo.,,,Os regimes oblíquo e transpressivo.,,,48,83,4
1406,Qual é a direção do vetor tectônico na primeira fase de deformação?,SUCCESS,de SE para NW,O vetor tectônico na 1ª fase era dirigido de SE para NW (sudeste → noroeste).,,,O vetor tectônico da primeira fase foi de sudeste (SE) para noroeste (NW).,,,41,79,4
1407,O que sugere o seccionamento da zona de falha de Perimbó pelas falhas transcorrentes?,SUCCESS,uma evolução direcional posterior à nucleação frontal da referida zona de falha,"Sugere uma evolução direcional posterior à nucleação frontal da zona de falha — ou seja, um avanço do movimento concentrando‑se nas falhas transcorrentes (principalmente dextrais), situação contrária a um regime transpressivo.",,,"Sugere uma evolução direcional posterior à nucleação frontal da zona de falha, com posterior concentração do movimento ao longo de falhas transcorrentes dextras (deslocamento dextral), em vez de um regime transpressivo.",,,50,83,5
1412,O que a hipótese b sugere que deveria ocorrer também?,SUCCESS,uma dispersão dos valores de acamamento,Que deveria ocorrer uma dispersão dos valores de acamamento que evidenciasse uma suposta deformação tardia.,,,Que deveria ocorrer uma dispersão nos valores de acamamento — variação dos acamamentos que evidenciasse a suposta deformação tardia.,,,33,59,3
1413,Qual é a condição que a hipótese c considera constante em toda a área?,SUCCESS,a condição de obliqüidade,A hipótese c considera que a obliquidade é constante em toda a área.,,,Que a obliquidade é constante em toda a área.,,,42,83,5
1414,Qual é o nome da descontinuidade crustal?,SUCCESS,"Arco de São Mateus,",Arco de São Mateus,,,Arco de São Mateus.,,,49,79,4
