question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa a distribuição espacial dos litotipos no reservatório, guiando a repartição das características petrofísicas variáveis (CPVs) conhecidas nos poços.",,,"A fácies sísmica interpretada representa diferentes tipos de litotipos no reservatório, incluindo arenitos muito porosos, sedimentos clásticos finos, margas e calcilutitos.",,,26,38,15
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica interpretada como arenitos muito porosos.,,,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pelas respectivas fácies sísmicas.,,,26,36,15
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é representada pela cor verde.,,,A fácies sísmica interpretada como sedimentos clásticos finos é aquela associada a áreas com cor predominante verde.,,,26,42,14
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, é utilizado o conceito de fácies sísmicas guiando a repartição espacial das CPVs, construindo a matriz de proporções.",,,"O conceito de fácies sísmicas é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, guiando a repartição espacial dessas CPVs.",,,30,43,16
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta utilizada para capturar o comportamento espacial dos litotipos em um reservatório. Ela distribui as proporções conhecidas em poços ao longo do reservatório, guiada por fácies sísmicas, complementando o uso de variogramas na análise estrutural das variáveis regionais na modelagem geoestatística.",,,A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta usada para distribuir os valores de parâmetros celulares conhecidos com base na orientação de fácies sísmicas. Ela captura o comportamento espacial dos litotipos e é um instrumento complementar aos variogramas na modelagem geoestatística.,,,25,37,12
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,Os arenitos muito porosos.,,,O que é interpretado como arenitos muito porosos na região que domina o amarelo são fácies sísmicas.,,,32,47,18
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,25,37,14
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é coincidente com o limite entre crosta continental e oceânica.,,,"O limite leste da Bacia do Espírito Santo é coincidente com o limite crosta continental/oceânica, e ao leste encontra-se o Banco de Abrolhos.",,,33,50,20
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A plataforma continental tem uma largura de cerca de 40 km a sul e cerca de 240 km na porção centro-norte.,,,A largura da plataforma continental na Bacia do Espírito Santo varia de uma média de 40 km no sul até cerca de 240 km na porção centro-norte.,,,31,48,17
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite crosta continental/oceânica.,,,A fronteira leste da Bacia do Espírito Santo refere-se ao limite crosta continental/oceânica.,,,31,47,15
