question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa a distribuição espacial de tipos de sedimentos ou rochas, como sedimentos clásticos finos, arenitos muito porosos, margas e calcilutitos, guiando a repartição das características petrofísicas no reservatório.",0.5,0.5,"A fácies sísmica interpretada representa diferentes tipos de litotipos no reservatório: arenitos muito porosos na região amarela, sedimentos clásticos finos na região verde, e margas e calcilutitos na região azul. Ela guia a distribuição espacial das permeabilidades conhecidas (CPVs) no volume do reservatório.",0.4,0.6666666666666666,22,36,4
1293,A que corresponde a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,A fácies sísmica interpretada corresponde a sedimentos clásticos finos.,1.0,0.0,"A ""fácies sísmica interpretada"" corresponde à interpretação de características sísmicas para guiar modelos de litologia, definindo tipos de sedimentos ou rochas em regiões específicas na matriz de proporções, como arenitos, sedimentos clásticos finos, margas e calcilutitos.",1.0,1.0,18,34,2
1296,Qual é a principal questão quando o conceito de fácies sísmicas é usado para construir a matriz de proporções?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,"A principal questão é como distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utilizando o conceito de fácies sísmicas para guiar essa distribuição espacial na construção da matriz de proporções.",1.0,1.0,"A principal questão é como distribuir no volume do reservatório as CPVs conhecidas somente nos poços, usando o conceito de fácies sísmicas para guiar essa repartição espacial.",1.0,1.0,17,25,3
1297,O que é interpretado como fácies sísmica?,SUCCESS,arenitos muito porosos,"Fácies sísmica é interpretada como uma característica geológica mapeada através de dados sísmicos, como por exemplo, arenitos muito porosos, sedimentos clásticos finos, ou margas e calcilutitos, que orientam a distribuição espacial dos litotipos em um reservatório.",1.0,0.5,"Fácies sísmica é interpretada como guias para a interpretação e distribuição de litotipos no reservatório, representando diferentes tipos de sedimentos, como arenitos muito porosos, sedimentos clásticos finos, margas e calcilutitos.",0.6666666666666666,1.0,16,22,2
1301,Qual é a principal questão que envolve o conceito de fácies sísmicas?,SUCCESS,como distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,A principal questão que envolve o conceito de fácies sísmicas é como distribuir no volume do reservatório as características petrofísicas variáveis (CPVs) conhecidas somente nos poços. As fácies sísmicas ajudam a guiar essa distribuição espacial.,1.0,0.5,"A principal questão que envolve o conceito de fácies sísmicas é como distribuir no volume do reservatório as CPVs (core plug volumes) conhecidas somente nos poços, guiando a repartição espacial para capturar o comportamento dos litotipos.",0.6,1.0,18,28,3
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções na matriz para a unidade genética superior do reservatório de Namorado é guiada pela respectiva fácies sísmica, interpretada como arenitos muito porosos.",0.5,1.0,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica respectiva.,1.0,1.0,23,34,3
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a região onde o verde aparece mais.,1.0,1.0,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é representada pela cor verde.,0.5,1.0,20,28,3
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,O conceito de fácies sísmicas é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços.,1.0,1.0,"Para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, utiliza-se o conceito de fácies sísmicas, que guia a repartição espacial das CPVs através da construção de uma matriz de proporções.",1.0,0.5,21,33,3
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções é uma ferramenta usada para capturar e representar o comportamento espacial dos litotipos em um reservatório. Ela distribui as proporções de litotipos conhecidos nos poços ao longo do volume do reservatório, guiada pelas fácies sísmicas. Isso é crucial para a modelagem geoestatística e complementa a análise com variogramas.",1.0,1.0,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta geológica utilizada para representar as proporções de distribuição de diferentes litotipos em uma formação geológica, capturando o comportamento espacial dos litotipos através da guiagem por fácies sísmicas. Ela complementa a análise estrutural das variáveis regionais na modelagem geoestatística e ajuda na repartição espacial das proporções conhecidas apenas nos poços.",1.0,1.0,21,32,3
1310,O que é interpretado como arenitos muito porosos na região que domina o amarelo?,SUCCESS,a curva vertical de proporções é guiada pela respectiva fácies sísmica,A região que domina o amarelo é interpretada como arenitos muito porosos.,1.0,1.0,A região que domina o amarelo é interpretada como arenitos muito porosos.,1.0,1.0,22,34,3
