question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada representa o tipo de litologia/litotipo inferido a partir dos dados sísmicos. No exemplo dado: a fácies amarela = arenitos muito porosos, a verde = sedimentos clásticos finos, e a azul = margas e calcilutitos. Essas fácies guiam a repartição espacial das curvas de proporções (CPVs) e a construção da matriz de proporções, capturando o comportamento espacial dos litotipos em modelagem geoestatística.",,,"É a interpretação, a partir dos sinais sísmicos, das fácies/litologias presentes — ou seja, o mapeamento de zonas sísmicas em fácies sedimentares (ex.: arenitos muito porosos — amarelo; sedimentos clásticos finos — verde; margas e calcilutitos — azul). Essa fácies sísmica guia a distribuição espacial das proporções de litotipos (CPVs) no reservatório.",,,48,80,28
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,A curva é guiada pela respectiva fácies sísmica — p.ex. amarelo: arenitos muito porosos; verde: sedimentos clásticos finos; azul: margas/calcilutitos.,,,"A curva vertical de proporções é guiada pela fácies sísmica respectiva — por exemplo, onde predomina o amarelo ela é controlada pela fácies interpretada como arenitos muito porosos.",,,43,73,17
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,"A fácies sísmica de cor verde — ou seja, a região onde predomina o verde na matriz de proporções — é interpretada como sedimentos clásticos finos.",,,A fácies sísmica esverdeada (região verde) é interpretada como sedimentos clásticos finos.,,,54,89,30
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"Utilizam‑se as fácies sísmicas para guiar a repartição espacial das CPVs, por meio da construção de uma matriz de proporções de litotipos.",,,Uma matriz de proporções de litotipos — construída a partir das fácies sísmicas para guiar a repartição espacial das CPVs.,,,33,53,13
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"É uma grade espacial em que cada célula contém as proporções (ou probabilidades) de ocorrência de cada litótipo. Essas proporções são estimadas combinando as curvas/proporções observadas nos poços (CPVs) com a informação das fácies sísmicas, de modo a orientar a distribuição espacial dos litotipos pelo reservatório. A matriz de proporções captura o comportamento espacial das fácies e complementa os variogramas na modelagem geoestatística.",,,"É uma matriz (grade) que representa, em cada célula do volume do reservatório, as proporções dos diferentes litotipos (arenitos, sedimentos finos, margas, etc.). É construída guiada por fácies sísmicas para distribuir as proporções conhecidas apenas nos poços (CPVs) pelo espaço, capturando o comportamento espacial dos litotipos e servindo como complemento aos variogramas na modelagem geoestatística.",,,37,57,14
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,"A área explorável é de aproximadamente 41.500 km², dos quais cerca de 3.000 km² correspondem à porção terrestre.",,,"Aproximadamente 41.500 km² de área explorável, dos quais cerca de 3.000 km² correspondem à porção terrestre.",,,62,102,33
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste coincide com o limite crosta continental/oceânica (com o Banco de Abrolhos situado a leste).,,,O limite leste coincide com o limite crosta continental/oceânica — a leste situa‑se o Banco de Abrolhos.,,,55,85,29
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A plataforma varia: em média ~40 km ao sul e chega a cerca de 240 km na porção centro‑norte.,,,"A plataforma tem cerca de 40 km de largura no sul, ampliando-se para aproximadamente 240 km na porção centro-norte.",,,66,107,36
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,"Refere-se ao limite entre a crosta continental e a crosta oceânica — ou seja, o limite continental/oceânico.",,,Refere-se ao limite crosta continental–crosta oceânica (limite continental/oceânico).,,,74,123,44
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,3.000 km².,,,A porção terrestre é de aproximadamente 3.000 km².,,,68,109,32
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,Evidencia o alargamento da plataforma continental — de cerca de 40 km ao sul até aproximadamente 240 km na porção centro‑norte.,,,Evidencia o alargamento da plataforma continental — de cerca de 40 km de largura ao sul até aproximadamente 240 km na porção centro‑norte.,,,50,86,27
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos a leste, que provoca um alargamento da plataforma continental.",,,A presença do Banco de Abrolhos.,,,70,117,36
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,Enfatiza a cronoestratigrafia da Bacia do Espírito Santo.,,,57,97,29
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,No Estado do Espírito Santo — limitada ao sul pela Bacia de Campos (pelo Alto de Vitória) e ao norte pela Bacia de Mucuri.,,,"A Bacia do Espírito Santo está situada no Estado do Espírito Santo, Brasil.",,,58,98,25
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","A Bacia do Espírito Santo situa‑se no Estado do Espírito Santo; é limitada ao sul pela Bacia de Campos (via Alto de Vitória), ao norte pela Bacia de Mucuri e, a leste, pelo limite crosta continental/oceânica.",,,"A Bacia do Espírito Santo situa‑se no Estado do Espírito Santo e é limitada: 
- ao norte pela Bacia de Mucuri; 
- ao sul pela Bacia de Campos, separada pelo Alto de Vitória; 
- a leste pela fronteira crosta continental/oceânica (com influência do Banco de Abrolhos).",,,74,121,42
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,A hipótese c — a condição de obliquidade constante em toda a área.,,,"A hipótese c — isto é, obliquidade constante em toda a área.",,,52,85,20
1391,O que sugere que a evolução direcional posterior à nucleação frontal da zona de falha desenvolva uma evolução direcional posterior à nucleação frontal?,SUCCESS,secciona-mento da zona de falha de Perimbó,"O seccionamento da zona de falha de Perimbó por falhas transcorrentes, sobretudo dextrais, indica uma evolução direcional posterior à nucleação frontal (situação incompatível com um regime transpressivo).",,,"O seccionamento da zona de falha de Perimbó por falhas transcorrentes, sobretudo pelas falhas dextras.",,,52,87,19
1398,Quais regimes produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Os regimes oblíquo (obliquidade) ou transpressivo.,,,"Regimes oblíquo ou transpressivo — isto é, um regime oblíquo/transpressivo combinado (sendo o oblíquo a hipótese mais compatível no estudo).",,,56,91,20
1401,Qual é a base para quantificar o encurtamento?,SUCCESS,"um marcador linear, paralelo à direção de compressão máxima",Tomar como base um marcador linear paralelo à direção de compressão máxima.,,,Tomando-se como base um marcador linear paralelo à direção de compressão máxima.,,,73,107,40
1402,Quais são os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Os regimes oblíquo e transpressivo.,,,Um regime oblíquo ou um regime transpressivo.,,,75,117,42
1406,Qual é a direção do vetor tectônico na primeira fase de deformação?,SUCCESS,de SE para NW,O vetor tectônico foi direcionado de SE para NW (de sudeste para noroeste).,,,O vetor tectônico da primeira fase de deformação é direcionado de SE para NW (sudeste → noroeste).,,,70,115,30
1407,O que sugere o seccionamento da zona de falha de Perimbó pelas falhas transcorrentes?,SUCCESS,uma evolução direcional posterior à nucleação frontal da referida zona de falha,"Sugere uma evolução direcional posterior à nucleação frontal da zona de falha, com concentração posterior do movimento nas falhas transcorrentes dextrais — situação contrária ao regime transpressivo.",,,"Que houve uma evolução direcional posterior à nucleação frontal da zona de falha — com posterior concentração do movimento ao longo das falhas transcorrentes, sobretudo dextrais.",,,48,86,18
1412,O que a hipótese b sugere que deveria ocorrer também?,SUCCESS,uma dispersão dos valores de acamamento,"Que ocorreria uma dispersão dos valores de acamamento, indicando uma suposta deformação tardia.",,,"Que ocorreria uma dispersão dos valores de acamamento, indicando uma deformação tardia.",,,73,129,42
1413,Qual é a condição que a hipótese c considera constante em toda a área?,SUCCESS,a condição de obliqüidade,Que a obliquidade seja constante em toda a área.,,,Que a obliquidade seja constante em toda a área.,,,73,114,43
1414,Qual é o nome da descontinuidade crustal?,SUCCESS,"Arco de São Mateus,",Arco de São Mateus,,,Arco de São Mateus.,,,70,115,40
1415,Qual é a idade do fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma, geocro-nologicamente compatível","69,4 ± 1,3 Ma (milhões de anos).",,,"O fragmento máfico tem idade Ar–Ar de 69,4 ± 1,3 Ma.",,,69,117,44
1416,Qual é a sequência vulcanoclástica da Fm. Rio Doce?,SUCCESS,Abrolhos,"É a mesma inter-relacionada com a Formação Abrolhos: uma sequência vulcanoclástica constituída por rochas piroclásticas ácidas (traquíticas a riolíticas) associadas aos sedimentos terciários da Fm. Rio Doce, que próximo ao contato com as vulcânicas aparece totalmente silicificada (""cozida"").",,,É a sequência vulcanoclástica da Formação Abrolhos.,,,76,130,41
1426,Qual foi a data de um fragmento mafico de uma rocha?,SUCCESS,"69,4 ± 1,3 Ma","69,4 ± 1,3 Ma (milhões de anos).",,,"69,4 ± 1,3 Ma (datação Ar–Ar).",,,72,121,40
1429,Como é chamada a descontinuidade crustal?,SUCCESS,Arco de São Mateus,É denominada Arco de São Mateus.,,,Arco de São Mateus.,,,64,109,37
1430,Qual é a área das rochas piroclásticas ácidas encontradas na região nordeste de Minas Gerais?,SUCCESS,75km de comprimento por 25km de largura,Aproximadamente 1875 km² (75 km × 25 km).,,,Ocupa cerca de 75 km de comprimento por 25 km de largura — aproximadamente 1.875 km².,,,88,156,53
1436,Qual a idade geocronológica indicada pela datação Ar-Ar de um fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma","69,4 ± 1,3 Ma (ou seja, ≈ 69 milhões de anos).",,,"69,4 ± 1,3 Ma.",,,72,124,41
1439,"O que controlaria os fenômenos neotectônicos, o padrão de drenagem e a circulação de fluidos na região?",SUCCESS,"a uma descontinuidade crustal denominada Arco de São Mateus,",As reativações da descontinuidade crustal denominada Arco de São Mateus — uma zona de profundas fissuras na crosta.,,,As reativações posteriores da estrutura crustal do Arco de São Mateus (reativações estruturais do Arco de São Mateus).,,,75,127,43
1440,Qual é a idade do fragmento máfico mencionado no texto?,SUCCESS,"69,4 ± 1,3 Ma","Foi datado em 69,4 ± 1,3 Ma (milhões de anos).",,,"69,4 ± 1,3 Ma (≈ 69,4 milhões de anos).",,,78,135,45
1441,O que é a Fm. Rio Doce?,SUCCESS,"arenitos médios a muito grossos, quartzozos, feldspáticos, com cores cinza-esverdeadas, maciços ou com estratificações cruzadas","A Fm. Rio Doce é a Formação Rio Doce — uma unidade sedimentar (terciária) constituída por arenitos médios a muito grossos, quartzosos e feldspáticos (cinza‑esverdeados), maciços ou com estratificação cruzada, mal selecionados, pouco lamosos, fortemente litificados e cimentados por sílica criptocristalina; junto ao contato com vulcânicas pode aparecer totalmente silicificada (""cozida"").",,,"É uma formação sedimentar (sedimentos terciários) composta por arenitos médios a muito grossos, quartzozos e feldspáticos, de cor cinza‑esverdeada, maciços ou com estratificação cruzada, mal selecionados, pouco lamosos, muito litificados e cimentados por sílica criptocristalina; frequentemente encontra‑se silicificada junto ao contato com as vulcânicas da Fm. Abrolhos.",,,81,137,46
1442,Como são os sedimentos da Fm. Rio Doce?,SUCCESS,"mal selecionados, pouco lamosos e extremamente litificados, com os grãos cimentados por sílica criptocristalina","São arenitos médios a muito grossos, quartzozos e feldspáticos, de cor cinza‑esverdeada, maciços ou com estratificações cruzadas; os sedimentos são mal selecionados, pouco lamosos e extremamente litificados, com grãos cimentados por sílica criptocristalina.",,,"São arenitos terciários de médios a muito grossos, quartzozos e feldspáticos, de cor cinza‑esverdeada, maciços ou com estratificações cruzadas; mal selecionados, pouco lamosos e extremamente litificados, com grãos cimentados por sílica criptocristalina; próximos às vulcânicas estão totalmente silicificados (""cozidos"").",,,64,105,34
1443,Qual é a direção das rochas piroclásticas ácidas mencionadas por Raposo et al.?,SUCCESS,NE-SW,NE–SW (nordeste–sudoeste).,,,Elas têm direção NE–SW (nordeste–sudoeste).,,,74,122,40
