question_id,question,status,expected_answer,answers.rag_answer,evaluation.rag.metrics.answer_relevancy.score,evaluation.rag.metrics.faithfulness.score,answers.graphrag_answer,evaluation.graph.answer_relevancy.score,evaluation.graph.faithfulness.score,total_graph_data_nodes,total_edges,total_ontology_valid_true
1292,O que representa a fácies sísmica interpretada?,SUCCESS,sedimentos clásticos finos,"A fácies sísmica interpretada, onde o verde aparece mais, representa sedimentos clásticos finos.",,,"A fácies sísmica interpretada representa a tipologia do sedimento em uma região específica, indicando se são arenitos muito porosos, sedimentos clásticos finos, ou margas e calcilutitos, e guia a distribuição espacial dos volumes de litotipos no reservatório.",,,36,52,23
1304,O que guia a curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado?,SUCCESS,respectiva fácies sísmica,"A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pela fácies sísmica respectiva, interpretada como arenitos muito porosos.",,,A curva vertical de proporções na matriz de proporções para a unidade genética superior do reservatório de Namorado é guiada pelas respectivas fácies sísmicas.,,,30,45,17
1305,Qual fácies sísmica é interpretada como sedimentos clásticos finos na matriz de proporções?,SUCCESS,verde,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a onde o verde aparece mais.,,,A fácies sísmica interpretada como sedimentos clásticos finos na matriz de proporções é a correspondente onde o verde aparece mais.,,,33,44,24
1306,O que é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços?,SUCCESS,conceito de fácies sísmicas,"As fácies sísmicas são utilizadas para distribuir no volume do reservatório as CPVs conhecidas somente nos poços, guiando a repartição espacial e construindo a matriz de proporções.",,,O conceito de fácies sísmicas é utilizado para distribuir no volume do reservatório as CPVs conhecidas somente nos poços.,,,33,50,22
1309,O que é a matriz de proporções na construção de uma matriz de proporções de litotipos?,SUCCESS,uma ferramenta muito importante para capturar o comportamento espacial dos litotipos,"A matriz de proporções na construção de uma matriz de proporções de litotipos é uma ferramenta para capturar e representar o comportamento espacial dos diferentes litotipos em um reservatório, guiando a distribuição espacial das propriedades conhecidas (CPVs) a partir dos poços, usando fácies sísmicas como referência. Ela complementa os variogramas na análise estrutural na modelagem geoestatística.",,,"A matriz de proporções é uma ferramenta na construção de uma matriz de proporções de litotipos que captura o comportamento espacial dos litotipos em um reservatório. Ela utiliza fácies sísmicas para guiar a distribuição espacial das variações proporcionais conhecidas somente nos poços, sendo essencial na modelagem geoestatística de reservatórios.",,,36,50,27
1320,Qual é a área da Bacia do Espírito Santo?,SUCCESS,41.500 km2,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,A área da Bacia do Espírito Santo é de aproximadamente 41.500 km².,,,34,54,21
1325,Qual é o limite leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,O limite leste da Bacia do Espírito Santo é coincidente com o limite entre a crosta continental e oceânica.,,,"O limite leste da Bacia do Espírito Santo é coincidente com o limite entre a crosta continental e oceânica, com a existência do Banco de Abrolhos contribuindo para uma fisiografia particular.",,,39,57,26
1327,Qual é a largura da plataforma continental?,SUCCESS,240 km na porção centro-norte,A largura da plataforma continental varia de uma média de 40 km a sul até cerca de 240 km na porção centro-norte.,,,A largura da plataforma continental na Bacia do Espírito Santo varia de uma média de 40 km a sul até cerca de 240 km na porção centro-norte.,,,42,64,28
1333,A que se refere a fronteira leste da Bacia do Espírito Santo?,SUCCESS,crosta continental/oceânica,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e oceânica.,,,A fronteira leste da Bacia do Espírito Santo refere-se ao limite entre a crosta continental e oceânica.,,,44,63,31
1338,Quantos quilômetros de área a Bacia do Espírito Santo tem a ver com a bacia terrestre?,SUCCESS,3.000,3.000 km² referem-se à bacia terrestre na Bacia do Espírito Santo.,,,"A Bacia do Espírito Santo tem uma área total explorável de aproximadamente 41.500 km², dos quais 3.000 km² referem-se à bacia terrestre.",,,33,49,18
1339,O que evidencia a fisiografia do Banco de Abrolhos?,SUCCESS,alargamento da plataforma continental,"O Banco de Abrolhos evidencia uma fisiografia particular na Bacia do Espírito Santo, caracterizada por um significativo alargamento da plataforma continental, que passa de uma média de 40 km de largura a sul para cerca de 240 km na porção centro-norte.",,,"A fisiografia do Banco de Abrolhos é evidenciada por um alargamento da plataforma continental na Bacia do Espírito Santo, que passa de uma média de 40 km de largura a sul para cerca de 240 km na porção centro-norte.",,,47,72,31
1346,O que atribui à bacia uma fisiografia particular?,SUCCESS,"A existência do Banco de Abrolhos,","A existência do Banco de Abrolhos, que causa um alargamento da plataforma continental, atribui à bacia uma fisiografia particular.",,,"A existência do Banco de Abrolhos, a leste da Bacia do Espírito Santo, atribui à bacia uma fisiografia particular, evidenciada por um alargamento da plataforma continental.",,,38,59,24
1349,O que este trabalho enfatiza em relação à Bacia do Espírito Santo?,SUCCESS,a cronoestratigrafia,Este trabalho enfatiza a cronoestratigrafia em relação à Bacia do Espírito Santo.,,,"O trabalho enfatiza a cronoestratigrafia da Bacia do Espírito Santo, resumindo o conhecimento adquirido desde a última publicação.",,,39,53,23
1352,Onde a Bacia do Espírito Santo está situada?,SUCCESS,no Estado do Espírito Santo,A Bacia do Espírito Santo está situada no Estado do Espírito Santo.,,,"A Bacia do Espírito Santo está situada no estado do Espírito Santo, Brasil.",,,40,64,26
1353,Quais são os limites da Bacia do Espírito Santo?,SUCCESS,"a sul com a Bacia de Campos, através do Alto de Vitória, e a norte com a Bacia de Mucuri","A Bacia do Espírito Santo é delimitada a sul pela Bacia de Campos, através do Alto de Vitória, e a norte pela Bacia de Mucuri.",,,"A Bacia do Espírito Santo é delimitada ao sul pela Bacia de Campos através do Alto de Vitória e ao norte pela Bacia de Mucuri. A leste, tem a influência do Banco de Abrolhos.",,,30,48,19
1390,O que poderia ser considerado compatível com a cinemática definida pelos outros elementos estruturais?,SUCCESS,a condição de obliqüidade constante,"A hipótese c, considerando-se a condição de obliqüidade constante em toda a área, seria compatível com a cinemática definida pelos outros elementos estruturais.",,,"A hipótese c, que considera uma condição de obliquidade constante, pode ser considerada compatível com a cinemática definida pelos outros elementos estruturais.",,,35,49,23
1391,O que sugere que a evolução direcional posterior à nucleação frontal da zona de falha desenvolva uma evolução direcional posterior à nucleação frontal?,SUCCESS,secciona-mento da zona de falha de Perimbó,"A evolução direcional posterior à nucleação frontal da zona de falha sugere-se devido ao seccionamento da zona de falha de Perimbó por falhas trans-correntes, principalmente dextrais, situação que contraria o que aconteceria em um regime transpressivo.",,,The suggestion that the directional evolution after the frontal nucleation of the fault zone involves a subsequent directional evolution is due to the sectioning of the Perimbó fault zone by dextral transcurrent faults. This indicates a directional evolution contrary to what would occur under a transpressive regime.,,,26,37,17
1398,Quais regimes produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Os regimes georegis oblíquo ou transpressivo produziriam uma rotação progressiva dos indicadores cinemáticos.,,,Os regimes oblíquo ou transpressivo produziriam uma rotação progressiva dos indicadores cinemáticos.,,,24,36,14
1401,Qual é a base para quantificar o encurtamento?,SUCCESS,"um marcador linear, paralelo à direção de compressão máxima","A base para quantificar o encurtamento é um marcador linear, paralelo à direção de compressão máxima.",,,"A base para quantificar o encurtamento é um marcador linear, paralelo à direção de compressão máxima.",,,34,53,23
1402,Quais são os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos?,SUCCESS,oblíquo ou transpressivo,Os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos são o regime oblíquo e o regime transpressivo.,,,Os dois regimes que produziriam uma rotação progressiva dos indicadores cinemáticos são o regime oblíquo e o regime transpressivo.,,,36,51,26
1406,Qual é a direção do vetor tectônico na primeira fase de deformação?,SUCCESS,de SE para NW,O vetor tectônico na primeira fase de deformação está direcionado de SE para NW.,,,A direção do vetor tectônico na primeira fase de deformação é de SE para NW.,,,27,36,15
1407,O que sugere o seccionamento da zona de falha de Perimbó pelas falhas transcorrentes?,SUCCESS,uma evolução direcional posterior à nucleação frontal da referida zona de falha,"O seccionamento da zona de falha de Perimbó pelas falhas transcorrentes, especialmente pelas falhas dextrais, sugere uma evolução direcional posterior à nucleação frontal da zona de falha, contrariando o que ocorreria se o regime fosse transpressivo.",,,"O seccionamento da zona de falha de Perimbó pelas falhas transcorrentes, especialmente pelas falhas dextrais, sugere uma evolução direcional posterior à nucleação frontal da zona de falha, indicando um movimento tectônico de SE para NW e uma deformação inicial predominantemente frontal, seguida pelo predomínio das falhas transcorrentes dextrais.",,,27,38,19
1412,O que a hipótese b sugere que deveria ocorrer também?,SUCCESS,uma dispersão dos valores de acamamento,A hipótese b sugere que deveria ocorrer também uma dispersão dos valores de acamamento que amostrem uma suposta deformação tardia.,,,A hipótese b sugere que deveria ocorrer também uma dispersão dos valores de acamamento que amostrassem uma suposta deformação tardia.,,,28,41,20
1413,Qual é a condição que a hipótese c considera constante em toda a área?,SUCCESS,a condição de obliqüidade,A condição que a hipótese c considera constante em toda a área é a obliqüidade.,,,A condição que a hipótese c considera constante em toda a área é a obliqüidade.,,,36,56,23
1414,Qual é o nome da descontinuidade crustal?,SUCCESS,"Arco de São Mateus,","O nome da descontinuidade crustal é ""Arco de São Mateus"".",,,Arco de São Mateus.,,,28,40,19
1415,Qual é a idade do fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma, geocro-nologicamente compatível","A idade do fragmento máfico é 69,4 ± 1,3 Ma.",,,"A idade do fragmento máfico é de 69,4 ± 1,3 milhões de anos.",,,45,72,31
1416,Qual é a sequência vulcanoclástica da Fm. Rio Doce?,SUCCESS,Abrolhos,"A sequência vulcanoclástica da Fm. Rio Doce está inter-relacionada com a Fm. Abrolhos e composta por arenitos meio a muito grossos, quartzozos, feldspáticos e silicificados.",,,"A sequência vulcanoclástica da Fm. Rio Doce é composta por sedimentos terciários que, próximos às vulcânicas, encontram-se totalmente silicificados. Além disso, Raposo et al. descrevem rochas piroclásticas ácidas na região, relacionadas à ruptura do Atlântico Sul.",,,40,63,25
1426,Qual foi a data de um fragmento mafico de uma rocha?,SUCCESS,"69,4 ± 1,3 Ma","A datação Ar-Ar de um fragmento máfico indicou uma idade de 69,4 ± 1,3 Ma.",,,"A datação Ar-Ar de um fragmento máfico indicou uma idade de 69,4 ± 1,3 Ma.",,,35,52,22
1429,Como é chamada a descontinuidade crustal?,SUCCESS,Arco de São Mateus,A descontinuidade crustal é chamada de Arco de São Mateus.,,,"A descontinuidade crustal é chamada de ""Arco de São Mateus"".",,,26,38,15
1430,Qual é a área das rochas piroclásticas ácidas encontradas na região nordeste de Minas Gerais?,SUCCESS,75km de comprimento por 25km de largura,A área das rochas piroclásticas ácidas na região nordeste de Minas Gerais é de 75 km de comprimento por 25 km de largura.,,,A área das rochas piroclásticas ácidas encontradas na região nordeste de Minas Gerais é de 75 km de comprimento por 25 km de largura.,,,48,69,28
1436,Qual a idade geocronológica indicada pela datação Ar-Ar de um fragmento máfico?,SUCCESS,"69,4 ± 1,3 Ma","A idade geocronológica indicada pela datação Ar-Ar de um fragmento máfico é de 69,4 ± 1,3 Ma.",,,"A idade geocronológica indicada pela datação Ar-Ar de um fragmento máfico é de 69,4 ± 1,3 milhões de anos.",,,44,65,29
1439,"O que controlaria os fenômenos neotectônicos, o padrão de drenagem e a circulação de fluidos na região?",SUCCESS,"a uma descontinuidade crustal denominada Arco de São Mateus,","Os fenômenos neotectônicos, o padrão de drenagem e a circulação de fluidos na região seriam controlados pelas reativações da descontinuidade crustal conhecida como Arco de São Mateus, que constitui uma zona de profundas fissuras na crosta.",,,"Os fenômenos neotectônicos, o padrão de drenagem e a circulação de fluidos na região são controlados pelas reativações da descontinuidade crustal denominada Arco de São Mateus.",,,37,56,26
1440,Qual é a idade do fragmento máfico mencionado no texto?,SUCCESS,"69,4 ± 1,3 Ma","A idade do fragmento máfico mencionada no texto é 69,4 ± 1,3 Ma.",,,"A idade do fragmento máfico é 69,4 ± 1,3 Ma.",,,50,82,32
1441,O que é a Fm. Rio Doce?,SUCCESS,"arenitos médios a muito grossos, quartzozos, feldspáticos, com cores cinza-esverdeadas, maciços ou com estratificações cruzadas","A Fm. Rio Doce corresponde a arenitos médios a muito grossos, quartzozos, feldspáticos, com cores cinza-esverdeadas, maciços ou com estratificações cruzadas, silicificados ""cozidos"" próximos ao contato com as vulcânicas.",,,"A Fm. Rio Doce é composta por arenitos médios a muito grossos, silicificados, interrelacionando-se com sedimentos terciários da Fm. Abrolhos.",,,40,60,27
